,date_received,county,white,black,asian,american_indian,native_hawaiian,two_plus_races,other_race,unknown_race,hispanic,non_hispanic,unknown_eth,cum_cases
23,2020-10-24 04:00:00,ALL GEORGIA,141778,95873,6052,-,-,-,236,106976,44981,196549,109385,350915
24,2020-10-24 04:00:00,APPLING,586,195,7,-,-,-,2,372,114,629,419,1162
25,2020-10-24 04:00:00,ATKINSON,227,56,0,-,-,-,0,198,146,218,117,481
21,2020-10-24 04:00:00,BACON,381,87,2,-,-,-,0,164,102,418,114,634
26,2020-10-24 04:00:00,BAKER,35,46,0,-,-,-,0,10,10,66,15,91
3,2020-10-24 04:00:00,BALDWIN,1088,644,15,-,-,-,2,551,58,1510,732,2300
27,2020-10-24 04:00:00,BANKS,423,17,6,-,-,-,1,105,38,394,120,552
31,2020-10-24 04:00:00,BARROW,1488,312,65,-,-,-,1,704,325,1534,711,2570
32,2020-10-24 04:00:00,BARTOW,1890,343,35,-,-,-,3,1298,465,1609,1495,3569
29,2020-10-24 04:00:00,BEN HILL,377,241,4,-,-,-,0,248,41,576,253,870
109,2020-10-24 04:00:00,BERRIEN,332,65,0,-,-,-,2,91,29,387,74,490
4,2020-10-24 04:00:00,BIBB,1580,3504,55,-,-,-,2,1435,159,4704,1713,6576
30,2020-10-24 04:00:00,BLECKLEY,310,169,2,-,-,-,0,32,17,429,67,513
28,2020-10-24 04:00:00,BRANTLEY,330,20,1,-,-,-,0,94,3,344,98,445
128,2020-10-24 04:00:00,BROOKS,176,225,1,-,-,-,0,150,40,355,157,552
122,2020-10-24 04:00:00,BRYAN,767,188,12,-,-,-,2,325,43,888,363,1294
37,2020-10-24 04:00:00,BULLOCH,1637,693,19,-,-,-,0,722,128,2139,804,3071
126,2020-10-24 04:00:00,BURKE,242,478,3,-,-,-,0,157,31,633,216,880
38,2020-10-24 04:00:00,BUTTS,356,218,1,-,-,-,0,164,9,500,230,739
127,2020-10-24 04:00:00,CALHOUN,61,155,2,-,-,-,0,48,7,192,67,266
118,2020-10-24 04:00:00,CAMDEN,741,319,13,-,-,-,0,335,66,959,383,1408
39,2020-10-24 04:00:00,CANDLER,265,103,0,-,-,-,0,171,78,318,143,539
100,2020-10-24 04:00:00,CARROLL,1720,704,6,-,-,-,1,901,221,1425,1686,3332
34,2020-10-24 04:00:00,CATOOSA,867,41,5,-,-,-,2,495,45,731,634,1410
33,2020-10-24 04:00:00,CHARLTON,200,130,5,-,-,-,0,311,98,247,301,646
35,2020-10-24 04:00:00,CHATHAM,3634,3656,140,-,-,-,11,1882,591,6599,2133,9323
36,2020-10-24 04:00:00,CHATTAHOOCHEE,1198,216,29,-,-,-,0,299,98,589,1055,1742
41,2020-10-24 04:00:00,CHATTOOGA,394,71,3,-,-,-,3,456,78,355,494,927
133,2020-10-24 04:00:00,CHEROKEE,4873,378,70,-,-,-,0,1716,1248,3945,1844,7037
2,2020-10-24 04:00:00,CLARKE,3196,865,187,-,-,-,1,1450,703,3501,1495,5699
134,2020-10-24 04:00:00,CLAY,25,78,0,-,-,-,1,20,4,103,17,124
40,2020-10-24 04:00:00,CLAYTON,911,4315,207,-,-,-,4,2700,1196,4084,2857,8137
42,2020-10-24 04:00:00,CLINCH,177,127,0,-,-,-,0,141,16,288,141,445
43,2020-10-24 04:00:00,COBB,8973,5280,521,-,-,-,17,6958,4757,10961,6031,21749
5,2020-10-24 04:00:00,COFFEE,989,538,5,-,-,-,2,708,284,1251,707,2242
44,2020-10-24 04:00:00,COLQUITT,1135,409,8,-,-,-,1,571,741,1095,288,2124
10,2020-10-24 04:00:00,COLUMBIA,2063,825,101,-,-,-,2,1339,161,2615,1554,4330
103,2020-10-24 04:00:00,COOK,248,150,1,-,-,-,0,183,50,393,139,582
45,2020-10-24 04:00:00,COWETA,1418,655,20,-,-,-,1,855,293,1777,879,2949
108,2020-10-24 04:00:00,CRAWFORD,80,67,0,-,-,-,0,48,1,131,63,195
49,2020-10-24 04:00:00,CRISP,196,284,2,-,-,-,1,158,32,452,157,641
50,2020-10-24 04:00:00,DADE,222,7,5,-,-,-,0,110,15,186,143,344
139,2020-10-24 04:00:00,DAWSON,779,9,3,-,-,-,1,116,58,715,135,908
51,2020-10-24 04:00:00,DECATUR,577,502,1,-,-,-,1,207,119,905,264,1288
119,2020-10-24 04:00:00,DEKALB,4698,9401,1060,-,-,-,12,5806,3151,11656,6170,20977
114,2020-10-24 04:00:00,DODGE,342,193,2,-,-,-,0,56,7,499,87,593
46,2020-10-24 04:00:00,DOOLY,110,193,1,-,-,-,0,65,31,283,55,369
47,2020-10-24 04:00:00,DOUGHERTY,574,2374,15,-,-,-,0,332,76,2572,647,3295
132,2020-10-24 04:00:00,DOUGLAS,1243,1801,67,-,-,-,2,953,589,2524,953,4066
48,2020-10-24 04:00:00,EARLY,132,332,1,-,-,-,0,85,6,422,122,550
52,2020-10-24 04:00:00,ECHOLS,87,7,1,-,-,-,0,151,117,65,64,246
102,2020-10-24 04:00:00,EFFINGHAM,1093,320,12,-,-,-,0,352,76,1284,417,1777
14,2020-10-24 04:00:00,ELBERT,312,300,4,-,-,-,0,151,44,565,158,767
