,date_received,county,white,black,asian,american_indian,native_hawaiian,two_plus_races,other_race,unknown_race,hispanic,non_hispanic,unknown_eth,cum_cases
24,2020-10-23 04:00:00,ALL GEORGIA,140714,95333,6032,-,-,-,236,107284,44867,195036,109696,349599
25,2020-10-23 04:00:00,APPLING,574,195,7,-,-,-,3,382,114,618,429,1161
23,2020-10-23 04:00:00,ATKINSON,227,56,0,-,-,-,0,197,146,218,116,480
22,2020-10-23 04:00:00,BACON,381,87,2,-,-,-,0,164,102,418,114,634
30,2020-10-23 04:00:00,BAKER,34,46,0,-,-,-,0,10,10,65,15,90
2,2020-10-23 04:00:00,BALDWIN,1083,639,15,-,-,-,2,558,58,1500,739,2297
31,2020-10-23 04:00:00,BANKS,421,17,6,-,-,-,1,106,38,393,120,551
28,2020-10-23 04:00:00,BARROW,1477,309,65,-,-,-,1,711,323,1521,719,2563
29,2020-10-23 04:00:00,BARTOW,1870,342,35,-,-,-,3,1288,463,1593,1482,3538
26,2020-10-23 04:00:00,BEN HILL,370,239,4,-,-,-,0,254,41,567,259,867
109,2020-10-23 04:00:00,BERRIEN,328,65,0,-,-,-,2,95,29,383,78,490
3,2020-10-23 04:00:00,BIBB,1570,3490,55,-,-,-,2,1449,157,4680,1729,6566
27,2020-10-23 04:00:00,BLECKLEY,308,169,2,-,-,-,0,32,17,427,67,511
32,2020-10-23 04:00:00,BRANTLEY,319,19,1,-,-,-,0,88,3,332,92,427
128,2020-10-23 04:00:00,BROOKS,175,225,1,-,-,-,0,151,40,354,158,552
122,2020-10-23 04:00:00,BRYAN,757,187,12,-,-,-,2,325,43,877,363,1283
39,2020-10-23 04:00:00,BULLOCH,1627,693,19,-,-,-,0,722,128,2128,805,3061
124,2020-10-23 04:00:00,BURKE,243,475,3,-,-,-,0,158,31,631,217,879
35,2020-10-23 04:00:00,BUTTS,354,218,1,-,-,-,0,166,9,498,232,739
130,2020-10-23 04:00:00,CALHOUN,62,155,2,-,-,-,0,47,6,193,67,266
119,2020-10-23 04:00:00,CAMDEN,733,318,13,-,-,-,0,338,66,950,386,1402
36,2020-10-23 04:00:00,CANDLER,263,101,0,-,-,-,0,172,78,314,144,536
101,2020-10-23 04:00:00,CARROLL,1702,698,6,-,-,-,1,903,219,1412,1679,3310
37,2020-10-23 04:00:00,CATOOSA,841,41,5,-,-,-,2,498,45,727,615,1387
38,2020-10-23 04:00:00,CHARLTON,197,128,5,-,-,-,0,316,97,243,306,646
33,2020-10-23 04:00:00,CHATHAM,3622,3651,140,-,-,-,11,1893,591,6583,2143,9317
34,2020-10-23 04:00:00,CHATTAHOOCHEE,1198,216,29,-,-,-,0,299,98,589,1055,1742
40,2020-10-23 04:00:00,CHATTOOGA,385,68,3,-,-,-,3,455,78,344,492,914
131,2020-10-23 04:00:00,CHEROKEE,4838,376,70,-,-,-,0,1714,1247,3911,1840,6998
0,2020-10-23 04:00:00,CLARKE,3181,855,186,-,-,-,0,1456,703,3474,1501,5678
139,2020-10-23 04:00:00,CLAY,25,78,0,-,-,-,1,20,4,103,17,124
44,2020-10-23 04:00:00,CLAYTON,901,4278,205,-,-,-,4,2714,1188,4040,2874,8102
42,2020-10-23 04:00:00,CLINCH,176,125,0,-,-,-,0,143,16,285,143,444
43,2020-10-23 04:00:00,COBB,8915,5264,519,-,-,-,17,6961,4736,10881,6059,21676
1,2020-10-23 04:00:00,COFFEE,987,537,5,-,-,-,2,709,284,1248,708,2240
41,2020-10-23 04:00:00,COLQUITT,1130,402,8,-,-,-,1,573,741,1082,291,2114
9,2020-10-23 04:00:00,COLUMBIA,2034,813,99,-,-,-,3,1362,161,2569,1581,4311
103,2020-10-23 04:00:00,COOK,247,150,1,-,-,-,0,183,50,392,139,581
45,2020-10-23 04:00:00,COWETA,1381,644,20,-,-,-,1,882,290,1734,904,2928
111,2020-10-23 04:00:00,CRAWFORD,79,66,0,-,-,-,0,49,1,129,64,194
50,2020-10-23 04:00:00,CRISP,196,280,2,-,-,-,1,162,32,448,161,641
51,2020-10-23 04:00:00,DADE,218,7,5,-,-,-,0,112,15,182,145,342
138,2020-10-23 04:00:00,DAWSON,778,9,3,-,-,-,1,116,58,714,135,907
52,2020-10-23 04:00:00,DECATUR,573,502,1,-,-,-,1,210,119,901,267,1287
117,2020-10-23 04:00:00,DEKALB,4669,9351,1055,-,-,-,12,5796,3147,11582,6154,20883
116,2020-10-23 04:00:00,DODGE,338,192,2,-,-,-,0,58,7,494,89,590
48,2020-10-23 04:00:00,DOOLY,110,193,1,-,-,-,0,65,31,283,55,369
49,2020-10-23 04:00:00,DOUGHERTY,571,2370,15,-,-,-,0,337,76,2565,652,3293
129,2020-10-23 04:00:00,DOUGLAS,1238,1797,67,-,-,-,2,949,587,2514,952,4053
46,2020-10-23 04:00:00,EARLY,131,331,1,-,-,-,0,82,6,420,119,545
47,2020-10-23 04:00:00,ECHOLS,85,7,1,-,-,-,0,151,117,63,64,244
