,date_received,county,white,black,asian,american_indian,native_hawaiian,two_plus_races,other_race,unknown_race,hispanic,non_hispanic,unknown_eth,cum_cases
23,2020-10-30 04:00:00,ALL GEORGIA,148856,99657,6325,-,-,-,230,105692,46178,206154,108428,360760
21,2020-10-30 04:00:00,APPLING,596,202,6,-,-,-,3,372,115,646,418,1179
24,2020-10-30 04:00:00,ATKINSON,235,56,0,-,-,-,0,195,149,222,115,486
25,2020-10-30 04:00:00,BACON,391,89,2,-,-,-,0,156,103,430,105,638
31,2020-10-30 04:00:00,BAKER,37,46,0,-,-,-,0,9,10,68,14,92
1,2020-10-30 04:00:00,BALDWIN,1124,659,15,-,-,-,1,532,59,1563,709,2331
26,2020-10-30 04:00:00,BANKS,440,18,6,-,-,-,1,108,40,414,119,573
27,2020-10-30 04:00:00,BARROW,1564,323,71,-,-,-,1,703,333,1608,721,2662
28,2020-10-30 04:00:00,BARTOW,2026,372,35,-,-,-,3,1278,477,1728,1509,3714
30,2020-10-30 04:00:00,BEN HILL,383,249,4,-,-,-,0,248,42,590,252,884
106,2020-10-30 04:00:00,BERRIEN,342,66,0,-,-,-,2,92,30,398,74,502
3,2020-10-30 04:00:00,BIBB,1657,3597,55,-,-,-,1,1382,160,4844,1688,6692
29,2020-10-30 04:00:00,BLECKLEY,314,170,2,-,-,-,0,34,17,435,68,520
32,2020-10-30 04:00:00,BRANTLEY,357,21,1,-,-,-,0,94,3,371,99,473
136,2020-10-30 04:00:00,BROOKS,178,228,1,-,-,-,0,146,40,358,155,553
130,2020-10-30 04:00:00,BRYAN,809,198,12,-,-,-,1,293,47,934,332,1313
33,2020-10-30 04:00:00,BULLOCH,1674,706,19,-,-,-,0,707,129,2181,796,3106
121,2020-10-30 04:00:00,BURKE,252,487,3,-,-,-,0,157,31,650,218,899
38,2020-10-30 04:00:00,BUTTS,366,219,1,-,-,-,0,161,10,508,229,747
131,2020-10-30 04:00:00,CALHOUN,67,160,2,-,-,-,0,48,9,200,68,277
113,2020-10-30 04:00:00,CAMDEN,784,331,14,-,-,-,0,326,67,1015,373,1455
37,2020-10-30 04:00:00,CANDLER,272,105,0,-,-,-,0,170,80,327,140,547
110,2020-10-30 04:00:00,CARROLL,1793,720,7,-,-,-,1,896,230,1493,1694,3417
34,2020-10-30 04:00:00,CATOOSA,927,43,7,-,-,-,2,509,46,784,658,1488
35,2020-10-30 04:00:00,CHARLTON,208,131,5,-,-,-,0,304,98,254,296,648
36,2020-10-30 04:00:00,CHATHAM,3820,3777,148,-,-,-,12,1773,619,6876,2035,9530
42,2020-10-30 04:00:00,CHATTAHOOCHEE,1245,219,30,-,-,-,0,310,104,600,1100,1804
