,date_received,county,white,black,asian,american_indian,native_hawaiian,two_plus_races,other_race,unknown_race,hispanic,non_hispanic,unknown_eth,cum_cases
160,2020-10-26 04:00:00,WASHINGTON,238,361,0,-,-,-,0,165,15,526,223,764
161,2020-10-26 04:00:00,WAYNE,554,140,6,-,-,-,1,534,47,625,563,1235
122,2020-10-26 04:00:00,WEBSTER,14,28,0,-,-,-,0,2,0,42,2,44
157,2020-10-26 04:00:00,WHEELER,146,69,2,-,-,-,0,152,6,200,163,369
14,2020-10-26 04:00:00,WHITE,869,19,1,-,-,-,0,111,16,825,159,1000
99,2020-10-26 04:00:00,WHITFIELD,3423,135,36,-,-,-,0,1816,2714,1483,1213,5410
6,2020-10-26 04:00:00,WILCOX,130,110,1,-,-,-,0,15,6,223,27,256
100,2020-10-26 04:00:00,WILKES,131,125,0,-,-,-,0,41,21,238,38,297
113,2020-10-26 04:00:00,WILKINSON,130,162,0,-,-,-,0,76,4,258,106,368
115,2020-10-26 04:00:00,WORTH,275,289,1,-,-,-,0,39,8,528,68,604
