,date_received,county,white,black,asian,american_indian,native_hawaiian,two_plus_races,other_race,unknown_race,hispanic,non_hispanic,unknown_eth,cum_cases
24,2020-10-27 04:00:00,ALL GEORGIA,145314,97722,6168,-,-,-,229,105581,45521,201097,108396,355014
22,2020-10-27 04:00:00,APPLING,594,200,6,-,-,-,2,361,116,641,406,1163
23,2020-10-27 04:00:00,ATKINSON,230,56,0,-,-,-,0,197,148,219,116,483
19,2020-10-27 04:00:00,BACON,385,88,2,-,-,-,0,162,102,423,112,637
26,2020-10-27 04:00:00,BAKER,36,46,0,-,-,-,0,9,10,67,14,91
2,2020-10-27 04:00:00,BALDWIN,1105,652,15,-,-,-,1,542,58,1538,719,2315
27,2020-10-27 04:00:00,BANKS,432,17,6,-,-,-,1,99,39,401,115,555
28,2020-10-27 04:00:00,BARROW,1540,316,69,-,-,-,1,690,331,1577,708,2616
32,2020-10-27 04:00:00,BARTOW,1969,358,35,-,-,-,3,1272,470,1680,1487,3637
29,2020-10-27 04:00:00,BEN HILL,377,243,4,-,-,-,0,247,41,578,252,871
110,2020-10-27 04:00:00,BERRIEN,336,65,0,-,-,-,2,90,29,391,73,493
1,2020-10-27 04:00:00,BIBB,1625,3549,55,-,-,-,2,1387,159,4767,1692,6618
30,2020-10-27 04:00:00,BLECKLEY,311,169,2,-,-,-,0,32,17,430,67,514
31,2020-10-27 04:00:00,BRANTLEY,345,21,1,-,-,-,0,95,3,360,99,462
130,2020-10-27 04:00:00,BROOKS,177,228,1,-,-,-,0,148,40,358,156,554
119,2020-10-27 04:00:00,BRYAN,790,195,12,-,-,-,2,319,45,915,358,1318
35,2020-10-27 04:00:00,BULLOCH,1655,706,19,-,-,-,0,713,128,2165,800,3093
121,2020-10-27 04:00:00,BURKE,251,484,3,-,-,-,0,155,31,646,216,893
37,2020-10-27 04:00:00,BUTTS,360,219,1,-,-,-,0,163,10,502,231,743
135,2020-10-27 04:00:00,CALHOUN,64,156,2,-,-,-,0,48,7,196,67,270
116,2020-10-27 04:00:00,CAMDEN,759,322,14,-,-,-,0,328,66,980,377,1423
33,2020-10-27 04:00:00,CANDLER,270,105,0,-,-,-,0,171,80,325,141,546
108,2020-10-27 04:00:00,CARROLL,1746,704,7,-,-,-,1,880,224,1445,1669,3338
34,2020-10-27 04:00:00,CATOOSA,897,42,7,-,-,-,2,496,45,759,640,1444
36,2020-10-27 04:00:00,CHARLTON,203,131,5,-,-,-,0,308,98,251,298,647
38,2020-10-27 04:00:00,CHATHAM,3749,3740,145,-,-,-,10,1802,602,6776,2068,9446
44,2020-10-27 04:00:00,CHATTAHOOCHEE,1200,216,29,-,-,-,0,302,99,590,1058,1747
45,2020-10-27 04:00:00,CHATTOOGA,423,74,3,-,-,-,4,440,78,382,484,944
