,date_received,county,white,black,asian,american_indian,native_hawaiian,two_plus_races,other_race,unknown_race,hispanic,non_hispanic,unknown_eth,cum_cases
136,2020-10-27 04:00:00,CHEROKEE,4970,387,70,-,-,-,2,1732,1261,4026,1874,7161
5,2020-10-27 04:00:00,CLARKE,3240,887,190,-,-,-,0,1431,709,3558,1481,5748
137,2020-10-27 04:00:00,CLAY,25,78,0,-,-,-,1,20,4,103,17,124
43,2020-10-27 04:00:00,CLAYTON,935,4404,212,-,-,-,4,2698,1218,4176,2859,8253
42,2020-10-27 04:00:00,CLINCH,183,128,0,-,-,-,0,139,20,295,135,450
40,2020-10-27 04:00:00,COBB,9354,5510,537,-,-,-,19,6557,4883,11679,5415,21977
4,2020-10-27 04:00:00,COFFEE,997,549,6,-,-,-,2,706,285,1268,707,2260
41,2020-10-27 04:00:00,COLQUITT,1146,411,8,-,-,-,1,566,739,1105,288,2132
11,2020-10-27 04:00:00,COLUMBIA,2115,848,105,-,-,-,2,1316,163,2675,1548,4386
99,2020-10-27 04:00:00,COOK,251,150,1,-,-,-,0,182,50,396,138,584
39,2020-10-27 04:00:00,COWETA,1443,659,20,-,-,-,0,849,294,1803,874,2971
105,2020-10-27 04:00:00,CRAWFORD,82,68,0,-,-,-,0,46,1,134,61,196
51,2020-10-27 04:00:00,CRISP,203,290,2,-,-,-,1,151,33,463,151,647
46,2020-10-27 04:00:00,DADE,233,7,5,-,-,-,0,111,15,197,144,356
138,2020-10-27 04:00:00,DAWSON,785,8,2,-,-,-,1,119,59,717,139,915
47,2020-10-27 04:00:00,DECATUR,586,508,1,-,-,-,1,201,119,916,262,1297
114,2020-10-27 04:00:00,DEKALB,4791,9563,1068,-,-,-,11,5798,3180,11869,6182,21231
113,2020-10-27 04:00:00,DODGE,355,204,2,-,-,-,0,51,8,520,84,612
48,2020-10-27 04:00:00,DOOLY,114,193,1,-,-,-,0,66,31,287,56,374
50,2020-10-27 04:00:00,DOUGHERTY,578,2385,15,-,-,-,0,322,75,2581,644,3300
131,2020-10-27 04:00:00,DOUGLAS,1289,1870,68,-,-,-,1,885,604,2682,827,4113
49,2020-10-27 04:00:00,EARLY,137,338,1,-,-,-,0,74,6,433,111,550
54,2020-10-27 04:00:00,ECHOLS,87,7,1,-,-,-,0,151,117,65,64,246
103,2020-10-27 04:00:00,EFFINGHAM,1139,328,12,-,-,-,0,348,82,1328,417,1827
20,2020-10-27 04:00:00,ELBERT,315,303,4,-,-,-,0,132,44,572,138,754
57,2020-10-27 04:00:00,EMANUEL,496,340,7,-,-,-,1,360,33,768,403,1204
55,2020-10-27 04:00:00,EVANS,202,123,1,-,-,-,0,161,72,284,131,487
134,2020-10-27 04:00:00,FANNIN,727,2,0,-,-,-,0,103,36,666,130,832
132,2020-10-27 04:00:00,FAYETTE,842,549,32,-,-,-,2,704,151,1161,817,2129
133,2020-10-27 04:00:00,FLOYD,1904,427,29,-,-,-,5,1610,584,1711,1680,3975
58,2020-10-27 04:00:00,FORSYTH,3145,166,177,-,-,-,3,1281,758,2678,1336,4772
100,2020-10-27 04:00:00,FRANKLIN,618,87,5,-,-,-,0,225,59,637,239,935
16,2020-10-27 04:00:00,FULTON,9345,12251,611,-,-,-,25,8987,3352,18613,9254,31219
52,2020-10-27 04:00:00,GILMER,882,4,6,-,-,-,0,151,217,664,162,1043
53,2020-10-27 04:00:00,GLASCOCK,33,7,0,-,-,-,0,9,0,37,12,49
56,2020-10-27 04:00:00,GLYNN,2020,911,30,-,-,-,0,773,535,2570,629,3734
64,2020-10-27 04:00:00,GORDON,1259,82,27,-,-,-,6,1013,532,934,921,2387
61,2020-10-27 04:00:00,GRADY,473,260,0,-,-,-,1,126,227,522,111,860
109,2020-10-27 04:00:00,GREENE,229,225,0,-,-,-,0,119,28,349,196,573
62,2020-10-27 04:00:00,GWINNETT,11173,5310,1580,-,-,-,25,12508,8658,11769,10169,30596
63,2020-10-27 04:00:00,HABERSHAM,1357,44,25,-,-,-,0,458,403,1076,405,1884
143,2020-10-27 04:00:00,HALL,6139,621,57,-,-,-,1,3876,3469,5003,2222,10694
111,2020-10-27 04:00:00,HANCOCK,74,270,0,-,-,-,0,69,3,308,102,413
65,2020-10-27 04:00:00,HARALSON,503,16,0,-,-,-,0,129,4,278,366,648
142,2020-10-27 04:00:00,HARRIS,501,211,7,-,-,-,1,131,25,649,177,851
107,2020-10-27 04:00:00,HART,318,126,9,-,-,-,1,122,38,409,129,576
59,2020-10-27 04:00:00,HEARD,154,41,0,-,-,-,0,34,2,168,59,229
8,2020-10-27 04:00:00,HENRY,1608,2633,106,-,-,-,11,1865,384,3415,2424,6223
140,2020-10-27 04:00:00,HOUSTON,1285,1138,43,-,-,-,3,1146,193,2221,1201,3615
60,2020-10-27 04:00:00,IRWIN,148,97,0,-,-,-,0,111,22,236,98,356
125,2020-10-27 04:00:00,JACKSON,1599,145,49,-,-,-,2,596,231,1535,625,2391
141,2020-10-27 04:00:00,JASPER,139,59,0,-,-,-,0,49,4,181,62,247
139,2020-10-27 04:00:00,JEFF DAVIS,473,75,3,-,-,-,0,247,80,462,256,798
21,2020-10-27 04:00:00,JEFFERSON,223,496,1,-,-,-,3,133,25,640,191,856
69,2020-10-27 04:00:00,JENKINS,203,215,1,-,-,-,0,50,23,385,61,469
144,2020-10-27 04:00:00,JOHNSON,249,169,0,-,-,-,0,22,6,377,57,440
147,2020-10-27 04:00:00,JONES,354,167,0,-,-,-,0,125,5,454,187,646
148,2020-10-27 04:00:00,LAMAR,217,114,0,-,-,-,1,91,5,291,127,423
68,2020-10-27 04:00:00,LANIER,116,54,0,-,-,-,0,148,33,172,113,318
66,2020-10-27 04:00:00,LAURENS,1005,830,8,-,-,-,1,166,24,1716,270,2010
149,2020-10-27 04:00:00,LEE,385,257,5,-,-,-,0,101,15,572,161,748
151,2020-10-27 04:00:00,LIBERTY,361,618,17,-,-,-,1,278,79,879,317,1275
122,2020-10-27 04:00:00,LINCOLN,87,74,0,-,-,-,0,74,2,137,96,235
67,2020-10-27 04:00:00,LONG,163,72,1,-,-,-,0,40,20,208,48,276
6,2020-10-27 04:00:00,LOWNDES,1485,1434,24,-,-,-,4,1528,241,2894,1340,4475
70,2020-10-27 04:00:00,LUMPKIN,902,17,4,-,-,-,0,125,42,878,128,1048
7,2020-10-27 04:00:00,MACON,50,115,1,-,-,-,0,83,24,171,54,249
101,2020-10-27 04:00:00,MADISON,459,77,6,-,-,-,0,247,83,442,264,789
145,2020-10-27 04:00:00,MARION,74,78,2,-,-,-,0,46,20,144,36,200
71,2020-10-27 04:00:00,MCDUFFIE,224,256,2,-,-,-,0,203,27,389,269,685
126,2020-10-27 04:00:00,MCINTOSH,153,126,0,-,-,-,0,29,3,263,42,308
75,2020-10-27 04:00:00,MERIWETHER,202,335,3,-,-,-,1,55,3,494,99,596
13,2020-10-27 04:00:00,MILLER,160,124,0,-,-,-,0,29,10,269,34,313
146,2020-10-27 04:00:00,MITCHELL,313,443,3,-,-,-,0,88,60,616,171,847
17,2020-10-27 04:00:00,MONROE,348,253,0,-,-,-,1,160,13,556,193,762
150,2020-10-27 04:00:00,MONTGOMERY,254,85,0,-,-,-,0,34,33,302,38,373
159,2020-10-27 04:00:00,MORGAN,251,176,0,-,-,-,1,103,8,338,185,531
127,2020-10-27 04:00:00,MURRAY,776,6,1,-,-,-,0,268,313,514,224,1051
76,2020-10-27 04:00:00,MUSCOGEE,1935,2750,69,-,-,-,8,1616,435,4237,1706,6378
154,2020-10-27 04:00:00,NEWTON,887,1219,12,-,-,-,2,748,207,1780,881,2868
3,2020-10-27 04:00:00,NON-GEORGIA RESIDENT,2937,1762,100,-,-,-,8,9923,675,3484,10571,14730
72,2020-10-27 04:00:00,OCONEE,611,43,13,-,-,-,0,202,56,546,267,869
74,2020-10-27 04:00:00,OGLETHORPE,212,100,1,-,-,-,0,107,30,275,115,420
77,2020-10-27 04:00:00,PAULDING,1608,707,16,-,-,-,8,837,291,1427,1458,3176
78,2020-10-27 04:00:00,PEACH,220,352,4,-,-,-,0,200,39,504,233,776
12,2020-10-27 04:00:00,PICKENS,676,7,2,-,-,-,0,100,23,609,153,785
120,2020-10-27 04:00:00,PIERCE,443,86,0,-,-,-,0,151,32,490,158,680
106,2020-10-27 04:00:00,PIKE,263,43,1,-,-,-,0,82,15,283,91,389
157,2020-10-27 04:00:00,POLK,742,151,8,-,-,-,6,804,335,648,728,1711
18,2020-10-27 04:00:00,PULASKI,148,160,2,-,-,-,1,28,5,252,82,339
129,2020-10-27 04:00:00,PUTNAM,311,275,3,-,-,-,0,211,67,454,279,800
115,2020-10-27 04:00:00,QUITMAN,3,32,0,-,-,-,0,5,0,35,5,40
73,2020-10-27 04:00:00,RABUN,332,6,0,-,-,-,0,91,49,284,96,429
15,2020-10-27 04:00:00,RANDOLPH,62,180,1,-,-,-,1,95,5,277,57,339
85,2020-10-27 04:00:00,RICHMOND,2008,4008,63,-,-,-,0,1885,249,5590,2125,7964
81,2020-10-27 04:00:00,ROCKDALE,490,1048,24,-,-,-,1,573,256,1187,693,2136
82,2020-10-27 04:00:00,SCHLEY,56,44,1,-,-,-,0,8,2,102,5,109
83,2020-10-27 04:00:00,SCREVEN,159,199,6,-,-,-,0,86,8,346,96,450
84,2020-10-27 04:00:00,SEMINOLE,203,162,0,-,-,-,0,28,8,349,36,393
79,2020-10-27 04:00:00,SPALDING,730,507,10,-,-,-,1,351,79,1019,501,1599
152,2020-10-27 04:00:00,STEPHENS,912,129,9,-,-,-,0,230,24,1015,241,1280
80,2020-10-27 04:00:00,STEWART,46,128,4,-,-,-,0,389,299,175,93,567
9,2020-10-27 04:00:00,SUMTER,256,443,3,-,-,-,0,257,57,714,188,959
91,2020-10-27 04:00:00,TALBOT,49,106,0,-,-,-,0,19,0,152,22,174
88,2020-10-27 04:00:00,TALIAFERRO,9,18,0,-,-,-,0,1,0,26,2,28
89,2020-10-27 04:00:00,TATTNALL,456,139,1,-,-,-,0,337,121,493,319,933
153,2020-10-27 04:00:00,TAYLOR,81,113,0,-,-,-,1,37,2,197,33,232
90,2020-10-27 04:00:00,TELFAIR,298,117,1,-,-,-,1,90,33,355,119,507
155,2020-10-27 04:00:00,TERRELL,61,256,2,-,-,-,0,22,4,291,46,341
87,2020-10-27 04:00:00,THOMAS,734,768,9,-,-,-,1,93,57,1362,186,1605
86,2020-10-27 04:00:00,TIFT,866,543,12,-,-,-,1,542,297,1365,302,1964
95,2020-10-27 04:00:00,TOOMBS,571,261,7,-,-,-,2,658,150,812,537,1499
96,2020-10-27 04:00:00,TOWNS,376,4,4,-,-,-,1,56,16,363,62,441
98,2020-10-27 04:00:00,TREUTLEN,175,116,2,-,-,-,0,18,1,274,36,311
97,2020-10-27 04:00:00,TROUP,932,1435,13,-,-,-,1,687,95,1987,986,3068
128,2020-10-27 04:00:00,TURNER,109,157,1,-,-,-,0,68,11,258,66,335
92,2020-10-27 04:00:00,TWIGGS,41,143,1,-,-,-,0,32,2,162,53,217
123,2020-10-27 04:00:00,UNION,794,5,1,-,-,-,1,89,15,751,124,890
0,2020-10-27 04:00:00,UNKNOWN,168,69,9,-,-,-,0,1642,72,177,1639,1888
93,2020-10-27 04:00:00,UPSON,370,302,1,-,-,-,0,166,16,664,159,839
156,2020-10-27 04:00:00,WALKER,1165,93,11,-,-,-,1,624,56,986,852,1894
25,2020-10-27 04:00:00,WALTON,1231,469,29,-,-,-,4,621,109,1485,760,2354
94,2020-10-27 04:00:00,WARE,744,512,7,-,-,-,1,473,73,1120,544,1737
117,2020-10-27 04:00:00,WARREN,29,103,0,-,-,-,0,33,1,120,44,165
160,2020-10-27 04:00:00,WASHINGTON,243,367,0,-,-,-,0,166,15,532,229,776
161,2020-10-27 04:00:00,WAYNE,559,143,6,-,-,-,1,533,47,633,562,1242
124,2020-10-27 04:00:00,WEBSTER,14,28,0,-,-,-,0,2,0,42,2,44
158,2020-10-27 04:00:00,WHEELER,147,69,2,-,-,-,0,151,6,202,161,369
14,2020-10-27 04:00:00,WHITE,873,19,1,-,-,-,0,112,16,828,161,1005
102,2020-10-27 04:00:00,WHITFIELD,3459,138,37,-,-,-,0,1835,2728,1509,1232,5469
10,2020-10-27 04:00:00,WILCOX,130,111,1,-,-,-,0,15,6,224,27,257
104,2020-10-27 04:00:00,WILKES,131,127,0,-,-,-,0,42,21,239,40,300
118,2020-10-27 04:00:00,WILKINSON,132,165,0,-,-,-,0,72,4,263,102,369
112,2020-10-27 04:00:00,WORTH,275,289,1,-,-,-,0,42,8,528,71,607
