,date_received,county,white,black,asian,american_indian,native_hawaiian,two_plus_races,other_race,unknown_race,hispanic,non_hispanic,unknown_eth,cum_cases
22,2020-10-29 04:00:00,ALL GEORGIA,147455,98856,6244,-,-,-,226,105442,45918,203896,108409,358223
23,2020-10-29 04:00:00,APPLING,595,202,6,-,-,-,2,370,115,644,416,1175
24,2020-10-29 04:00:00,ATKINSON,235,56,0,-,-,-,0,195,148,222,116,486
25,2020-10-29 04:00:00,BACON,391,89,2,-,-,-,0,156,103,430,105,638
27,2020-10-29 04:00:00,BAKER,37,46,0,-,-,-,0,9,10,68,14,92
5,2020-10-29 04:00:00,BALDWIN,1124,659,15,-,-,-,1,523,59,1560,703,2322
26,2020-10-29 04:00:00,BANKS,435,17,6,-,-,-,1,104,40,405,118,563
28,2020-10-29 04:00:00,BARROW,1551,320,70,-,-,-,1,703,332,1591,722,2645
29,2020-10-29 04:00:00,BARTOW,2008,367,35,-,-,-,3,1276,474,1711,1504,3689
31,2020-10-29 04:00:00,BEN HILL,381,247,4,-,-,-,0,246,42,585,251,878
109,2020-10-29 04:00:00,BERRIEN,337,65,0,-,-,-,2,92,29,392,75,496
1,2020-10-29 04:00:00,BIBB,1650,3584,55,-,-,-,1,1369,160,4814,1685,6659
30,2020-10-29 04:00:00,BLECKLEY,313,170,2,-,-,-,0,32,17,433,67,517
36,2020-10-29 04:00:00,BRANTLEY,351,21,1,-,-,-,0,93,3,366,97,466
131,2020-10-29 04:00:00,BROOKS,177,228,1,-,-,-,0,147,40,357,156,553
119,2020-10-29 04:00:00,BRYAN,802,198,12,-,-,-,2,300,47,927,340,1314
37,2020-10-29 04:00:00,BULLOCH,1669,706,19,-,-,-,0,708,129,2174,799,3102
118,2020-10-29 04:00:00,BURKE,252,485,3,-,-,-,0,155,31,648,216,895
35,2020-10-29 04:00:00,BUTTS,364,219,1,-,-,-,0,162,10,506,230,746
134,2020-10-29 04:00:00,CALHOUN,65,159,2,-,-,-,0,49,8,198,69,275
116,2020-10-29 04:00:00,CAMDEN,779,329,14,-,-,-,0,320,68,1007,367,1442
38,2020-10-29 04:00:00,CANDLER,271,105,0,-,-,-,0,171,80,326,141,547
108,2020-10-29 04:00:00,CARROLL,1767,711,7,-,-,-,1,884,225,1465,1680,3370
33,2020-10-29 04:00:00,CATOOSA,915,43,7,-,-,-,2,505,46,771,655,1472
34,2020-10-29 04:00:00,CHARLTON,206,131,5,-,-,-,0,305,98,253,296,647
32,2020-10-29 04:00:00,CHATHAM,3794,3772,146,-,-,-,10,1778,615,6844,2041,9500
39,2020-10-29 04:00:00,CHATTAHOOCHEE,1229,218,29,-,-,-,0,307,101,594,1088,1783
40,2020-10-29 04:00:00,CHATTOOGA,435,74,3,-,-,-,4,451,79,393,495,967
135,2020-10-29 04:00:00,CHEROKEE,5032,394,70,-,-,-,2,1744,1268,4077,1897,7242
2,2020-10-29 04:00:00,CLARKE,3270,896,196,-,-,-,0,1447,717,3595,1497,5809
137,2020-10-29 04:00:00,CLAY,26,78,0,-,-,-,1,19,4,104,16,124
41,2020-10-29 04:00:00,CLAYTON,951,4472,219,-,-,-,4,2716,1232,4244,2886,8362
45,2020-10-29 04:00:00,CLINCH,188,129,0,-,-,-,0,139,20,302,134,456
44,2020-10-29 04:00:00,COBB,9524,5585,543,-,-,-,19,6461,4950,12033,5149,22132
3,2020-10-29 04:00:00,COFFEE,1030,562,6,-,-,-,2,696,288,1303,705,2296
42,2020-10-29 04:00:00,COLQUITT,1154,413,9,-,-,-,1,564,739,1115,287,2141
9,2020-10-29 04:00:00,COLUMBIA,2153,859,106,-,-,-,2,1320,164,2720,1556,4440
102,2020-10-29 04:00:00,COOK,268,155,1,-,-,-,0,174,50,410,138,598
43,2020-10-29 04:00:00,COWETA,1468,668,21,-,-,-,0,843,296,1829,875,3000
106,2020-10-29 04:00:00,CRAWFORD,82,69,0,-,-,-,0,45,1,135,60,196
50,2020-10-29 04:00:00,CRISP,202,291,5,-,-,-,1,153,34,468,150,652
48,2020-10-29 04:00:00,DADE,238,7,5,-,-,-,0,118,15,201,152,368
136,2020-10-29 04:00:00,DAWSON,796,8,2,-,-,-,1,118,59,728,138,925
46,2020-10-29 04:00:00,DECATUR,595,509,1,-,-,-,1,202,119,925,264,1308
117,2020-10-29 04:00:00,DEKALB,4871,9698,1084,-,-,-,12,5776,3207,12032,6202,21441
124,2020-10-29 04:00:00,DODGE,365,210,2,-,-,-,0,53,8,528,94,630
47,2020-10-29 04:00:00,DOOLY,115,194,1,-,-,-,0,66,31,288,57,376
49,2020-10-29 04:00:00,DOUGHERTY,582,2391,15,-,-,-,0,319,75,2589,643,3307
130,2020-10-29 04:00:00,DOUGLAS,1309,1898,69,-,-,-,1,870,614,2733,800,4147
51,2020-10-29 04:00:00,EARLY,138,342,1,-,-,-,0,75,6,438,112,556
54,2020-10-29 04:00:00,ECHOLS,87,7,1,-,-,-,0,151,117,65,64,246
103,2020-10-29 04:00:00,EFFINGHAM,1166,332,12,-,-,-,0,335,84,1356,405,1845
20,2020-10-29 04:00:00,ELBERT,321,305,4,-,-,-,0,131,44,580,137,761
57,2020-10-29 04:00:00,EMANUEL,498,344,7,-,-,-,1,359,33,772,404,1209
58,2020-10-29 04:00:00,EVANS,205,122,1,-,-,-,0,158,72,286,128,486
132,2020-10-29 04:00:00,FANNIN,726,2,0,-,-,-,0,105,36,664,133,833
133,2020-10-29 04:00:00,FAYETTE,865,559,32,-,-,-,2,687,146,1191,808,2145
140,2020-10-29 04:00:00,FLOYD,1958,440,29,-,-,-,5,1640,592,1759,1721,4072
56,2020-10-29 04:00:00,FORSYTH,3187,167,177,-,-,-,3,1289,767,2712,1344,4823
98,2020-10-29 04:00:00,FRANKLIN,632,88,5,-,-,-,0,230,59,649,247,955
14,2020-10-29 04:00:00,FULTON,9487,12383,618,-,-,-,24,8916,3385,18879,9164,31428
55,2020-10-29 04:00:00,GILMER,886,4,6,-,-,-,0,153,217,666,166,1049
52,2020-10-29 04:00:00,GLASCOCK,33,8,0,-,-,-,0,9,0,38,12,50
53,2020-10-29 04:00:00,GLYNN,2042,921,33,-,-,-,0,764,539,2594,627,3760
62,2020-10-29 04:00:00,GORDON,1292,85,27,-,-,-,6,1018,535,962,931,2428
61,2020-10-29 04:00:00,GRADY,474,263,0,-,-,-,1,129,227,527,113,867
110,2020-10-29 04:00:00,GREENE,230,226,0,-,-,-,0,121,29,350,198,577
59,2020-10-29 04:00:00,GWINNETT,11311,5385,1591,-,-,-,25,12582,8720,11927,10247,30894
60,2020-10-29 04:00:00,HABERSHAM,1375,44,26,-,-,-,0,455,405,1091,404,1900
139,2020-10-29 04:00:00,HALL,6210,626,57,-,-,-,1,3891,3484,5061,2240,10785
105,2020-10-29 04:00:00,HANCOCK,74,272,0,-,-,-,0,68,3,308,103,414
63,2020-10-29 04:00:00,HARALSON,512,17,0,-,-,-,0,132,4,287,370,661
142,2020-10-29 04:00:00,HARRIS,504,213,7,-,-,-,1,127,25,654,173,852
107,2020-10-29 04:00:00,HART,326,128,9,-,-,-,1,123,38,416,133,587
64,2020-10-29 04:00:00,HEARD,158,41,0,-,-,-,0,38,2,171,64,237
12,2020-10-29 04:00:00,HENRY,1636,2686,109,-,-,-,9,1864,391,3475,2438,6304
143,2020-10-29 04:00:00,HOUSTON,1315,1161,43,-,-,-,3,1146,194,2266,1208,3668
65,2020-10-29 04:00:00,IRWIN,150,98,0,-,-,-,0,111,23,238,98,359
126,2020-10-29 04:00:00,JACKSON,1624,146,49,-,-,-,2,605,232,1553,641,2426
141,2020-10-29 04:00:00,JASPER,140,59,0,-,-,-,0,50,4,182,63,249
138,2020-10-29 04:00:00,JEFF DAVIS,499,74,3,-,-,-,0,228,93,475,236,804
21,2020-10-29 04:00:00,JEFFERSON,225,495,1,-,-,-,3,133,25,641,191,857
66,2020-10-29 04:00:00,JENKINS,204,217,1,-,-,-,0,50,23,387,62,472
149,2020-10-29 04:00:00,JOHNSON,249,169,0,-,-,-,0,23,6,377,58,441
150,2020-10-29 04:00:00,JONES,361,168,0,-,-,-,0,121,5,462,183,650
147,2020-10-29 04:00:00,LAMAR,218,116,0,-,-,-,1,91,5,294,127,426
