,date_received,county,white,black,asian,american_indian,native_hawaiian,two_plus_races,other_race,unknown_race,hispanic,non_hispanic,unknown_eth,cum_cases
20,2020-10-28 04:00:00,ALL GEORGIA,146446,98298,6209,-,-,-,229,105657,45711,202552,108576,356839
21,2020-10-28 04:00:00,APPLING,600,203,6,-,-,-,3,361,119,647,407,1173
22,2020-10-28 04:00:00,ATKINSON,232,56,0,-,-,-,0,196,148,220,116,484
19,2020-10-28 04:00:00,BACON,390,87,2,-,-,-,0,159,102,426,110,638
29,2020-10-28 04:00:00,BAKER,37,46,0,-,-,-,0,9,10,68,14,92
3,2020-10-28 04:00:00,BALDWIN,1117,657,15,-,-,-,1,526,58,1551,707,2316
30,2020-10-28 04:00:00,BANKS,433,17,6,-,-,-,1,101,40,402,116,558
31,2020-10-28 04:00:00,BARROW,1551,318,69,-,-,-,1,692,331,1586,714,2631
32,2020-10-28 04:00:00,BARTOW,1990,360,35,-,-,-,3,1279,473,1691,1503,3667
28,2020-10-28 04:00:00,BEN HILL,380,247,4,-,-,-,0,246,42,584,251,877
105,2020-10-28 04:00:00,BERRIEN,336,65,0,-,-,-,2,90,29,391,73,493
4,2020-10-28 04:00:00,BIBB,1636,3567,55,-,-,-,2,1372,160,4787,1685,6632
26,2020-10-28 04:00:00,BLECKLEY,312,169,2,-,-,-,0,33,17,431,68,516
27,2020-10-28 04:00:00,BRANTLEY,345,21,1,-,-,-,0,96,3,360,100,463
126,2020-10-28 04:00:00,BROOKS,177,228,1,-,-,-,0,147,40,357,156,553
120,2020-10-28 04:00:00,BRYAN,800,196,12,-,-,-,2,311,47,924,350,1321
38,2020-10-28 04:00:00,BULLOCH,1663,706,19,-,-,-,0,715,129,2172,802,3103
122,2020-10-28 04:00:00,BURKE,252,485,3,-,-,-,0,156,31,649,216,896
33,2020-10-28 04:00:00,BUTTS,361,219,1,-,-,-,0,165,10,504,232,746
135,2020-10-28 04:00:00,CALHOUN,65,156,2,-,-,-,0,49,8,196,68,272
113,2020-10-28 04:00:00,CAMDEN,764,326,14,-,-,-,0,332,66,990,380,1436
34,2020-10-28 04:00:00,CANDLER,271,105,0,-,-,-,0,170,80,326,140,546
106,2020-10-28 04:00:00,CARROLL,1758,706,7,-,-,-,1,888,224,1452,1684,3360
36,2020-10-28 04:00:00,CATOOSA,904,43,7,-,-,-,2,505,45,762,654,1461
37,2020-10-28 04:00:00,CHARLTON,205,131,5,-,-,-,0,306,98,252,297,647
35,2020-10-28 04:00:00,CHATHAM,3778,3752,145,-,-,-,10,1794,610,6810,2059,9479
45,2020-10-28 04:00:00,CHATTAHOOCHEE,1204,217,29,-,-,-,0,303,100,590,1063,1753
40,2020-10-28 04:00:00,CHATTOOGA,430,74,3,-,-,-,4,449,79,387,494,960
132,2020-10-28 04:00:00,CHEROKEE,5006,391,70,-,-,-,2,1750,1267,4059,1893,7219
5,2020-10-28 04:00:00,CLARKE,3255,893,194,-,-,-,0,1445,714,3580,1493,5787
134,2020-10-28 04:00:00,CLAY,25,78,0,-,-,-,1,20,4,103,17,124
41,2020-10-28 04:00:00,CLAYTON,940,4431,213,-,-,-,4,2710,1225,4204,2869,8298
39,2020-10-28 04:00:00,CLINCH,184,128,0,-,-,-,0,141,20,297,136,453
42,2020-10-28 04:00:00,COBB,9435,5561,540,-,-,-,19,6504,4912,11852,5295,22059
2,2020-10-28 04:00:00,COFFEE,1008,552,6,-,-,-,2,706,286,1282,706,2274
43,2020-10-28 04:00:00,COLQUITT,1152,412,8,-,-,-,1,563,739,1110,287,2136
9,2020-10-28 04:00:00,COLUMBIA,2132,855,105,-,-,-,2,1321,163,2702,1550,4415
104,2020-10-28 04:00:00,COOK,261,154,1,-,-,-,0,178,50,408,136,594
44,2020-10-28 04:00:00,COWETA,1449,663,21,-,-,-,0,850,294,1814,875,2983
109,2020-10-28 04:00:00,CRAWFORD,82,68,0,-,-,-,0,46,1,134,61,196
50,2020-10-28 04:00:00,CRISP,202,291,5,-,-,-,1,152,34,467,150,651
49,2020-10-28 04:00:00,DADE,235,7,5,-,-,-,0,115,15,198,149,362
