,date_received,county,white,black,asian,american_indian,native_hawaiian,two_plus_races,other_race,unknown_race,hispanic,non_hispanic,unknown_eth,cum_cases
24,2020-10-25 04:00:00,ALL GEORGIA,142479,96224,6068,-,-,-,233,106877,45031,197441,109409,351881
25,2020-10-25 04:00:00,APPLING,589,196,7,-,-,-,2,366,114,634,412,1160
23,2020-10-25 04:00:00,ATKINSON,227,56,0,-,-,-,0,198,146,218,117,481
22,2020-10-25 04:00:00,BACON,383,87,2,-,-,-,0,162,102,420,112,634
29,2020-10-25 04:00:00,BAKER,36,46,0,-,-,-,0,9,10,67,14,91
0,2020-10-25 04:00:00,BALDWIN,1093,645,15,-,-,-,2,551,58,1516,732,2306
30,2020-10-25 04:00:00,BANKS,424,17,6,-,-,-,1,105,38,395,120,553
31,2020-10-25 04:00:00,BARROW,1505,314,65,-,-,-,1,694,329,1548,702,2579
28,2020-10-25 04:00:00,BARTOW,1901,348,35,-,-,-,3,1293,466,1621,1493,3580
26,2020-10-25 04:00:00,BEN HILL,377,242,4,-,-,-,0,248,41,577,253,871
110,2020-10-25 04:00:00,BERRIEN,333,65,0,-,-,-,2,91,29,388,74,491
1,2020-10-25 04:00:00,BIBB,1589,3516,55,-,-,-,2,1432,159,4725,1710,6594
27,2020-10-25 04:00:00,BLECKLEY,310,169,2,-,-,-,0,32,17,429,67,513
32,2020-10-25 04:00:00,BRANTLEY,330,20,1,-,-,-,0,95,3,344,99,446
131,2020-10-25 04:00:00,BROOKS,176,227,1,-,-,-,0,148,40,357,155,552
125,2020-10-25 04:00:00,BRYAN,772,191,12,-,-,-,2,325,43,894,365,1302
34,2020-10-25 04:00:00,BULLOCH,1643,700,19,-,-,-,0,723,128,2151,806,3085
124,2020-10-25 04:00:00,BURKE,243,478,3,-,-,-,0,155,31,634,214,879
35,2020-10-25 04:00:00,BUTTS,357,219,1,-,-,-,0,165,9,501,232,742
132,2020-10-25 04:00:00,CALHOUN,61,156,2,-,-,-,0,47,7,193,66,266
119,2020-10-25 04:00:00,CAMDEN,744,320,13,-,-,-,0,335,66,963,383,1412
36,2020-10-25 04:00:00,CANDLER,266,104,0,-,-,-,0,171,78,320,143,541
