county_name,White,Black or African American,Asian,American_Indian_Alaska_Native,Native_Hawaiian_Pacific_Islander,Two_races,Other Race,Unknown,Hispanic or Latino,Not Hispanic or Latino,Not Specified,Total
Adams,522.0,7.0,1.0,-,-,-,32.0,55.0,40,431,146,617.0
Allen,4616.0,1012.0,309.0,-,-,-,1629.0,1320.0,794,4898,3194,8886.0
Bartholomew,972.0,29.0,28.0,-,-,-,284.0,194.0,148,485,874,1507.0
Benton,75.0,0.0,0.0,-,-,-,13.0,25.0,45,54,14,113.0
Blackford,223.0,0.0,0.0,-,-,-,7.0,22.0,10,182,60,252.0
Boone,874.0,27.0,17.0,-,-,-,192.0,215.0,20,495,810,1325.0
Brown,129.0,0.0,2.0,-,-,-,9.0,12.0,1,95,56,152.0
Carroll,217.0,3.0,0.0,-,-,-,104.0,28.0,32,173,147,352.0
Cass,1046.0,105.0,117.0,-,-,-,648.0,411.0,969,673,685,2327.0
Clark,2200.0,246.0,23.0,-,-,-,249.0,411.0,271,1549,1309,3129.0
Clay,400.0,1.0,0.0,-,-,-,7.0,67.0,1,222,252,475.0
Clinton,682.0,2.0,1.0,-,-,-,212.0,55.0,290,508,154,952.0
Crawford,155.0,0.0,0.0,-,-,-,5.0,6.0,2,106,58,166.0
Daviess,645.0,11.0,2.0,-,-,-,88.0,195.0,21,239,681,941.0
Dearborn,810.0,7.0,5.0,-,-,-,22.0,214.0,7,583,468,1058.0
Decatur,465.0,2.0,1.0,-,-,-,28.0,51.0,7,345,195,547.0
Dekalb,681.0,4.0,4.0,-,-,-,63.0,48.0,21,618,161,800.0
Delaware,2325.0,228.0,8.0,-,-,-,153.0,471.0,38,1874,1273,3185.0
Dubois,1149.0,19.0,1.0,-,-,-,233.0,133.0,281,983,271,1535.0
Elkhart,4538.0,415.0,57.0,-,-,-,1739.0,2800.0,1851,2444,5254,9549.0
Fayette,663.0,15.0,0.0,-,-,-,19.0,113.0,4,483,323,810.0
Floyd,1448.0,123.0,12.0,-,-,-,122.0,200.0,60,946,899,1905.0
Fountain,274.0,2.0,0.0,-,-,-,23.0,57.0,5,185,166,356.0
Franklin,298.0,0.0,0.0,-,-,-,9.0,81.0,2,231,155,388.0
Fulton,317.0,2.0,1.0,-,-,-,36.0,55.0,35,230,146,411.0
Gibson,710.0,11.0,1.0,-,-,-,98.0,147.0,11,204,752,967.0
Grant,1072.0,64.0,7.0,-,-,-,99.0,139.0,56,882,443,1381.0
Greene,517.0,1.0,0.0,-,-,-,15.0,61.0,12,375,207,594.0
Hamilton,4171.0,251.0,143.0,-,-,-,464.0,1512.0,183,2564,3794,6541.0
Hancock,901.0,37.0,5.0,-,-,-,128.0,200.0,26,496,749,1271.0
Harrison,741.0,2.0,4.0,-,-,-,21.0,56.0,24,557,243,824.0
Hendricks,2266.0,281.0,64.0,-,-,-,311.0,550.0,96,1682,1694,3472.0
Henry,1021.0,46.0,2.0,-,-,-,120.0,188.0,28,631,718,1377.0
Howard,1219.0,131.0,4.0,-,-,-,150.0,221.0,50,863,812,1725.0
Huntington,422.0,3.0,0.0,-,-,-,22.0,25.0,16,360,96,472.0
