county_name,White,Black or African American,Asian,American_Indian_Alaska_Native,Native_Hawaiian_Pacific_Islander,Two_races,Other Race,Unknown,Hispanic or Latino,Not Hispanic or Latino,Not Specified,Total
Adams,432.0,5.0,1.0,-,-,-,28.0,44.0,36,351,123,510.0
Allen,4276.0,961.0,301.0,-,-,-,1560.0,1326.0,750,4583,3091,8424.0
Bartholomew,927.0,28.0,28.0,-,-,-,277.0,193.0,143,463,847,1453.0
Benton,72.0,0.0,0.0,-,-,-,13.0,24.0,45,51,13,109.0
Blackford,202.0,0.0,0.0,-,-,-,7.0,22.0,10,165,56,231.0
Boone,820.0,27.0,17.0,-,-,-,186.0,219.0,19,472,778,1269.0
Brown,123.0,0.0,2.0,-,-,-,9.0,12.0,1,90,55,146.0
Carroll,201.0,3.0,0.0,-,-,-,104.0,24.0,32,160,140,332.0
Cass,997.0,105.0,116.0,-,-,-,646.0,405.0,968,645,656,2269.0
Clark,2104.0,238.0,20.0,-,-,-,244.0,401.0,268,1478,1261,3007.0
Clay,379.0,1.0,0.0,-,-,-,7.0,69.0,0,212,244,456.0
Clinton,636.0,1.0,1.0,-,-,-,201.0,50.0,268,469,152,889.0
Crawford,149.0,0.0,0.0,-,-,-,5.0,6.0,2,101,57,160.0
Daviess,615.0,10.0,2.0,-,-,-,85.0,190.0,19,230,653,902.0
Dearborn,757.0,6.0,5.0,-,-,-,21.0,211.0,7,551,442,1000.0
Decatur,434.0,2.0,1.0,-,-,-,28.0,52.0,7,319,191,517.0
Dekalb,634.0,4.0,2.0,-,-,-,58.0,47.0,20,569,156,745.0
Delaware,2185.0,213.0,8.0,-,-,-,144.0,484.0,37,1760,1237,3034.0
Dubois,1051.0,19.0,1.0,-,-,-,232.0,124.0,279,889,259,1427.0
Elkhart,4164.0,392.0,52.0,-,-,-,1652.0,2766.0,1763,2238,5025,9026.0
Fayette,578.0,15.0,0.0,-,-,-,17.0,122.0,4,436,292,732.0
Floyd,1398.0,120.0,12.0,-,-,-,116.0,193.0,56,911,872,1839.0
Fountain,251.0,2.0,0.0,-,-,-,21.0,45.0,5,173,141,319.0
Franklin,288.0,0.0,0.0,-,-,-,9.0,82.0,2,224,153,379.0
Fulton,282.0,2.0,1.0,-,-,-,34.0,52.0,35,204,132,371.0
Gibson,652.0,10.0,1.0,-,-,-,89.0,163.0,11,197,707,915.0
Grant,999.0,57.0,7.0,-,-,-,93.0,141.0,52,815,430,1297.0
Greene,479.0,0.0,0.0,-,-,-,15.0,64.0,11,353,194,558.0
Hamilton,3970.0,243.0,139.0,-,-,-,442.0,1499.0,171,2432,3690,6293.0
Hancock,856.0,37.0,5.0,-,-,-,125.0,200.0,25,475,723,1223.0
Harrison,701.0,2.0,4.0,-,-,-,21.0,55.0,24,522,237,783.0
Hendricks,2171.0,276.0,64.0,-,-,-,295.0,531.0,96,1621,1620,3337.0
Henry,937.0,45.0,2.0,-,-,-,112.0,201.0,27,577,693,1297.0
Howard,1176.0,127.0,4.0,-,-,-,149.0,214.0,48,840,782,1670.0
Huntington,374.0,3.0,0.0,-,-,-,21.0,23.0,15,317,89,421.0
Jackson,763.0,6.0,6.0,-,-,-,314.0,75.0,241,539,384,1164.0
Jasper,445.0,4.0,2.0,-,-,-,87.0,105.0,35,352,256,643.0
Jay,264.0,2.0,1.0,-,-,-,24.0,34.0,20,201,104,325.0
Jefferson,283.0,5.0,2.0,-,-,-,16.0,39.0,3,203,139,345.0
Jennings,289.0,1.0,0.0,-,-,-,51.0,32.0,13,161,199,373.0
Johnson,2141.0,67.0,83.0,-,-,-,409.0,507.0,65,1655,1487,3207.0
Knox,630.0,17.0,2.0,-,-,-,30.0,116.0,18,385,392,795.0
Kosciusko,1237.0,13.0,9.0,-,-,-,215.0,463.0,168,949,820,1937.0
Lagrange,559.0,0.0,0.0,-,-,-,81.0,181.0,32,452,337,821.0
Lake,4654.0,2354.0,59.0,-,-,-,3010.0,3946.0,2020,3973,8030,14023.0
Laporte,1422.0,295.0,7.0,-,-,-,253.0,340.0,175,1333,809,2317.0
Lawrence,766.0,2.0,4.0,-,-,-,100.0,68.0,5,628,307,940.0
Madison,1636.0,169.0,4.0,-,-,-,230.0,410.0,78,1204,1167,2449.0
Marion,9601.0,5172.0,596.0,-,-,-,4635.0,5687.0,2278,8078,15335,25691.0
Marshall,852.0,7.0,2.0,-,-,-,222.0,344.0,187,391,849,1427.0
Martin,162.0,0.0,2.0,-,-,-,17.0,20.0,0,127,74,201.0
Miami,445.0,27.0,4.0,-,-,-,40.0,126.0,29,333,280,642.0
Monroe,2432.0,115.0,92.0,-,-,-,450.0,214.0,140,1529,1634,3303.0
Montgomery,336.0,5.0,0.0,-,-,-,165.0,98.0,62,280,262,604.0
Morgan,776.0,2.0,1.0,-,-,-,115.0,80.0,8,598,368,974.0
Newton,165.0,3.0,0.0,-,-,-,35.0,27.0,11,140,79,230.0
Noble,795.0,5.0,12.0,-,-,-,240.0,139.0,210,735,246,1191.0
Ohio,115.0,0.0,0.0,-,-,-,1.0,15.0,0,72,59,131.0
Orange,374.0,3.0,1.0,-,-,-,24.0,15.0,1,259,157,417.0
Owen,164.0,2.0,1.0,-,-,-,14.0,29.0,3,119,88,210.0
Parke,197.0,0.0,1.0,-,-,-,5.0,43.0,5,128,113,246.0
Perry,223.0,4.0,0.0,-,-,-,26.0,80.0,1,112,220,333.0
Pike,282.0,0.0,0.0,-,-,-,18.0,40.0,0,103,237,340.0
Porter,2165.0,170.0,18.0,-,-,-,426.0,544.0,309,1666,1348,3323.0
Posey,656.0,14.0,1.0,-,-,-,53.0,31.0,10,77,668,755.0
Pulaski,136.0,2.0,1.0,-,-,-,6.0,15.0,3,101,56,160.0
Putnam,536.0,67.0,4.0,-,-,-,58.0,91.0,10,362,384,756.0
Randolph,304.0,3.0,0.0,-,-,-,21.0,44.0,15,197,160,372.0
Ripley,385.0,1.0,1.0,-,-,-,18.0,61.0,3,327,136,466.0
Rush,172.0,1.0,0.0,-,-,-,11.0,41.0,0,118,107,225.0
Scott,433.0,1.0,0.0,-,-,-,58.0,42.0,10,308,216,534.0
Shelby,606.0,7.0,1.0,-,-,-,130.0,128.0,81,401,390,872.0
Spencer,318.0,5.0,1.0,-,-,-,32.0,48.0,19,168,217,404.0
St. Joseph,3623.0,1083.0,64.0,-,-,-,1301.0,3328.0,572,1967,6860,9399.0
Starke,328.0,3.0,0.0,-,-,-,20.0,81.0,12,249,171,432.0
Steuben,419.0,6.0,1.0,-,-,-,82.0,132.0,29,267,344,640.0
Sullivan,350.0,2.0,0.0,-,-,-,4.0,96.0,0,155,297,452.0
Switzerland,68.0,0.0,0.0,-,-,-,5.0,23.0,0,41,55,96.0
Tippecanoe,2209.0,194.0,72.0,-,-,-,491.0,870.0,482,1763,1591,3836.0
Tipton,255.0,1.0,0.0,-,-,-,11.0,13.0,4,216,60,280.0
Union,69.0,0.0,,-,-,-,5.0,38.0,0,38,74,112.0
Vanderburgh,4503.0,565.0,36.0,-,-,-,449.0,458.0,50,798,5163,6011.0
Vermillion,222.0,1.0,0.0,-,-,-,0.0,37.0,1,156,103,260.0
Vigo,1828.0,164.0,27.0,-,-,-,67.0,601.0,51,1247,1389,2687.0
Wabash,329.0,6.0,1.0,-,-,-,43.0,53.0,16,277,139,432.0
Warren,77.0,0.0,0.0,-,-,-,2.0,10.0,1,63,25,89.0
Warrick,1694.0,29.0,8.0,-,-,-,146.0,118.0,9,252,1734,1995.0
Washington,315.0,2.0,0.0,-,-,-,32.0,35.0,5,203,176,384.0
Wayne,935.0,58.0,6.0,-,-,-,103.0,251.0,46,663,644,1353.0
Wells,374.0,2.0,1.0,-,-,-,15.0,50.0,8,340,94,442.0
White,416.0,4.0,4.0,-,-,-,96.0,79.0,89,301,209,599.0
Whitley,376.0,3.0,1.0,-,-,-,44.0,45.0,14,326,129,469.0
