county_name,White,Black or African American,Asian,American_Indian_Alaska_Native,Native_Hawaiian_Pacific_Islander,Two_races,Other Race,Unknown,Hispanic or Latino,Not Hispanic or Latino,Not Specified,Total
Adams,628.0,7.0,1.0,-,-,-,35.0,73.0,42,525,177,744.0
Allen,5368.0,1095.0,324.0,-,-,-,1724.0,1408.0,861,5648,3410,9919.0
Bartholomew,1079.0,32.0,28.0,-,-,-,296.0,221.0,153,560,943,1656.0
Benton,86.0,0.0,0.0,-,-,-,13.0,28.0,47,63,17,127.0
Blackford,255.0,0.0,0.0,-,-,-,9.0,26.0,10,213,67,290.0
Boone,974.0,27.0,19.0,-,-,-,201.0,237.0,23,548,887,1458.0
Brown,143.0,0.0,2.0,-,-,-,9.0,12.0,1,109,56,166.0
Carroll,250.0,3.0,0.0,-,-,-,109.0,46.0,38,207,163,408.0
Cass,1113.0,106.0,117.0,-,-,-,653.0,434.0,972,728,723,2423.0
Clark,2380.0,255.0,24.0,-,-,-,259.0,462.0,285,1700,1395,3380.0
Clay,472.0,1.0,0.0,-,-,-,9.0,91.0,1,255,317,573.0
Clinton,779.0,2.0,2.0,-,-,-,246.0,72.0,330,595,176,1101.0
Crawford,166.0,0.0,0.0,-,-,-,6.0,9.0,3,113,65,181.0
Daviess,676.0,13.0,2.0,-,-,-,102.0,251.0,23,246,775,1044.0
Dearborn,888.0,8.0,5.0,-,-,-,26.0,260.0,9,645,533,1187.0
Decatur,544.0,3.0,1.0,-,-,-,29.0,66.0,7,418,218,643.0
Dekalb,816.0,4.0,5.0,-,-,-,71.0,62.0,27,759,172,958.0
Delaware,2514.0,244.0,11.0,-,-,-,158.0,531.0,39,2048,1371,3458.0
Dubois,1270.0,20.0,2.0,-,-,-,238.0,145.0,285,1097,293,1675.0
Elkhart,5079.0,457.0,68.0,-,-,-,1820.0,3315.0,2021,2882,5836,10739.0
Fayette,787.0,15.0,1.0,-,-,-,20.0,148.0,5,603,363,971.0
Floyd,1558.0,130.0,12.0,-,-,-,135.0,241.0,63,1030,983,2076.0
Fountain,331.0,2.0,0.0,-,-,-,26.0,65.0,6,222,196,424.0
Franklin,319.0,0.0,0.0,-,-,-,10.0,88.0,2,252,163,417.0
Fulton,354.0,2.0,1.0,-,-,-,37.0,58.0,35,263,154,452.0
Gibson,771.0,11.0,1.0,-,-,-,112.0,171.0,11,214,841,1066.0
Grant,1178.0,71.0,7.0,-,-,-,107.0,154.0,61,987,469,1517.0
Greene,554.0,1.0,0.0,-,-,-,16.0,83.0,13,409,232,654.0
Hamilton,4680.0,263.0,159.0,-,-,-,501.0,1680.0,203,2990,4090,7283.0
Hancock,993.0,41.0,5.0,-,-,-,133.0,237.0,26,579,804,1409.0
Harrison,818.0,2.0,5.0,-,-,-,22.0,66.0,24,627,262,913.0
Hendricks,2440.0,290.0,68.0,-,-,-,334.0,624.0,103,1832,1821,3756.0
Henry,1142.0,47.0,2.0,-,-,-,129.0,256.0,29,741,806,1576.0
Howard,1325.0,135.0,5.0,-,-,-,152.0,252.0,51,950,868,1869.0
Huntington,514.0,3.0,0.0,-,-,-,30.0,30.0,18,451,108,577.0
Jackson,896.0,6.0,6.0,-,-,-,354.0,88.0,244,660,446,1350.0
Jasper,591.0,5.0,2.0,-,-,-,133.0,129.0,36,484,340,860.0
Jay,365.0,2.0,1.0,-,-,-,27.0,56.0,22,281,148,451.0
Jefferson,403.0,6.0,4.0,-,-,-,19.0,47.0,5,316,158,479.0
Jennings,367.0,4.0,0.0,-,-,-,56.0,40.0,13,231,223,467.0
Johnson,2523.0,70.0,107.0,-,-,-,438.0,571.0,83,1978,1648,3709.0
Knox,779.0,21.0,2.0,-,-,-,40.0,149.0,23,473,495,991.0
Kosciusko,1705.0,19.0,12.0,-,-,-,243.0,518.0,215,1385,897,2497.0
Lagrange,622.0,0.0,0.0,-,-,-,77.0,216.0,34,502,379,915.0
Lake,5726.0,2606.0,69.0,-,-,-,3313.0,5034.0,2412,4979,9357,16748.0
Laporte,1720.0,328.0,7.0,-,-,-,285.0,405.0,211,1617,917,2745.0
Lawrence,946.0,2.0,4.0,-,-,-,101.0,70.0,5,784,334,1123.0
Madison,2023.0,188.0,7.0,-,-,-,264.0,444.0,113,1542,1271,2926.0
Marion,10699.0,5500.0,756.0,-,-,-,5044.0,6277.0,2468,9091,16717,28276.0
Marshall,1042.0,9.0,3.0,-,-,-,253.0,416.0,223,541,959,1723.0
Martin,174.0,0.0,2.0,-,-,-,17.0,24.0,0,136,81,217.0
Miami,584.0,28.0,5.0,-,-,-,43.0,149.0,31,459,319,809.0
Monroe,2669.0,129.0,103.0,-,-,-,480.0,237.0,154,1679,1785,3618.0
Montgomery,463.0,6.0,0.0,-,-,-,190.0,106.0,68,391,306,765.0
Morgan,928.0,2.0,1.0,-,-,-,122.0,94.0,9,743,395,1147.0
Newton,211.0,3.0,0.0,-,-,-,45.0,35.0,11,186,97,294.0
Noble,955.0,5.0,22.0,-,-,-,286.0,151.0,236,892,291,1419.0
Ohio,132.0,0.0,0.0,-,-,-,2.0,21.0,1,87,67,155.0
Orange,414.0,3.0,1.0,-,-,-,24.0,22.0,1,288,175,464.0
Owen,193.0,2.0,1.0,-,-,-,14.0,60.0,3,143,124,270.0
Parke,240.0,1.0,1.0,-,-,-,5.0,46.0,5,163,125,293.0
Perry,339.0,14.0,1.0,-,-,-,54.0,126.0,1,165,368,534.0
Pike,327.0,0.0,0.0,-,-,-,21.0,45.0,0,129,264,393.0
Porter,2799.0,193.0,26.0,-,-,-,522.0,771.0,386,2237,1688,4311.0
Posey,768.0,15.0,1.0,-,-,-,61.0,32.0,10,86,781,877.0
Pulaski,182.0,2.0,1.0,-,-,-,9.0,18.0,4,139,69,212.0
Putnam,608.0,67.0,4.0,-,-,-,65.0,114.0,12,419,427,858.0
Randolph,454.0,4.0,0.0,-,-,-,23.0,62.0,19,341,183,543.0
Ripley,487.0,1.0,1.0,-,-,-,21.0,78.0,4,419,165,588.0
Rush,257.0,1.0,0.0,-,-,-,15.0,42.0,1,187,127,315.0
Scott,497.0,2.0,0.0,-,-,-,68.0,50.0,10,366,241,617.0
Shelby,739.0,7.0,2.0,-,-,-,143.0,162.0,84,490,479,1053.0
Spencer,378.0,5.0,1.0,-,-,-,43.0,53.0,20,204,256,480.0
St. Joseph,4321.0,1183.0,82.0,-,-,-,1450.0,3886.0,630,2419,7873,10922.0
Starke,414.0,3.0,0.0,-,-,-,27.0,114.0,20,339,199,558.0
Steuben,512.0,7.0,1.0,-,-,-,88.0,168.0,31,341,404,776.0
Sullivan,393.0,3.0,0.0,-,-,-,5.0,102.0,0,174,329,503.0
Switzerland,79.0,0.0,0.0,-,-,-,7.0,28.0,1,47,66,114.0
Tippecanoe,2795.0,209.0,100.0,-,-,-,590.0,994.0,559,2252,1877,4688.0
Tipton,288.0,1.0,0.0,-,-,-,11.0,13.0,4,238,71,313.0
Union,86.0,0.0,,-,-,-,6.0,45.0,0,51,86,137.0
Vanderburgh,5160.0,624.0,40.0,-,-,-,496.0,524.0,56,924,5864,6844.0
Vermillion,266.0,1.0,0.0,-,-,-,0.0,51.0,1,189,128,318.0
Vigo,2207.0,175.0,32.0,-,-,-,76.0,711.0,63,1519,1619,3201.0
Wabash,506.0,6.0,2.0,-,-,-,51.0,65.0,19,435,176,630.0
Warren,107.0,0.0,0.0,-,-,-,2.0,14.0,2,89,32,123.0
Warrick,1903.0,32.0,10.0,-,-,-,162.0,148.0,10,283,1962,2255.0
Washington,358.0,2.0,0.0,-,-,-,39.0,39.0,6,234,198,438.0
Wayne,1268.0,74.0,9.0,-,-,-,123.0,310.0,60,944,780,1784.0
Wells,493.0,2.0,1.0,-,-,-,20.0,57.0,9,455,109,573.0
White,507.0,4.0,4.0,-,-,-,108.0,88.0,91,380,240,711.0
Whitley,491.0,3.0,1.0,-,-,-,51.0,50.0,15,432,149,596.0
