date,county_name,white,black,asian,ai/an**,nh/pi*,two_plus,other,left blank,hispanic,non_hispanic,eth_unknown,total
2020-10-26,Morgan,371.0,182.0,0.0,0.0,0.0,-,7.0,328.0,42.0,-,-,934.0
2020-10-26,Moultrie,304.0,6.0,0.0,0.0,0.0,-,6.0,93.0,6.0,-,-,415.0
2020-10-26,Ogle,474.0,6.0,0.0,0.0,0.0,-,18.0,526.0,191.0,-,-,1218.0
2020-10-26,Peoria,2567.0,883.0,60.0,0.0,0.0,-,163.0,544.0,398.0,-,-,4622.0
2020-10-26,Perry,326.0,9.0,0.0,0.0,0.0,-,0.0,95.0,12.0,-,-,447.0
2020-10-26,Piatt,217.0,0.0,0.0,0.0,0.0,-,6.0,25.0,0.0,-,-,254.0
2020-10-26,Pike,229.0,0.0,0.0,0.0,0.0,-,0.0,124.0,0.0,-,-,358.0
2020-10-26,Pope,32.0,0.0,-,-,-,-,0.0,8.0,0.0,-,-,42.0
2020-10-26,Pulaski,75.0,35.0,0.0,-,-,-,0.0,58.0,71.0,-,-,240.0
2020-10-26,Putnam,59.0,0.0,0.0,-,0.0,-,0.0,28.0,0.0,-,-,92.0
2020-10-26,Randolph,694.0,109.0,0.0,0.0,0.0,-,6.0,356.0,116.0,-,-,1283.0
2020-10-26,Richland,299.0,0.0,0.0,-,0.0,-,0.0,25.0,0.0,-,-,335.0
2020-10-26,Rock Island,1216.0,416.0,79.0,0.0,0.0,-,83.0,1795.0,477.0,-,-,4070.0
2020-10-26,Saline,397.0,27.0,0.0,0.0,0.0,-,0.0,132.0,0.0,-,-,567.0
2020-10-26,Sangamon,2099.0,608.0,31.0,0.0,15.0,-,37.0,1211.0,65.0,-,-,4067.0
2020-10-26,Schuyler,70.0,7.0,-,-,-,-,0.0,12.0,0.0,-,-,90.0
2020-10-26,Scott,29.0,0.0,0.0,-,-,-,0.0,77.0,0.0,-,-,107.0
2020-10-26,Shelby,585.0,0.0,0.0,0.0,0.0,-,6.0,88.0,8.0,-,-,691.0
2020-10-26,St. Clair,1857.0,2428.0,21.0,0.0,9.0,-,250.0,3086.0,339.0,-,-,7993.0
2020-10-26,Stark,32.0,0.0,0.0,-,-,-,0.0,52.0,0.0,-,-,86.0
2020-10-26,Stephenson,584.0,53.0,0.0,0.0,0.0,-,0.0,294.0,78.0,-,-,1018.0
2020-10-26,Tazewell,1193.0,26.0,7.0,0.0,0.0,-,29.0,1408.0,23.0,-,-,2687.0
2020-10-26,Union,558.0,38.0,0.0,-,0.0,-,0.0,130.0,58.0,-,-,787.0
2020-10-26,Vermilion,1190.0,258.0,0.0,0.0,0.0,-,57.0,157.0,73.0,-,-,1741.0
2020-10-26,Wabash,148.0,0.0,0.0,-,0.0,-,0.0,60.0,12.0,-,-,228.0
2020-10-26,Warren,295.0,14.0,18.0,0.0,0.0,-,6.0,103.0,69.0,-,-,506.0
2020-10-26,Washington,225.0,0.0,0.0,-,0.0,-,0.0,72.0,8.0,-,-,310.0
2020-10-26,Wayne,418.0,0.0,0.0,-,0.0,-,0.0,52.0,14.0,-,-,486.0
2020-10-26,White,202.0,0.0,0.0,-,0.0,-,0.0,61.0,0.0,-,-,270.0
2020-10-26,Whiteside,834.0,74.0,0.0,0.0,0.0,-,38.0,388.0,122.0,-,-,1460.0
2020-10-26,Will,5576.0,2081.0,356.0,30.0,14.0,-,631.0,6438.0,3495.0,-,-,18621.0
2020-10-26,Williamson,1329.0,53.0,8.0,0.0,0.0,-,16.0,459.0,22.0,-,-,1888.0
2020-10-26,Winnebago,4655.0,1408.0,209.0,7.0,0.0,-,186.0,1601.0,2269.0,-,-,10340.0
2020-10-26,Woodford,208.0,0.0,0.0,0.0,0.0,-,7.0,420.0,0.0,-,-,637.0
