county_name,Date,White,Black or African American,Asian,American_Indian_Alaska_Native,Native_Hawaiian_Pacific_Islander,Two_races,Other Race,Unknown,Hispanic or Latino,Not Hispanic or Latino,Not Specified,Total
Adams,2020-12-28,2290,14,5,-,-,-,91,160,105,1967,488,2560
Allen,2020-12-28,17704,2675,800,-,-,-,3624,2428,1987,18334,6910,27231
Bartholomew,2020-12-28,3484,89,66,-,-,-,1065,594,333,1975,2990,5298
Benton,2020-12-28,585,3,0,-,-,-,82,64,69,503,162,734
Blackford,2020-12-28,731,2,1,-,-,-,62,52,14,614,220,848
Boone,2020-12-28,3025,83,74,-,-,-,615,509,72,2043,2191,4306
Brown,2020-12-28,605,1,2,-,-,-,39,46,7,514,172,693
Carroll,2020-12-28,966,7,0,-,-,-,176,122,57,789,425,1271
Cass,2020-12-28,2504,135,120,-,-,-,813,550,1118,1711,1293,4122
Clark,2020-12-28,5517,532,49,-,-,-,871,1104,421,4107,3545,8073
Clay,2020-12-28,1560,1,2,-,-,-,28,240,17,994,820,1831
Clinton,2020-12-28,2365,12,5,-,-,-,578,159,771,1895,453,3119
Crawford,2020-12-28,525,1,0,-,-,-,21,23,7,345,218,570
Daviess,2020-12-28,1523,25,4,-,-,-,149,524,30,540,1655,2225
Dearborn,2020-12-28,2950,25,11,-,-,-,82,628,25,2129,1542,3696
Decatur,2020-12-28,1731,9,6,-,-,-,93,218,23,1517,517,2057
Dekalb,2020-12-28,2549,10,10,-,-,-,222,115,80,2442,384,2906
Delaware,2020-12-28,5597,505,29,-,-,-,344,942,103,4583,2731,7417
Dubois,2020-12-28,3358,29,3,-,-,-,444,561,430,2916,1049,4395
Elkhart,2020-12-28,12392,922,176,-,-,-,3421,5471,3789,7356,11237,22382
Fayette,2020-12-28,1827,27,3,-,-,-,44,235,11,1398,727,2136
Floyd,2020-12-28,3746,241,34,-,-,-,391,523,121,2565,2249,4935
Fountain,2020-12-28,1162,4,0,-,-,-,80,208,30,869,555,1454
Franklin,2020-12-28,933,0,0,-,-,-,17,207,4,747,406,1157
Fulton,2020-12-28,1134,8,3,-,-,-,68,139,62,919,371,1352
Gibson,2020-12-28,2218,47,3,-,-,-,207,457,17,612,2303,2932
Grant,2020-12-28,3690,296,19,-,-,-,310,472,188,3227,1372,4787
Greene,2020-12-28,1601,4,1,-,-,-,59,208,18,1255,600,1873
Hamilton,2020-12-28,15768,803,554,-,-,-,1539,4333,833,11969,10195,22997
Hancock,2020-12-28,3937,108,25,-,-,-,290,549,82,2872,1955,4909
Harrison,2020-12-28,2266,12,10,-,-,-,62,180,51,1855,624,2530
Hendricks,2020-12-28,7621,677,192,-,-,-,1026,1449,278,6181,4506,10965
Henry,2020-12-28,3417,79,7,-,-,-,228,350,59,2595,1427,4081
Howard,2020-12-28,4863,383,24,-,-,-,257,885,125,3348,2939,6412
Huntington,2020-12-28,2060,12,4,-,-,-,156,146,47,1834,497,2378
Jackson,2020-12-28,2380,17,22,-,-,-,1069,189,390,1840,1447,3677
Jasper,2020-12-28,1773,14,3,-,-,-,314,294,90,1480,828,2398
Jay,2020-12-28,1289,6,1,-,-,-,49,133,36,996,446,1478
Jefferson,2020-12-28,1820,29,12,-,-,-,62,169,45,1427,620,2092
Jennings,2020-12-28,1344,13,0,-,-,-,185,125,39,1004,624,1667
Johnson,2020-12-28,8478,194,367,-,-,-,1027,1574,273,7153,4214,11640
Knox,2020-12-28,2377,44,8,-,-,-,97,274,38,1546,1216,2800
Kosciusko,2020-12-28,4928,58,35,-,-,-,678,976,683,4306,1686,6675
Lagrange,2020-12-28,1449,7,3,-,-,-,220,311,96,1213,681,1990
Lake,2020-12-28,14589,5318,181,-,-,-,7889,11072,5300,12238,21511,39049
Laporte,2020-12-28,4376,648,11,-,-,-,1362,888,488,4042,2755,7285
Lawrence,2020-12-28,2772,9,11,-,-,-,222,131,25,2421,699,3145
Madison,2020-12-28,6424,453,31,-,-,-,573,1168,298,5136,3215,8649
Marion,2020-12-28,30749,12254,2226,-,-,-,9854,13353,4993,27255,36188,68436
Marshall,2020-12-28,2952,30,21,-,-,-,613,769,498,1848,2039,4385
Martin,2020-12-28,435,0,2,-,-,-,34,91,4,330,228,562
Miami,2020-12-28,2101,75,11,-,-,-,120,346,69,1730,854,2653
Monroe,2020-12-28,5591,264,201,-,-,-,1233,548,281,4312,3244,7837
Montgomery,2020-12-28,1895,20,5,-,-,-,578,233,168,1587,976,2731
Morgan,2020-12-28,3571,18,7,-,-,-,255,257,36,3072,1000,4108
Newton,2020-12-28,604,5,2,-,-,-,118,82,23,519,269,811
Noble,2020-12-28,3013,16,30,-,-,-,563,290,568,2736,608,3912
Ohio,2020-12-28,341,2,1,-,-,-,7,34,5,233,147,385
Orange,2020-12-28,1044,13,1,-,-,-,44,65,8,736,423,1167
Owen,2020-12-28,1016,2,7,-,-,-,67,173,6,782,477,1265
Parke,2020-12-28,984,8,1,-,-,-,20,130,11,663,469,1143
Perry,2020-12-28,805,40,1,-,-,-,78,232,4,294,858,1156
Pike,2020-12-28,712,0,0,-,-,-,41,139,1,382,509,892
Porter,2020-12-28,7768,465,72,-,-,-,1917,2269,945,6138,5408,12491
Posey,2020-12-28,1617,24,1,-,-,-,92,80,14,321,1479,1814
Pulaski,2020-12-28,649,9,3,-,-,-,60,103,22,520,282,824
Putnam,2020-12-28,1942,87,12,-,-,-,153,194,30,1438,920,2388
Randolph,2020-12-28,1580,7,3,-,-,-,59,152,52,1261,488,1801
Ripley,2020-12-28,2073,4,7,-,-,-,103,208,33,1730,632,2395
Rush,2020-12-28,979,4,1,-,-,-,53,89,6,753,367,1126
Scott,2020-12-28,1370,5,0,-,-,-,374,123,22,1077,773,1872
Shelby,2020-12-28,2558,29,7,-,-,-,285,370,172,1580,1497,3249
Spencer,2020-12-28,1119,7,2,-,-,-,109,166,28,623,752,1403
