county_name,Date,White,Black or African American,Asian,American_Indian_Alaska_Native,Native_Hawaiian_Pacific_Islander,Two_races,Other Race,Unknown,Hispanic or Latino,Not Hispanic or Latino,Not Specified,Total
Adams,2020-12-16,2099,13,5,-,-,-,83,138,97,1803,438,2338
Allen,2020-12-16,15916,2486,727,-,-,-,3360,2281,1839,16444,6487,24770
Bartholomew,2020-12-16,3107,77,57,-,-,-,926,549,313,1777,2626,4716
Benton,2020-12-16,529,2,0,-,-,-,58,54,66,454,123,643
Blackford,2020-12-16,673,2,1,-,-,-,62,52,14,563,213,790
Boone,2020-12-16,2592,71,54,-,-,-,476,448,63,1711,1867,3641
Brown,2020-12-16,490,1,2,-,-,-,28,35,7,415,134,556
Carroll,2020-12-16,817,6,0,-,-,-,164,111,54,666,378,1098
Cass,2020-12-16,2169,130,120,-,-,-,774,525,1082,1454,1182,3718
Clark,2020-12-16,4946,487,43,-,-,-,686,881,405,3677,2961,7043
Clay,2020-12-16,1435,1,1,-,-,-,26,177,15,906,719,1640
Clinton,2020-12-16,2047,9,4,-,-,-,505,138,672,1649,382,2703
Crawford,2020-12-16,454,1,0,-,-,-,19,22,6,297,193,496
Daviess,2020-12-16,1391,25,3,-,-,-,142,484,30,491,1524,2045
Dearborn,2020-12-16,2552,24,8,-,-,-,72,532,24,1826,1338,3188
Decatur,2020-12-16,1550,9,5,-,-,-,76,187,21,1336,470,1827
Dekalb,2020-12-16,2304,10,10,-,-,-,199,98,75,2208,338,2621
Delaware,2020-12-16,5014,455,28,-,-,-,312,923,96,4120,2516,6732
Dubois,2020-12-16,2910,26,3,-,-,-,381,313,390,2524,719,3633
Elkhart,2020-12-16,11635,881,164,-,-,-,3258,5207,3667,6824,10654,21145
Fayette,2020-12-16,1648,26,3,-,-,-,41,211,10,1235,684,1929
Floyd,2020-12-16,3309,228,30,-,-,-,324,437,110,2265,1953,4328
Fountain,2020-12-16,1002,4,0,-,-,-,74,204,29,749,506,1284
Franklin,2020-12-16,821,0,0,-,-,-,15,178,3,653,358,1014
Fulton,2020-12-16,1036,7,3,-,-,-,65,110,61,839,321,1221
Gibson,2020-12-16,2043,40,2,-,-,-,194,366,16,500,2129,2645
Grant,2020-12-16,3218,250,16,-,-,-,273,441,169,2786,1243,4198
Greene,2020-12-16,1366,4,1,-,-,-,42,182,17,1055,523,1595
Hamilton,2020-12-16,13601,711,479,-,-,-,1360,3695,731,10080,9035,19846
Hancock,2020-12-16,3360,93,21,-,-,-,266,514,66,2398,1790,4254
Harrison,2020-12-16,1949,11,9,-,-,-,50,119,45,1585,508,2138
Hendricks,2020-12-16,6474,581,159,-,-,-,853,1289,236,5120,4000,9356
Henry,2020-12-16,2884,73,7,-,-,-,203,317,53,2140,1291,3484
Howard,2020-12-16,4160,359,23,-,-,-,245,780,116,2846,2605,5567
Huntington,2020-12-16,1764,12,4,-,-,-,129,117,41,1574,411,2026
Jackson,2020-12-16,2155,16,18,-,-,-,990,137,371,1662,1283,3316
Jasper,2020-12-16,1584,11,3,-,-,-,291,242,82,1334,715,2131
Jay,2020-12-16,1202,5,1,-,-,-,49,136,35,929,429,1393
Jefferson,2020-12-16,1586,24,10,-,-,-,55,110,41,1251,493,1785
Jennings,2020-12-16,1196,13,0,-,-,-,165,81,33,883,539,1455
Johnson,2020-12-16,7196,163,306,-,-,-,878,1379,246,6001,3675,9922
Knox,2020-12-16,2164,40,8,-,-,-,93,286,37,1388,1166,2591
Kosciusko,2020-12-16,4620,54,34,-,-,-,616,808,643,4029,1460,6132
Lagrange,2020-12-16,1353,7,3,-,-,-,197,300,86,1124,650,1860
Lake,2020-12-16,13371,4973,167,-,-,-,7229,9796,4947,11221,19368,35536
Laporte,2020-12-16,3968,586,10,-,-,-,990,766,461,3626,2233,6320
Lawrence,2020-12-16,2329,6,10,-,-,-,190,124,21,2019,619,2659
Madison,2020-12-16,5484,408,25,-,-,-,498,1056,274,4325,2872,7471
Marion,2020-12-16,26786,10816,1985,-,-,-,8987,11909,4470,23402,32611,60483
Marshall,2020-12-16,2760,27,21,-,-,-,585,693,468,1731,1887,4086
Martin,2020-12-16,385,0,2,-,-,-,29,77,3,289,201,493
Miami,2020-12-16,1831,68,11,-,-,-,106,340,62,1505,789,2356
Monroe,2020-12-16,5148,258,196,-,-,-,1079,478,268,3957,2934,7159
Montgomery,2020-12-16,1578,19,5,-,-,-,524,239,153,1333,879,2365
Morgan,2020-12-16,3053,15,5,-,-,-,228,236,32,2617,888,3537
Newton,2020-12-16,561,5,2,-,-,-,112,69,21,484,244,749
Noble,2020-12-16,2690,15,28,-,-,-,524,255,536,2457,519,3512
Ohio,2020-12-16,274,0,1,-,-,-,5,23,3,178,122,303
Orange,2020-12-16,889,10,1,-,-,-,40,47,6,623,358,987
