county_name,Date,White,Black or African American,Asian,American_Indian_Alaska_Native,Native_Hawaiian_Pacific_Islander,Two_races,Other Race,Unknown,Hispanic or Latino,Not Hispanic or Latino,Not Specified,Total
Adams,2020-12-15,2037,13,5,-,-,-,83,170,97,1777,434,2308
Allen,2020-12-15,15623,2436,709,-,-,-,3300,2353,1819,16177,6425,24421
Bartholomew,2020-12-15,2975,69,55,-,-,-,908,671,311,1757,2610,4678
Benton,2020-12-15,518,2,0,-,-,-,58,57,66,447,122,635
Blackford,2020-12-15,659,2,0,-,-,-,62,58,14,559,208,781
Boone,2020-12-15,2524,69,53,-,-,-,469,478,63,1682,1848,3593
Brown,2020-12-15,484,1,2,-,-,-,27,38,7,411,134,552
Carroll,2020-12-15,784,6,0,-,-,-,164,119,53,651,369,1073
Cass,2020-12-15,2114,129,120,-,-,-,758,552,1074,1431,1168,3673
Clark,2020-12-15,4830,468,43,-,-,-,668,958,403,3646,2918,6967
Clay,2020-12-15,1388,1,1,-,-,-,25,207,15,895,712,1622
Clinton,2020-12-15,2004,8,4,-,-,-,499,141,667,1621,368,2656
Crawford,2020-12-15,447,1,0,-,-,-,19,23,6,293,191,490
Daviess,2020-12-15,1325,25,3,-,-,-,135,539,29,485,1513,2027
Dearborn,2020-12-15,2503,24,8,-,-,-,68,556,23,1816,1320,3159
Decatur,2020-12-15,1494,8,5,-,-,-,76,222,20,1321,464,1805
Dekalb,2020-12-15,2249,10,9,-,-,-,197,108,72,2163,338,2573
Delaware,2020-12-15,4872,440,27,-,-,-,308,977,95,4068,2461,6624
Dubois,2020-12-15,2761,26,3,-,-,-,359,316,375,2403,687,3465
Elkhart,2020-12-15,11378,862,160,-,-,-,3177,5419,3644,6753,10599,20996
Fayette,2020-12-15,1616,26,2,-,-,-,41,223,9,1220,679,1908
Floyd,2020-12-15,3237,223,30,-,-,-,320,463,109,2232,1932,4273
Fountain,2020-12-15,955,4,0,-,-,-,73,238,29,738,503,1270
Franklin,2020-12-15,791,0,0,-,-,-,15,191,3,640,354,997
Fulton,2020-12-15,991,7,3,-,-,-,63,122,61,809,316,1186
Gibson,2020-12-15,1959,38,2,-,-,-,191,424,16,489,2109,2614
Grant,2020-12-15,3175,244,16,-,-,-,256,447,169,2764,1205,4138
Greene,2020-12-15,1321,4,1,-,-,-,41,206,17,1042,514,1573
Hamilton,2020-12-15,13116,681,462,-,-,-,1317,3941,708,9853,8956,19517
Hancock,2020-12-15,3231,89,19,-,-,-,261,577,66,2340,1771,4177
Harrison,2020-12-15,1908,11,9,-,-,-,46,136,45,1561,504,2110
Hendricks,2020-12-15,6281,556,152,-,-,-,837,1364,229,5006,3955,9190
Henry,2020-12-15,2789,73,6,-,-,-,201,353,53,2084,1285,3422
Howard,2020-12-15,3921,347,22,-,-,-,237,905,115,2767,2550,5432
Huntington,2020-12-15,1713,12,4,-,-,-,125,132,41,1541,404,1986
Jackson,2020-12-15,2108,16,18,-,-,-,974,161,371,1641,1265,3277
Jasper,2020-12-15,1558,10,3,-,-,-,289,241,82,1323,696,2101
Jay,2020-12-15,1180,5,1,-,-,-,48,150,35,923,426,1384
Jefferson,2020-12-15,1548,24,10,-,-,-,53,112,39,1223,485,1747
Jennings,2020-12-15,1144,11,0,-,-,-,156,116,31,868,528,1427
Johnson,2020-12-15,6928,153,298,-,-,-,859,1507,244,5885,3616,9745
Knox,2020-12-15,2078,39,8,-,-,-,93,339,37,1361,1159,2557
Kosciusko,2020-12-15,4516,48,33,-,-,-,588,820,625,3938,1442,6005
Lagrange,2020-12-15,1331,7,3,-,-,-,190,307,84,1108,646,1838
Lake,2020-12-15,13055,4844,166,-,-,-,6926,10356,4933,11149,19265,35347
Laporte,2020-12-15,3881,583,10,-,-,-,982,801,459,3597,2201,6257
Lawrence,2020-12-15,2281,5,10,-,-,-,189,141,21,1989,616,2626
Madison,2020-12-15,5311,381,25,-,-,-,483,1136,272,4253,2811,7336
Marion,2020-12-15,25748,10372,1939,-,-,-,8839,12633,4416,22963,32152,59531
Marshall,2020-12-15,2670,27,21,-,-,-,570,761,460,1711,1878,4049
Martin,2020-12-15,382,0,2,-,-,-,28,77,3,286,200,489
Miami,2020-12-15,1790,62,10,-,-,-,101,366,61,1489,779,2329
Monroe,2020-12-15,5060,256,193,-,-,-,1068,494,268,3912,2891,7071
Montgomery,2020-12-15,1495,19,4,-,-,-,513,249,148,1308,824,2280
Morgan,2020-12-15,2945,14,5,-,-,-,227,270,30,2558,873,3461
Newton,2020-12-15,552,5,2,-,-,-,112,72,21,482,240,743
Noble,2020-12-15,2633,15,28,-,-,-,507,270,535,2411,507,3453
Ohio,2020-12-15,274,0,1,-,-,-,4,21,3,177,120,300
Orange,2020-12-15,873,9,1,-,-,-,39,48,6,610,354,970
Owen,2020-12-15,828,2,2,-,-,-,47,162,5,645,391,1041
Parke,2020-12-15,841,3,1,-,-,-,13,159,10,564,443,1017
Perry,2020-12-15,709,39,1,-,-,-,70,201,2,261,757,1020
Pike,2020-12-15,589,0,0,-,-,-,31,101,0,292,429,721
Porter,2020-12-15,6897,414,51,-,-,-,1626,1899,871,5500,4516,10887
Posey,2020-12-15,1367,24,1,-,-,-,88,110,12,170,1408,1590
Pulaski,2020-12-15,535,9,3,-,-,-,42,75,20,431,213,664
Putnam,2020-12-15,1533,84,9,-,-,-,135,204,27,1119,819,1965
Randolph,2020-12-15,1439,7,3,-,-,-,52,157,47,1157,454,1658
Ripley,2020-12-15,1793,4,5,-,-,-,85,181,28,1505,535,2068
Rush,2020-12-15,745,2,1,-,-,-,49,92,4,567,318,889
Scott,2020-12-15,1191,5,0,-,-,-,310,124,20,953,657,1630
Shelby,2020-12-15,2132,21,6,-,-,-,250,426,154,1342,1339,2835
Spencer,2020-12-15,903,7,1,-,-,-,90,148,25,469,655,1149
St. Joseph,2020-12-15,10064,2189,192,-,-,-,2666,6802,1079,5807,15027,21913
Starke,2020-12-15,1007,5,2,-,-,-,80,231,39,837,449,1325
Steuben,2020-12-15,1737,11,6,-,-,-,139,234,70,1382,675,2127
Sullivan,2020-12-15,1060,15,0,-,-,-,30,320,12,512,901,1425
Switzerland,2020-12-15,341,1,1,-,-,-,12,38,2,217,174,393
Tippecanoe,2020-12-15,8579,520,320,-,-,-,1472,1810,1513,7188,4000,12701
Tipton,2020-12-15,777,4,1,-,-,-,24,54,11,652,197,860
Union,2020-12-15,272,2,2,-,-,-,12,87,2,165,208,375
Vanderburgh,2020-12-15,9779,1025,75,-,-,-,848,1183,75,1642,11193,12910
Vermillion,2020-12-15,815,4,1,-,-,-,18,126,3,640,321,964
Vigo,2020-12-15,5640,364,68,-,-,-,241,1689,99,3999,3904,8002
Wabash,2020-12-15,1950,21,8,-,-,-,169,176,49,1792,483,2324
Warren,2020-12-15,324,0,1,-,-,-,8,52,4,268,113,385
Warrick,2020-12-15,3577,56,25,-,-,-,279,397,17,527,3790,4334
Washington,2020-12-15,893,3,0,-,-,-,149,115,8,614,538,1160
Wayne,2020-12-15,3238,176,15,-,-,-,331,705,112,2442,1911,4465
Wells,2020-12-15,1503,6,3,-,-,-,50,130,27,1402,263,1692
White,2020-12-15,1485,9,8,-,-,-,189,183,170,1205,499,1874
Whitley,2020-12-15,1823,12,3,-,-,-,148,79,51,1700,314,2065
