county_name,Date,White,Black or African American,Asian,American_Indian_Alaska_Native,Native_Hawaiian_Pacific_Islander,Two_races,Other Race,Unknown,Hispanic or Latino,Not Hispanic or Latino,Not Specified,Total
Adams,2020-12-14,2022,13,5,-,-,-,83,167,97,1763,430,2290
Allen,2020-12-14,15514,2414,704,-,-,-,3278,2337,1804,16056,6387,24247
Bartholomew,2020-12-14,2945,68,55,-,-,-,891,658,308,1730,2579,4617
Benton,2020-12-14,507,2,0,-,-,-,55,57,66,436,119,621
Blackford,2020-12-14,654,2,0,-,-,-,62,57,14,554,207,775
Boone,2020-12-14,2485,67,53,-,-,-,467,474,63,1656,1827,3546
Brown,2020-12-14,471,1,2,-,-,-,26,34,5,403,126,534
Carroll,2020-12-14,771,5,0,-,-,-,162,119,53,638,366,1057
Cass,2020-12-14,2098,129,120,-,-,-,757,550,1073,1420,1161,3654
Clark,2020-12-14,4783,467,43,-,-,-,657,946,402,3607,2887,6896
Clay,2020-12-14,1382,1,1,-,-,-,25,205,15,888,711,1614
Clinton,2020-12-14,1986,8,4,-,-,-,494,140,658,1608,366,2632
Crawford,2020-12-14,443,1,0,-,-,-,19,23,6,289,191,486
Daviess,2020-12-14,1319,25,3,-,-,-,134,531,29,482,1501,2012
Dearborn,2020-12-14,2483,24,8,-,-,-,68,552,23,1803,1309,3135
Decatur,2020-12-14,1485,7,5,-,-,-,76,219,20,1309,463,1792
Dekalb,2020-12-14,2221,10,9,-,-,-,197,108,72,2138,335,2545
Delaware,2020-12-14,4836,439,27,-,-,-,307,923,95,4040,2397,6532
Dubois,2020-12-14,2712,26,3,-,-,-,355,304,368,2363,669,3400
Elkhart,2020-12-14,11275,859,160,-,-,-,3154,5383,3613,6711,10507,20831
Fayette,2020-12-14,1604,25,2,-,-,-,41,217,9,1210,670,1889
Floyd,2020-12-14,3223,222,30,-,-,-,317,452,107,2221,1916,4244
Fountain,2020-12-14,948,4,0,-,-,-,72,232,28,731,497,1256
Franklin,2020-12-14,781,0,0,-,-,-,15,187,3,631,349,983
Fulton,2020-12-14,978,7,3,-,-,-,63,120,61,798,312,1171
Gibson,2020-12-14,1950,38,2,-,-,-,191,422,16,488,2099,2603
Grant,2020-12-14,3140,243,16,-,-,-,254,434,168,2742,1177,4087
Greene,2020-12-14,1290,4,1,-,-,-,40,200,16,1009,510,1535
Hamilton,2020-12-14,12965,669,456,-,-,-,1302,3848,701,9714,8825,19240
Hancock,2020-12-14,3188,88,18,-,-,-,257,565,66,2299,1751,4116
Harrison,2020-12-14,1888,10,9,-,-,-,46,134,44,1544,499,2087
Hendricks,2020-12-14,6225,548,152,-,-,-,830,1352,228,4940,3939,9107
Henry,2020-12-14,2773,73,6,-,-,-,201,349,53,2071,1278,3402
Howard,2020-12-14,3904,347,22,-,-,-,236,885,115,2758,2521,5394
Huntington,2020-12-14,1693,12,4,-,-,-,125,130,41,1521,402,1964
Jackson,2020-12-14,2084,16,16,-,-,-,956,160,371,1619,1242,3232
Jasper,2020-12-14,1543,10,3,-,-,-,288,238,81,1309,692,2082
Jay,2020-12-14,1159,5,1,-,-,-,48,150,35,903,425,1363
Jefferson,2020-12-14,1534,24,10,-,-,-,53,108,39,1211,479,1729
Jennings,2020-12-14,1137,10,0,-,-,-,156,114,30,860,527,1417
Johnson,2020-12-14,6861,154,297,-,-,-,874,1480,247,5811,3608,9666
Knox,2020-12-14,2054,39,8,-,-,-,93,336,37,1338,1155,2530
Kosciusko,2020-12-14,4482,48,34,-,-,-,585,808,620,3918,1419,5957
Lagrange,2020-12-14,1313,7,3,-,-,-,188,307,84,1095,639,1818
Lake,2020-12-14,12996,4826,165,-,-,-,6889,10222,4906,11096,19096,35098
Laporte,2020-12-14,3867,579,10,-,-,-,935,791,458,3579,2145,6182
Lawrence,2020-12-14,2245,5,10,-,-,-,182,135,21,1958,598,2577
Madison,2020-12-14,5240,381,25,-,-,-,480,1117,272,4188,2783,7243
Marion,2020-12-14,25478,10278,1932,-,-,-,8775,12468,4363,22683,31885,58931
Marshall,2020-12-14,2639,26,20,-,-,-,565,737,452,1685,1850,3987
Martin,2020-12-14,382,0,2,-,-,-,28,76,3,286,199,488
Miami,2020-12-14,1774,62,10,-,-,-,101,350,61,1475,761,2297
Monroe,2020-12-14,5018,258,193,-,-,-,1051,489,265,3874,2870,7009
Montgomery,2020-12-14,1471,18,4,-,-,-,505,247,146,1293,806,2245
Morgan,2020-12-14,2904,13,5,-,-,-,222,266,30,2516,864,3410
Newton,2020-12-14,550,5,2,-,-,-,111,70,21,478,239,738
Noble,2020-12-14,2605,15,28,-,-,-,501,268,529,2387,501,3417
Ohio,2020-12-14,273,0,1,-,-,-,4,19,3,177,117,297
Orange,2020-12-14,868,9,1,-,-,-,38,47,6,606,351,963
Owen,2020-12-14,818,2,2,-,-,-,47,159,5,636,387,1028
Parke,2020-12-14,838,3,1,-,-,-,13,159,10,562,442,1014
Perry,2020-12-14,709,40,1,-,-,-,70,198,2,261,755,1018
Pike,2020-12-14,588,0,0,-,-,-,31,97,0,291,425,716
Porter,2020-12-14,6862,411,51,-,-,-,1612,1866,869,5467,4466,10802
Posey,2020-12-14,1357,24,1,-,-,-,88,110,12,169,1399,1580
Pulaski,2020-12-14,529,9,3,-,-,-,42,74,19,427,211,657
Putnam,2020-12-14,1512,84,9,-,-,-,135,200,26,1101,813,1940
Randolph,2020-12-14,1439,7,3,-,-,-,52,158,47,1156,456,1659
Ripley,2020-12-14,1782,4,5,-,-,-,85,181,28,1497,532,2057
Rush,2020-12-14,713,2,1,-,-,-,48,90,4,534,316,854
Scott,2020-12-14,1183,5,0,-,-,-,306,123,20,945,652,1617
Shelby,2020-12-14,2102,20,6,-,-,-,247,418,153,1315,1325,2793
Spencer,2020-12-14,893,7,1,-,-,-,90,147,25,463,650,1138
St. Joseph,2020-12-14,9995,2179,191,-,-,-,2642,6772,1073,5747,14959,21779
Starke,2020-12-14,996,5,2,-,-,-,80,229,39,832,441,1312
Steuben,2020-12-14,1716,11,6,-,-,-,138,233,69,1363,672,2104
Sullivan,2020-12-14,1051,15,0,-,-,-,30,320,12,505,899,1416
Switzerland,2020-12-14,334,1,1,-,-,-,12,38,2,213,171,386
Tippecanoe,2020-12-14,8454,506,314,-,-,-,1456,1790,1490,7073,3957,12520
Tipton,2020-12-14,770,4,1,-,-,-,24,52,11,647,193,851
Union,2020-12-14,267,2,2,-,-,-,12,82,2,159,204,365
Vanderburgh,2020-12-14,9707,1017,73,-,-,-,837,1172,74,1631,11101,12806
Vermillion,2020-12-14,808,4,1,-,-,-,18,119,3,635,312,950
Vigo,2020-12-14,5604,365,68,-,-,-,241,1668,99,3972,3875,7946
Wabash,2020-12-14,1932,21,8,-,-,-,165,174,49,1775,476,2300
Warren,2020-12-14,318,0,1,-,-,-,8,51,4,262,112,378
Warrick,2020-12-14,3558,56,25,-,-,-,278,396,16,524,3773,4313
Washington,2020-12-14,880,3,0,-,-,-,147,114,8,601,535,1144
Wayne,2020-12-14,3206,171,15,-,-,-,331,681,109,2411,1884,4404
Wells,2020-12-14,1488,6,3,-,-,-,50,129,27,1390,259,1676
White,2020-12-14,1472,9,8,-,-,-,188,182,169,1193,497,1859
Whitley,2020-12-14,1811,11,3,-,-,-,145,79,48,1688,313,2049
