county_name,Date,White,Black or African American,Asian,American_Indian_Alaska_Native,Native_Hawaiian_Pacific_Islander,Two_races,Other Race,Unknown,Hispanic or Latino,Not Hispanic or Latino,Not Specified,Total
Adams,2020-12-19,2141,14,5,-,-,-,84,146,101,1842,447,2390
Allen,2020-12-19,16242,2515,751,-,-,-,3419,2314,1868,16808,6565,25241
Bartholomew,2020-12-19,3178,78,57,-,-,-,975,588,323,1834,2719,4876
Benton,2020-12-19,545,2,0,-,-,-,76,53,67,469,140,676
Blackford,2020-12-19,687,2,1,-,-,-,62,54,14,576,216,806
Boone,2020-12-19,2690,73,59,-,-,-,499,477,65,1794,1939,3798
Brown,2020-12-19,523,1,2,-,-,-,31,37,7,450,137,594
Carroll,2020-12-19,833,6,0,-,-,-,166,116,54,682,385,1121
Cass,2020-12-19,2261,130,120,-,-,-,786,535,1094,1535,1203,3832
Clark,2020-12-19,5064,492,44,-,-,-,719,927,408,3781,3057,7246
Clay,2020-12-19,1455,1,1,-,-,-,26,186,15,924,730,1669
Clinton,2020-12-19,2108,10,4,-,-,-,525,142,701,1696,392,2789
Crawford,2020-12-19,467,1,0,-,-,-,20,23,6,306,199,511
Daviess,2020-12-19,1407,25,3,-,-,-,142,500,30,501,1546,2077
Dearborn,2020-12-19,2631,25,8,-,-,-,76,564,24,1894,1386,3304
Decatur,2020-12-19,1583,9,5,-,-,-,85,207,21,1372,496,1889
Dekalb,2020-12-19,2344,10,10,-,-,-,204,100,77,2247,344,2668
Delaware,2020-12-19,5139,462,29,-,-,-,320,942,97,4243,2552,6892
Dubois,2020-12-19,3022,27,3,-,-,-,389,336,401,2627,749,3777
Elkhart,2020-12-19,11751,888,165,-,-,-,3299,5337,3690,6928,10822,21440
Fayette,2020-12-19,1675,26,3,-,-,-,43,216,11,1261,691,1963
Floyd,2020-12-19,3389,228,31,-,-,-,340,462,114,2326,2010,4450
Fountain,2020-12-19,1027,4,0,-,-,-,76,209,29,773,514,1316
Franklin,2020-12-19,853,0,0,-,-,-,17,187,4,682,371,1057
Fulton,2020-12-19,1061,7,3,-,-,-,66,116,61,860,332,1253
