county_name,Date,White,Black or African American,Asian,American_Indian_Alaska_Native,Native_Hawaiian_Pacific_Islander,Two_races,Other Race,Unknown,Hispanic or Latino,Not Hispanic or Latino,Not Specified,Total
Switzerland,2020-12-13,332,1,1,-,-,-,12,38,2,213,169,384
Tippecanoe,2020-12-13,8257,493,307,-,-,-,1425,1771,1451,6883,3919,12253
Tipton,2020-12-13,764,4,1,-,-,-,23,50,11,640,191,842
Union,2020-12-13,265,2,2,-,-,-,12,81,2,158,202,362
Vanderburgh,2020-12-13,9562,1000,73,-,-,-,826,1134,74,1616,10905,12595
Vermillion,2020-12-13,802,4,1,-,-,-,18,119,3,630,311,944
Vigo,2020-12-13,5576,361,68,-,-,-,240,1613,99,3943,3816,7858
Wabash,2020-12-13,1918,21,8,-,-,-,165,169,48,1762,471,2281
Warren,2020-12-13,317,0,1,-,-,-,8,51,4,261,112,377
Warrick,2020-12-13,3516,56,25,-,-,-,277,384,16,521,3721,4258
Washington,2020-12-13,858,3,0,-,-,-,140,110,8,584,519,1111
Wayne,2020-12-13,3171,170,15,-,-,-,326,674,106,2376,1874,4356
Wells,2020-12-13,1485,6,3,-,-,-,50,128,25,1388,259,1672
White,2020-12-13,1447,9,8,-,-,-,187,179,168,1170,492,1830
Whitley,2020-12-13,1783,11,3,-,-,-,145,79,48,1663,310,2021
