county_name,Date,White,Black or African American,Asian,American_Indian_Alaska_Native,Native_Hawaiian_Pacific_Islander,Two_races,Other Race,Unknown,Hispanic or Latino,Not Hispanic or Latino,Not Specified,Total
Adams,2020-12-20,2184,14,5,-,-,-,85,157,103,1884,458,2445
Allen,2020-12-20,16614,2567,768,-,-,-,3482,2352,1909,17220,6654,25783
Bartholomew,2020-12-20,3224,79,58,-,-,-,995,612,326,1859,2783,4968
Benton,2020-12-20,550,2,0,-,-,-,77,54,68,474,141,683
Blackford,2020-12-20,695,2,1,-,-,-,62,55,14,583,218,815
Boone,2020-12-20,2770,74,62,-,-,-,506,500,66,1854,1992,3912
Brown,2020-12-20,536,1,2,-,-,-,31,43,7,462,144,613
Carroll,2020-12-20,866,7,0,-,-,-,169,123,54,716,395,1165
Cass,2020-12-20,2327,131,120,-,-,-,792,551,1100,1583,1238,3921
Clark,2020-12-20,5147,499,46,-,-,-,746,1016,412,3850,3192,7454
Clay,2020-12-20,1483,1,1,-,-,-,26,209,15,950,755,1720
Clinton,2020-12-20,2180,10,4,-,-,-,546,157,728,1756,413,2897
Crawford,2020-12-20,484,1,0,-,-,-,20,25,7,316,207,530
Daviess,2020-12-20,1424,25,3,-,-,-,143,517,30,511,1571,2112
Dearborn,2020-12-20,2717,25,9,-,-,-,78,587,24,1972,1420,3416
Decatur,2020-12-20,1608,9,5,-,-,-,86,224,22,1412,498,1932
Dekalb,2020-12-20,2414,10,10,-,-,-,211,100,78,2317,350,2745
Delaware,2020-12-20,5217,467,29,-,-,-,325,986,97,4323,2604,7024
Dubois,2020-12-20,3097,27,3,-,-,-,395,407,410,2699,820,3929
Elkhart,2020-12-20,11874,891,167,-,-,-,3315,5459,3720,7034,10952,21706
Fayette,2020-12-20,1705,26,3,-,-,-,43,222,11,1292,696,1999
Floyd,2020-12-20,3488,230,31,-,-,-,346,491,114,2411,2061,4586
Fountain,2020-12-20,1056,4,0,-,-,-,78,219,30,803,524,1357
Franklin,2020-12-20,866,0,0,-,-,-,17,192,4,697,374,1075
Fulton,2020-12-20,1075,7,3,-,-,-,67,122,62,873,339,1274
