county_name,Date,White,Black or African American,Asian,American_Indian_Alaska_Native,Native_Hawaiian_Pacific_Islander,Two_races,Other Race,Unknown,Hispanic or Latino,Not Hispanic or Latino,Not Specified,Total
Adams,2020-12-27,2281,14,5,-,-,-,91,154,105,1959,481,2545
Allen,2020-12-27,17602,2666,797,-,-,-,3618,2420,1979,18230,6894,27103
Bartholomew,2020-12-27,3474,89,66,-,-,-,1062,594,333,1968,2984,5285
Benton,2020-12-27,584,3,0,-,-,-,82,64,69,502,162,733
Blackford,2020-12-27,729,2,1,-,-,-,62,52,14,612,220,846
Boone,2020-12-27,3021,83,74,-,-,-,615,500,72,2039,2182,4293
Brown,2020-12-27,594,1,2,-,-,-,39,45,7,507,167,681
Carroll,2020-12-27,964,7,0,-,-,-,175,122,56,787,425,1268
Cass,2020-12-27,2497,135,120,-,-,-,812,550,1118,1704,1292,4114
Clark,2020-12-27,5490,530,49,-,-,-,863,1095,421,4086,3520,8027
Clay,2020-12-27,1555,1,2,-,-,-,28,238,17,991,816,1824
Clinton,2020-12-27,2361,12,5,-,-,-,578,159,771,1891,453,3115
Crawford,2020-12-27,523,1,0,-,-,-,21,23,7,343,218,568
Daviess,2020-12-27,1521,25,4,-,-,-,149,524,30,538,1655,2223
Dearborn,2020-12-27,2942,25,11,-,-,-,82,622,25,2127,1530,3682
Decatur,2020-12-27,1717,9,6,-,-,-,92,218,23,1504,515,2042
Dekalb,2020-12-27,2541,10,10,-,-,-,220,115,79,2435,382,2896
Delaware,2020-12-27,5581,502,29,-,-,-,343,940,103,4569,2723,7395
Dubois,2020-12-27,3329,29,3,-,-,-,440,553,430,2888,1036,4354
Elkhart,2020-12-27,12337,920,175,-,-,-,3411,5458,3781,7308,11212,22301
Fayette,2020-12-27,1803,27,3,-,-,-,43,234,11,1373,726,2110
Floyd,2020-12-27,3729,238,34,-,-,-,386,522,119,2553,2237,4909
Fountain,2020-12-27,1160,4,0,-,-,-,80,208,30,867,555,1452
Franklin,2020-12-27,927,0,0,-,-,-,17,205,4,742,403,1149
Fulton,2020-12-27,1132,8,3,-,-,-,68,139,62,917,371,1350
Gibson,2020-12-27,2199,47,3,-,-,-,207,454,17,594,2299,2910
Grant,2020-12-27,3667,295,18,-,-,-,310,471,187,3209,1365,4761
Greene,2020-12-27,1585,4,1,-,-,-,57,203,17,1241,592,1850
Hamilton,2020-12-27,15673,799,552,-,-,-,1532,4274,824,11872,10134,22830
Hancock,2020-12-27,3893,108,25,-,-,-,288,541,80,2833,1942,4855
Harrison,2020-12-27,2257,12,10,-,-,-,61,180,51,1848,621,2520
Hendricks,2020-12-27,7588,675,191,-,-,-,1025,1437,277,6149,4490,10916
Henry,2020-12-27,3383,77,7,-,-,-,227,349,59,2558,1426,4043
Howard,2020-12-27,4844,383,24,-,-,-,257,881,125,3329,2935,6389
Huntington,2020-12-27,2049,12,4,-,-,-,156,146,47,1825,495,2367
Jackson,2020-12-27,2373,17,22,-,-,-,1064,189,390,1834,1441,3665
Jasper,2020-12-27,1764,14,3,-,-,-,314,285,90,1475,815,2380
Jay,2020-12-27,1287,6,1,-,-,-,49,133,36,994,446,1476
Jefferson,2020-12-27,1810,29,12,-,-,-,61,165,45,1419,613,2077
Jennings,2020-12-27,1341,13,0,-,-,-,184,123,39,1000,622,1661
Johnson,2020-12-27,8435,194,366,-,-,-,1024,1548,269,7110,4188,11567
Knox,2020-12-27,2372,44,8,-,-,-,97,274,38,1541,1216,2795
Kosciusko,2020-12-27,4916,58,35,-,-,-,677,973,682,4295,1682,6659
Lagrange,2020-12-27,1445,7,3,-,-,-,220,311,96,1209,681,1986
Lake,2020-12-27,14537,5303,181,-,-,-,7871,10987,5285,12195,21399,38879
Laporte,2020-12-27,4353,645,10,-,-,-,1348,866,486,4016,2720,7222
Lawrence,2020-12-27,2770,9,11,-,-,-,221,131,25,2419,698,3142
Madison,2020-12-27,6374,452,31,-,-,-,570,1156,297,5089,3197,8583
Marion,2020-12-27,30626,12212,2217,-,-,-,9828,13253,4991,27109,36036,68136
Marshall,2020-12-27,2949,30,21,-,-,-,612,768,497,1846,2037,4380
Martin,2020-12-27,435,0,2,-,-,-,34,91,4,330,228,562
Miami,2020-12-27,2089,75,11,-,-,-,120,346,69,1720,852,2641
Monroe,2020-12-27,5566,264,201,-,-,-,1229,548,279,4290,3239,7808
Montgomery,2020-12-27,1884,20,5,-,-,-,575,230,167,1579,968,2714
Morgan,2020-12-27,3568,18,7,-,-,-,254,257,36,3065,1003,4104
Newton,2020-12-27,604,5,2,-,-,-,118,79,23,519,266,808
Noble,2020-12-27,3001,16,30,-,-,-,562,290,568,2725,606,3899
Ohio,2020-12-27,341,2,1,-,-,-,7,34,5,233,147,385
Orange,2020-12-27,1043,13,1,-,-,-,44,65,8,736,422,1166
Owen,2020-12-27,1007,2,7,-,-,-,67,171,5,772,477,1254
Parke,2020-12-27,980,8,1,-,-,-,20,130,11,661,467,1139
Perry,2020-12-27,803,40,1,-,-,-,78,231,4,292,857,1153
Pike,2020-12-27,710,0,0,-,-,-,38,135,0,381,502,883
Porter,2020-12-27,7740,465,70,-,-,-,1909,2214,944,6117,5337,12398
Posey,2020-12-27,1597,24,1,-,-,-,92,79,14,303,1476,1793
Pulaski,2020-12-27,645,9,3,-,-,-,60,101,22,516,280,818
Putnam,2020-12-27,1924,86,12,-,-,-,153,190,30,1419,916,2365
Randolph,2020-12-27,1578,7,3,-,-,-,59,152,52,1259,488,1799
Ripley,2020-12-27,2068,4,6,-,-,-,103,207,33,1726,629,2388
Rush,2020-12-27,964,4,1,-,-,-,53,88,6,739,365,1110
Scott,2020-12-27,1362,5,0,-,-,-,371,119,22,1072,763,1857
Shelby,2020-12-27,2539,29,7,-,-,-,282,368,172,1562,1491,3225
Spencer,2020-12-27,1113,7,2,-,-,-,108,165,28,617,750,1395
St. Joseph,2020-12-27,11405,2392,205,-,-,-,2937,6839,1156,6524,16098,23778
Starke,2020-12-27,1176,5,2,-,-,-,92,236,43,948,520,1511
Steuben,2020-12-27,2088,14,7,-,-,-,165,257,76,1679,776,2531
Sullivan,2020-12-27,1246,23,0,-,-,-,34,312,12,617,986,1615
Switzerland,2020-12-27,422,1,1,-,-,-,13,39,2,283,191,476
Tippecanoe,2020-12-27,9937,622,363,-,-,-,1710,1878,1666,8326,4518,14510
Tipton,2020-12-27,936,5,1,-,-,-,28,63,14,771,248,1033
Union,2020-12-27,347,2,2,-,-,-,13,107,2,223,246,471
Vanderburgh,2020-12-27,11307,1177,92,-,-,-,965,1239,96,2757,11927,14780
Vermillion,2020-12-27,993,4,1,-,-,-,21,161,3,771,406,1180
Vigo,2020-12-27,6321,422,79,-,-,-,267,1993,105,4340,4637,9082
Wabash,2020-12-27,2118,21,9,-,-,-,213,183,55,1945,544,2544
Warren,2020-12-27,432,0,1,-,-,-,11,49,6,347,140,493
Warrick,2020-12-27,4160,66,33,-,-,-,324,393,25,923,4028,4976
Washington,2020-12-27,1087,3,0,-,-,-,168,114,9,750,613,1372
Wayne,2020-12-27,3747,207,16,-,-,-,357,728,128,2786,2141,5055
Wells,2020-12-27,1660,6,3,-,-,-,58,133,34,1540,286,1860
White,2020-12-27,1796,15,11,-,-,-,215,189,189,1462,575,2226
Whitley,2020-12-27,2104,15,3,-,-,-,153,95,61,1960,349,2370
