,date,name,white,black,asian,american_indian,nh_pi,two_plus,other,race_unknown,hispanic,non-hispanic,eth_unknown,total_cases
63,2020-11-23,Adams,872,5,6,7,-,-,35,61,59,768,159,986
64,2020-11-23,Ashland,394,-,-,80,-,-,6,103,-,428,156,587
65,2020-11-23,Barron,2443,154,10,14,-,-,153,533,197,2594,516,3307
66,2020-11-23,Bayfield,398,-,-,71,-,-,16,134,6,437,178,621
67,2020-11-23,Brown,15797,791,560,864,-,-,1639,1561,3464,15090,2658,21212
68,2020-11-23,Buffalo,699,6,-,-,-,-,9,17,20,693,20,733
69,2020-11-23,Burnett,580,-,-,43,-,-,9,70,5,616,85,706
70,2020-11-23,Calumet,3266,36,51,15,-,-,145,369,243,2964,675,3882
71,2020-11-23,Chippewa,3479,169,41,34,-,-,40,541,77,3526,701,4304
31,2020-11-23,Clark,1138,-,-,-,-,-,31,799,227,1155,594,1976
32,2020-11-23,Columbia,2669,114,18,33,-,-,174,153,198,2276,687,3161
33,2020-11-23,Crawford,770,16,8,-,-,-,13,28,10,776,51,837
34,2020-11-23,Dane,18295,1880,903,203,-,-,3253,472,3838,19269,1899,25006
35,2020-11-23,Dodge,5430,663,64,65,-,-,529,1016,754,4859,2154,7767
36,2020-11-23,Door,1346,7,9,-,-,-,33,128,102,1265,160,1527
37,2020-11-23,Douglas,1403,28,8,17,-,-,23,309,29,1347,412,1788
38,2020-11-23,Dunn,2080,17,58,9,-,-,53,229,42,2091,313,2446
39,2020-11-23,Eau Claire,6202,122,236,23,-,-,170,497,180,6456,614,7250
40,2020-11-23,Florence,223,-,-,-,-,-,5,74,-,201,102,304
41,2020-11-23,Fond du Lac,6786,201,90,30,-,-,244,622,639,6130,1204,7973
42,2020-11-23,Forest,512,-,-,144,-,-,9,28,-,636,55,694
43,2020-11-23,Grant,2671,17,13,-,-,-,105,430,130,2546,562,3238
44,2020-11-23,Green,1457,6,5,-,-,-,51,31,116,1346,90,1552
45,2020-11-23,Green Lake,1014,6,-,6,-,-,42,65,102,885,146,1133
46,2020-11-23,Iowa,1143,7,-,-,-,-,21,23,28,1114,58,1200
47,2020-11-23,Iron,259,-,-,-,-,-,-,58,7,215,104,326
48,2020-11-23,Jackson,1207,80,17,179,-,-,32,69,59,1410,115,1584
49,2020-11-23,Jefferson,3886,64,32,50,-,-,412,463,735,3453,719,4907
50,2020-11-23,Juneau,1181,170,12,51,-,-,56,323,75,1257,461,1793
51,2020-11-23,Kenosha,6089,637,110,25,-,-,691,921,1426,4918,2129,8473
52,2020-11-23,Kewaunee,1361,5,-,7,-,-,42,150,73,1245,250,1568
53,2020-11-23,La Crosse,5853,125,320,14,-,-,164,925,112,5877,1412,7401
