,date,name,white,black,asian,american_indian,nh_pi,two_plus,other,race_unknown,hispanic,non-hispanic,eth_unknown,total_cases
8,2020-11-29,Adams,917,5,6,7,-,-,35,64,60,802,172,1034
9,2020-11-29,Ashland,432,-,-,101,-,-,8,118,-,492,167,663
10,2020-11-29,Barron,2644,154,10,17,-,-,162,593,199,2811,570,3580
11,2020-11-29,Bayfield,432,-,-,78,-,-,17,139,7,473,190,670
12,2020-11-29,Brown,16919,832,584,915,-,-,1677,1609,3547,16188,2801,22536
13,2020-11-29,Buffalo,763,7,-,-,-,-,10,17,21,759,19,799
14,2020-11-29,Burnett,637,-,-,43,-,-,11,75,6,672,92,770
15,2020-11-29,Calumet,3393,37,55,16,-,-,148,388,248,3087,702,4037
16,2020-11-29,Chippewa,3711,172,48,36,-,-,46,585,81,3780,737,4598
17,2020-11-29,Clark,1221,-,-,-,-,-,33,883,239,1277,629,2145
18,2020-11-29,Columbia,2870,182,19,42,-,-,181,167,225,2480,756,3461
19,2020-11-29,Crawford,1002,124,11,9,-,-,28,33,35,1063,109,1207
20,2020-11-29,Dane,19789,2110,1003,219,-,-,3528,587,4217,20885,2134,27236
21,2020-11-29,Dodge,5884,702,68,72,-,-,544,1043,781,5239,2293,8313
22,2020-11-29,Door,1408,8,9,-,-,-,33,130,105,1319,168,1592
23,2020-11-29,Douglas,1625,31,9,18,-,-,34,319,32,1561,443,2036
24,2020-11-29,Dunn,2383,19,63,10,-,-,64,251,47,2394,349,2790
25,2020-11-29,Eau Claire,6661,124,259,23,-,-,181,508,187,6943,626,7756
26,2020-11-29,Florence,229,-,-,-,-,-,6,74,-,206,104,311
27,2020-11-29,Fond du Lac,7147,208,96,31,-,-,248,652,659,6472,1251,8382
28,2020-11-29,Forest,526,-,-,154,-,-,8,30,-,659,57,720
29,2020-11-29,Grant,2839,19,16,-,-,-,109,459,139,2700,605,3444
30,2020-11-29,Green,1571,7,5,-,-,-,57,33,118,1455,102,1675
31,2020-11-29,Green Lake,1059,6,-,6,-,-,43,69,103,927,153,1183
32,2020-11-29,Iowa,1222,7,-,-,-,-,24,27,29,1191,66,1286
33,2020-11-29,Iron,281,-,-,-,-,-,5,59,8,231,112,351
70,2020-11-29,Jackson,1305,90,19,188,-,-,34,76,63,1528,121,1712
71,2020-11-29,Jefferson,4185,65,33,50,-,-,438,523,763,3727,804,5294
64,2020-11-29,Juneau,1247,170,14,51,-,-,55,358,75,1322,498,1895
65,2020-11-29,Kenosha,6692,678,118,25,-,-,741,1016,1537,5382,2351,9270
66,2020-11-29,Kewaunee,1475,6,-,7,-,-,42,156,74,1354,261,1689
49,2020-11-29,La Crosse,6389,134,348,16,-,-,166,958,118,6429,1464,8011
50,2020-11-29,Lafayette,916,-,-,-,-,-,82,74,151,815,112,1078
51,2020-11-29,Langlade,1336,9,-,10,-,-,26,134,36,703,776,1515
52,2020-11-29,Lincoln,1555,11,11,5,-,-,31,321,28,1316,590,1934
53,2020-11-29,Manitowoc,4011,52,78,17,-,-,86,602,298,3661,887,4846
54,2020-11-29,Marathon,7910,108,563,35,-,-,190,859,352,5434,3879,9665
55,2020-11-29,Marinette,2642,11,12,10,-,-,89,187,49,2566,336,2951
56,2020-11-29,Marquette,944,9,-,-,-,-,35,31,81,718,223,1022
57,2020-11-29,Menominee,31,-,-,506,-,-,10,8,-,525,27,556
58,2020-11-29,Milwaukee,36899,15021,2549,495,-,-,7486,5381,16318,41035,10478,67831
59,2020-11-29,Monroe,2296,26,21,43,-,-,93,87,176,2244,146,2566
60,2020-11-29,Oconto,2859,-,6,54,-,-,43,161,112,2750,263,3125
61,2020-11-29,Oneida,1721,28,7,20,-,-,36,479,21,1632,638,2291
62,2020-11-29,Outagamie,10439,172,302,365,-,-,651,1718,796,10128,2723,13647
63,2020-11-29,Ozaukee,4080,87,70,13,-,-,129,313,166,3811,715,4692
0,2020-11-29,Pepin,433,-,-,-,-,-,11,27,12,430,31,473
1,2020-11-29,Pierce,1974,20,9,-,-,-,16,108,53,1889,186,2128
