,date,name,white,black,asian,american_indian,nh_pi,two_plus,other,race_unknown,hispanic,non-hispanic,eth_unknown,total_cases
0,2020-12-17,Adams,1086,9,7,7,-,-,36,82,63,929,235,1227
1,2020-12-17,Ashland,604,-,-,135,-,-,15,154,6,700,206,912
2,2020-12-17,Barron,3060,160,13,18,-,-,175,706,204,3260,668,4132
3,2020-12-17,Bayfield,571,-,-,92,-,-,21,170,7,619,233,859
4,2020-12-17,Brown,18733,892,697,1031,-,-,1759,1658,3675,18121,2974,24770
5,2020-12-17,Buffalo,880,8,-,-,-,-,15,20,24,874,27,925
6,2020-12-17,Burnett,786,-,-,48,-,-,14,81,10,825,99,934
7,2020-12-17,Calumet,3746,38,56,19,-,-,168,426,276,3380,797,4453
8,2020-12-17,Chippewa,4419,229,59,47,-,-,69,715,90,4555,893,5538
9,2020-12-17,Clark,1434,-,-,-,-,-,38,1101,264,1593,725,2582
10,2020-12-17,Columbia,3306,190,20,47,-,-,204,184,257,2852,842,3951
11,2020-12-17,Crawford,1224,175,11,10,-,-,34,35,46,1294,149,1489
12,2020-12-17,Dane,22557,2493,1165,250,-,-,3940,703,4838,23784,2486,31108
13,2020-12-17,Dodge,7034,924,75,90,-,-,625,1075,887,6374,2562,9823
14,2020-12-17,Door,1636,11,10,-,-,-,38,139,108,1541,189,1838
15,2020-12-17,Douglas,2241,36,16,28,-,-,47,374,45,2170,527,2742
16,2020-12-17,Dunn,2782,21,85,12,-,-,68,283,47,2812,392,3251
17,2020-12-17,Eau Claire,7431,130,310,25,-,-,203,550,230,7763,656,8649
18,2020-12-17,Florence,279,-,-,-,-,-,8,92,-,255,125,382
19,2020-12-17,Fond du Lac,8381,259,110,49,-,-,300,688,711,7556,1520,9787
20,2020-12-17,Forest,582,-,-,160,-,-,11,35,5,722,64,791
21,2020-12-17,Grant,3230,26,20,-,-,-,116,513,152,3062,694,3908
22,2020-12-17,Green,1957,8,7,-,-,-,67,39,128,1823,129,2080
23,2020-12-17,Green Lake,1175,6,-,6,-,-,47,79,109,1031,173,1313
24,2020-12-17,Iowa,1465,11,6,-,-,-,26,30,33,1431,76,1540
25,2020-12-17,Iron,324,-,-,5,-,-,6,67,8,275,121,404
26,2020-12-17,Jackson,1585,136,24,218,-,-,45,106,82,1878,154,2114
27,2020-12-17,Jefferson,4866,71,33,58,-,-,492,617,846,4331,960,6137
28,2020-12-17,Juneau,1492,178,16,57,-,-,57,439,81,1556,602,2239
29,2020-12-17,Kenosha,8215,787,147,30,-,-,888,1237,1787,6535,2982,11304
30,2020-12-17,Kewaunee,1671,8,-,8,-,-,40,178,75,1536,298,1909
31,2020-12-17,La Crosse,7542,153,412,27,-,-,194,1056,152,7616,1616,9384
32,2020-12-17,Lafayette,999,-,-,-,-,-,87,75,154,899,114,1167
33,2020-12-17,Langlade,1488,9,-,13,-,-,28,164,40,756,908,1704
34,2020-12-17,Lincoln,1787,14,12,6,-,-,36,393,33,1502,713,2248
35,2020-12-17,Manitowoc,4678,60,96,22,-,-,97,698,340,4302,1009,5651
36,2020-12-17,Marathon,9113,119,692,44,-,-,216,949,401,6536,4196,11133
37,2020-12-17,Marinette,3033,11,13,11,-,-,96,216,57,2940,383,3380
38,2020-12-17,Marquette,1026,9,-,-,-,-,38,33,81,777,252,1110
39,2020-12-17,Menominee,30,-,-,627,-,-,12,7,8,642,27,677
40,2020-12-17,Milwaukee,43193,17600,3144,566,-,-,8668,6225,18817,48241,12338,79396
41,2020-12-17,Monroe,2820,32,23,56,-,-,100,117,199,2759,190,3148
42,2020-12-17,Oconto,3285,-,5,56,-,-,50,171,120,3164,285,3569
43,2020-12-17,Oneida,2007,30,9,23,-,-,40,543,24,1929,699,2652
44,2020-12-17,Outagamie,11611,204,341,420,-,-,747,1866,876,11271,3042,15189
45,2020-12-17,Ozaukee,5022,100,83,17,-,-,151,366,192,4709,838,5739
46,2020-12-17,Pepin,548,-,-,-,-,-,14,30,15,544,35,594
47,2020-12-17,Pierce,2516,23,10,-,-,-,28,122,66,2409,226,2701
48,2020-12-17,Polk,2436,7,-,29,-,-,28,251,37,2228,489,2754
49,2020-12-17,Portage,4511,49,189,18,-,-,145,283,274,4247,674,5195
50,2020-12-17,Price,400,-,15,-,-,-,7,449,-,394,478,874
51,2020-12-17,Racine,12188,2485,145,85,-,-,948,376,3035,12202,990,16227
52,2020-12-17,Richland,725,-,11,-,-,-,35,227,64,657,280,1001
53,2020-12-17,Rock,8733,608,143,39,-,-,1008,641,1677,8297,1198,11172
54,2020-12-17,Rusk,470,7,-,-,-,-,9,547,19,612,406,1037
55,2020-12-17,Sauk,3476,39,28,82,-,-,322,182,454,3298,377,4129
56,2020-12-17,Sawyer,743,5,5,180,-,-,27,128,13,903,172,1088
57,2020-12-17,Shawano,2737,8,19,435,-,-,113,657,123,2741,1105,3969
58,2020-12-17,Sheboygan,7837,542,552,53,-,-,392,1201,1033,7398,2146,10577
59,2020-12-17,St. Croix,4270,30,40,7,-,-,76,615,134,4052,852,5038
60,2020-12-17,Taylor,1410,-,-,-,-,-,8,76,62,1341,97,1500
61,2020-12-17,Trempealeau,2351,21,11,8,-,-,144,251,385,2056,345,2786
62,2020-12-17,Vernon,1297,-,6,-,-,-,15,53,25,1267,84,1376
63,2020-12-17,Vilas,1013,-,-,168,-,-,25,265,19,1106,351,1476
64,2020-12-17,Walworth,5761,103,27,35,-,-,416,763,1070,4868,1167,7105
65,2020-12-17,Washburn,883,-,-,7,-,-,5,31,10,900,17,927
66,2020-12-17,Washington,9865,136,114,30,-,-,245,297,342,7780,2565,10687
67,2020-12-17,Waukesha,26575,555,541,81,-,-,1313,2565,2024,22095,7511,31630
68,2020-12-17,Waupaca,3175,18,11,26,-,-,200,499,131,2928,870,3929
69,2020-12-17,Waushara,1509,114,13,22,-,-,98,91,269,1308,270,1847
70,2020-12-17,Winnebago,11881,623,379,104,-,-,591,849,770,11336,2321,14427
71,2020-12-17,Wood,4262,32,78,48,-,-,136,601,208,4140,809,5157
