,date,name,white,black,asian,american_indian,nh_pi,two_plus,other,race_unknown,hispanic,non-hispanic,eth_unknown,total_cases
0,2020-11-25,Adams,889,5,6,7,-,-,35,63,60,781,164,1005
1,2020-11-25,Ashland,412,-,-,95,-,-,6,109,-,463,160,626
2,2020-11-25,Barron,2515,154,10,16,-,-,154,558,198,2665,544,3407
3,2020-11-25,Bayfield,407,-,-,74,-,-,17,134,6,448,181,635
4,2020-11-25,Brown,16505,822,576,887,-,-,1668,1596,3523,15764,2767,22054
5,2020-11-25,Buffalo,721,6,-,-,-,-,10,17,21,715,20,756
6,2020-11-25,Burnett,604,-,-,43,-,-,10,74,5,638,92,735
7,2020-11-25,Calumet,3338,36,54,14,-,-,146,377,246,3032,687,3965
8,2020-11-25,Chippewa,3597,172,47,35,-,-,42,562,80,3657,718,4455
9,2020-11-25,Clark,1179,-,-,-,-,-,32,837,235,1206,615,2056
10,2020-11-25,Columbia,2709,130,18,37,-,-,175,157,202,2316,708,3226
11,2020-11-25,Crawford,941,119,11,9,-,-,28,33,32,1003,106,1141
12,2020-11-25,Dane,18954,1989,963,209,-,-,3377,498,4014,20000,1976,25990
13,2020-11-25,Dodge,5683,698,65,70,-,-,535,1018,769,5049,2251,8069
14,2020-11-25,Door,1368,7,9,-,-,-,33,128,104,1280,165,1549
15,2020-11-25,Douglas,1476,29,8,18,-,-,24,311,30,1415,421,1866
16,2020-11-25,Dunn,2270,18,58,9,-,-,57,239,45,2279,327,2651
17,2020-11-25,Eau Claire,6398,124,244,23,-,-,180,510,185,6670,624,7479
18,2020-11-25,Florence,221,-,-,-,-,-,5,73,-,200,100,301
19,2020-11-25,Fond du Lac,6909,203,93,30,-,-,246,629,648,6247,1215,8110
20,2020-11-25,Forest,517,-,-,151,-,-,9,28,-,648,55,706
21,2020-11-25,Grant,2722,18,13,-,-,-,106,438,133,2589,577,3299
22,2020-11-25,Green,1501,7,5,-,-,-,54,31,117,1390,93,1600
23,2020-11-25,Green Lake,1034,6,-,6,-,-,42,67,102,903,150,1155
24,2020-11-25,Iowa,1181,7,-,-,-,-,23,25,28,1152,62,1242
25,2020-11-25,Iron,267,-,-,-,-,-,-,60,7,222,108,337
26,2020-11-25,Jackson,1223,84,19,180,-,-,32,68,59,1432,115,1606
27,2020-11-25,Jefferson,4001,64,32,50,-,-,425,490,751,3556,755,5062
28,2020-11-25,Juneau,1205,170,12,51,-,-,56,336,75,1280,475,1830
29,2020-11-25,Kenosha,6441,656,113,25,-,-,711,979,1488,5178,2259,8925
30,2020-11-25,Kewaunee,1404,6,-,7,-,-,43,151,74,1288,252,1614
31,2020-11-25,La Crosse,6078,128,332,15,-,-,163,935,115,6108,1428,7651
32,2020-11-25,Lafayette,882,-,-,-,-,-,83,71,152,781,109,1042
33,2020-11-25,Langlade,1311,9,-,10,-,-,25,130,34,697,754,1485
34,2020-11-25,Lincoln,1490,11,11,5,-,-,28,307,28,1264,560,1852
35,2020-11-25,Manitowoc,3884,46,75,17,-,-,82,592,293,3540,863,4696
36,2020-11-25,Marathon,7588,103,534,33,-,-,185,826,342,5183,3744,9269
37,2020-11-25,Marinette,2532,11,11,10,-,-,88,171,48,2461,314,2823
38,2020-11-25,Marquette,929,9,-,-,-,-,34,31,80,711,215,1006
39,2020-11-25,Menominee,31,-,-,495,-,-,11,8,-,516,26,546
40,2020-11-25,Milwaukee,35010,14151,2379,460,-,-,7261,5256,15534,38842,10141,64517
41,2020-11-25,Monroe,2147,25,20,41,-,-,87,83,172,2093,138,2403
42,2020-11-25,Oconto,2775,-,6,53,-,-,43,158,112,2668,257,3037
43,2020-11-25,Oneida,1638,28,5,19,-,-,33,462,20,1554,611,2185
44,2020-11-25,Outagamie,10193,164,283,357,-,-,641,1692,777,9899,2654,13330
45,2020-11-25,Ozaukee,3942,87,67,13,-,-,127,296,165,3691,676,4532
46,2020-11-25,Pepin,418,-,-,-,-,-,8,24,10,412,30,452
47,2020-11-25,Pierce,1829,19,9,-,-,-,12,103,51,1747,175,1973
48,2020-11-25,Polk,1802,-,-,24,-,-,17,156,23,1661,319,2003
49,2020-11-25,Portage,3896,44,173,11,-,-,134,233,248,3671,572,4491
50,2020-11-25,Price,305,-,5,-,-,-,6,366,-,283,399,684
51,2020-11-25,Racine,10207,2160,109,73,-,-,796,250,2639,10253,703,13595
52,2020-11-25,Richland,611,-,10,-,-,-,31,197,52,559,241,852
53,2020-11-25,Rock,6825,459,110,32,-,-,855,582,1371,6395,1097,8863
54,2020-11-25,Rusk,369,7,-,-,-,-,7,421,14,444,350,808
55,2020-11-25,Sauk,2802,31,24,68,-,-,274,147,374,2683,289,3346
56,2020-11-25,Sawyer,576,-,-,132,-,-,24,103,7,688,147,842
57,2020-11-25,Shawano,2458,5,13,386,-,-,104,612,120,2462,996,3578
58,2020-11-25,Sheboygan,6391,503,395,50,-,-,347,1048,890,6003,1841,8734
59,2020-11-25,St. Croix,3461,21,26,6,-,-,61,555,119,3271,740,4130
60,2020-11-25,Taylor,1069,-,-,-,-,-,8,42,62,1011,48,1121
61,2020-11-25,Trempealeau,1900,20,11,7,-,-,121,217,343,1638,295,2276
62,2020-11-25,Vernon,980,-,5,-,-,-,11,43,18,951,74,1043
63,2020-11-25,Vilas,828,-,-,112,-,-,20,206,13,874,283,1170
