,date,name,white,black,asian,american_indian,nh_pi,two_plus,other,race_unknown,hispanic,non-hispanic,eth_unknown,total_cases
71,2020-12-05,Adams,993,7,7,7,-,-,34,74,60,861,201,1122
0,2020-12-05,Ashland,511,-,-,119,-,-,10,129,6,585,182,773
1,2020-12-05,Barron,2798,157,10,18,-,-,169,650,201,2983,618,3802
4,2020-12-05,Bayfield,484,-,-,83,-,-,17,148,7,526,203,736
5,2020-12-05,Brown,17651,851,622,950,-,-,1718,1629,3587,16953,2881,23421
25,2020-12-05,Buffalo,822,7,-,-,-,-,11,18,21,817,22,860
26,2020-12-05,Burnett,697,-,-,47,-,-,11,74,6,734,93,833
27,2020-12-05,Calumet,3522,37,55,17,-,-,151,394,254,3185,737,4176
28,2020-12-05,Chippewa,4105,211,55,43,-,-,66,660,88,4219,833,5140
29,2020-12-05,Clark,1306,-,-,-,-,-,36,965,247,1397,671,2315
30,2020-12-05,Columbia,3007,185,20,43,-,-,194,171,235,2601,784,3620
31,2020-12-05,Crawford,1120,171,11,10,-,-,33,33,46,1193,139,1378
56,2020-12-05,Dane,20935,2313,1067,237,-,-,3742,653,4496,22131,2320,28947
64,2020-12-05,Dodge,6365,787,70,82,-,-,579,1040,837,5691,2395,8923
65,2020-12-05,Door,1471,11,10,-,-,-,36,135,108,1383,176,1667
66,2020-12-05,Douglas,1827,34,11,23,-,-,51,337,37,1764,482,2283
67,2020-12-05,Dunn,2524,21,76,10,-,-,67,262,47,2549,364,2960
68,2020-12-05,Eau Claire,6959,126,276,23,-,-,185,530,202,7255,642,8099
2,2020-12-05,Florence,257,-,-,-,-,-,7,83,-,231,116,349
3,2020-12-05,Fond du Lac,7675,239,105,46,-,-,271,663,673,6936,1390,8999
6,2020-12-05,Forest,553,-,-,158,-,-,11,31,6,689,61,756
7,2020-12-05,Grant,2985,21,16,-,-,-,111,480,147,2833,635,3615
8,2020-12-05,Green,1738,7,6,-,-,-,60,35,123,1613,112,1848
9,2020-12-05,Green Lake,1095,6,-,6,-,-,43,73,106,955,162,1223
10,2020-12-05,Iowa,1287,7,6,-,-,-,24,27,29,1255,69,1353
12,2020-12-05,Iron,295,-,-,5,-,-,5,64,8,244,119,371
13,2020-12-05,Jackson,1447,135,23,200,-,-,40,92,77,1720,140,1937
14,2020-12-05,Jefferson,4458,68,33,53,-,-,458,572,792,3968,882,5642
16,2020-12-05,Juneau,1342,173,15,52,-,-,54,384,77,1411,532,2020
18,2020-12-05,Kenosha,7254,713,129,27,-,-,803,1084,1627,5805,2578,10010
19,2020-12-05,Kewaunee,1519,6,-,8,-,-,41,158,75,1394,266,1735
20,2020-12-05,La Crosse,6951,145,375,18,-,-,177,975,137,6985,1519,8641
21,2020-12-05,Lafayette,941,-,-,-,-,-,84,74,152,847,106,1105
22,2020-12-05,Langlade,1389,9,-,11,-,-,28,147,38,719,828,1585
23,2020-12-05,Lincoln,1643,11,12,5,-,-,34,349,30,1388,636,2054
34,2020-12-05,Manitowoc,4280,52,84,18,-,-,95,653,320,3910,952,5182
36,2020-12-05,Marathon,8345,112,618,40,-,-,193,896,361,5845,3998,10204
37,2020-12-05,Marinette,2781,11,13,11,-,-,93,203,49,2701,362,3112
40,2020-12-05,Marquette,980,9,-,-,-,-,37,30,81,741,237,1059
43,2020-12-05,Menominee,29,-,-,540,-,-,12,9,6,554,31,591
44,2020-12-05,Milwaukee,39124,15973,2775,518,-,-,7955,5710,17180,43716,11159,72055
39,2020-12-05,Monroe,2504,28,22,51,-,-,95,98,183,2452,163,2798
41,2020-12-05,Oconto,3013,-,6,55,-,-,44,163,115,2902,266,3283
45,2020-12-05,Oneida,1854,28,8,20,-,-,40,505,24,1768,663,2455
