,date,name,white,black,asian,american_indian,nh_pi,two_plus,other,race_unknown,hispanic,non-hispanic,eth_unknown,total_cases
12,2020-11-30,Adams,923,5,6,7,-,-,35,64,60,808,172,1040
13,2020-11-30,Ashland,436,-,-,101,-,-,8,120,-,497,168,669
14,2020-11-30,Barron,2671,154,10,17,-,-,162,605,199,2843,577,3619
15,2020-11-30,Bayfield,441,-,-,78,-,-,17,140,7,481,192,680
16,2020-11-30,Brown,16928,832,584,915,-,-,1677,1607,3547,16197,2799,22543
17,2020-11-30,Buffalo,769,7,-,-,-,-,10,17,21,765,19,805
18,2020-11-30,Burnett,640,-,-,43,-,-,11,74,6,676,90,772
19,2020-11-30,Calumet,3412,37,55,16,-,-,149,390,248,3105,706,4059
20,2020-11-30,Chippewa,3768,172,48,37,-,-,46,595,81,3844,741,4666
21,2020-11-30,Clark,1226,-,-,-,-,-,33,887,239,1283,632,2154
22,2020-11-30,Columbia,2888,182,19,42,-,-,181,168,225,2497,758,3480
23,2020-11-30,Crawford,1016,125,11,9,-,-,28,33,35,1077,110,1222
24,2020-11-30,Dane,19970,2134,1012,218,-,-,3554,601,4254,21083,2152,27489
0,2020-11-30,Dodge,5922,702,68,73,-,-,548,1045,785,5268,2305,8358
1,2020-11-30,Door,1413,8,9,-,-,-,33,130,105,1324,168,1597
2,2020-11-30,Douglas,1634,31,9,18,-,-,34,331,32,1574,451,2057
3,2020-11-30,Dunn,2400,19,67,10,-,-,64,252,47,2416,349,2812
4,2020-11-30,Eau Claire,6693,124,260,23,-,-,181,509,187,6978,625,7790
5,2020-11-30,Florence,233,-,-,-,-,-,6,75,-,209,106,316
6,2020-11-30,Fond du Lac,7209,210,96,31,-,-,250,655,659,6517,1275,8451
46,2020-11-30,Forest,529,-,-,155,-,-,10,30,-,664,59,727
47,2020-11-30,Grant,2855,19,16,-,-,-,109,461,139,2716,607,3462
49,2020-11-30,Green,1587,7,5,-,-,-,57,33,118,1471,102,1691
51,2020-11-30,Green Lake,1059,6,-,6,-,-,43,70,103,927,154,1184
54,2020-11-30,Iowa,1222,7,-,-,-,-,24,27,29,1191,66,1286
56,2020-11-30,Iron,281,-,-,-,-,-,5,59,8,231,112,351
57,2020-11-30,Jackson,1308,90,19,189,-,-,34,77,63,1531,123,1717
58,2020-11-30,Jefferson,4230,65,33,51,-,-,442,531,772,3763,817,5352
61,2020-11-30,Juneau,1262,170,14,51,-,-,55,363,75,1336,504,1915
62,2020-11-30,Kenosha,6719,680,119,25,-,-,745,1018,1542,5406,2358,9306
63,2020-11-30,Kewaunee,1475,6,-,7,-,-,42,156,74,1354,261,1689
64,2020-11-30,La Crosse,6461,136,348,16,-,-,167,959,122,6499,1466,8087
65,2020-11-30,Lafayette,922,-,-,-,-,-,82,74,151,821,112,1084
