,date,name,white,black,asian,american_indian,nh_pi,two_plus,other,race_unknown,hispanic,non-hispanic,eth_unknown,total_cases
20,2020-11-17,Adams,762,5,5,7,-,-,32,53,58,674,132,864
21,2020-11-17,Ashland,344,-,-,74,-,-,-,99,-,376,146,525
22,2020-11-17,Barron,2030,150,8,8,-,-,148,410,190,2156,408,2754
23,2020-11-17,Bayfield,361,-,-,61,-,-,15,125,5,395,163,563
24,2020-11-17,Brown,14858,770,517,826,-,-,1592,1525,3375,14137,2576,20088
25,2020-11-17,Buffalo,577,6,-,-,-,-,8,9,18,567,16,601
26,2020-11-17,Burnett,470,-,-,33,-,-,9,62,5,503,70,578
27,2020-11-17,Calumet,3072,34,46,12,-,-,132,341,225,2788,624,3637
28,2020-11-17,Chippewa,3015,134,30,27,-,-,34,453,72,2992,629,3693
57,2020-11-17,Clark,1018,-,-,-,-,-,28,688,213,987,541,1741
58,2020-11-17,Columbia,2360,90,14,29,-,-,161,142,181,2014,601,2796
59,2020-11-17,Crawford,654,14,5,-,-,-,9,27,8,656,46,710
60,2020-11-17,Dane,16790,1668,800,180,-,-,2963,529,3448,17669,1813,22930
61,2020-11-17,Dodge,4812,548,57,57,-,-,490,945,693,4256,1960,6909
62,2020-11-17,Door,1241,7,9,-,-,-,29,126,91,1167,156,1414
63,2020-11-17,Douglas,1088,24,6,13,-,-,21,253,26,1034,345,1405
64,2020-11-17,Dunn,1806,15,48,7,-,-,47,193,39,1799,278,2116
65,2020-11-17,Eau Claire,5332,110,198,21,-,-,159,431,157,5570,524,6251
66,2020-11-17,Florence,204,-,-,-,-,-,-,64,-,186,87,274
67,2020-11-17,Fond du Lac,6205,186,80,28,-,-,205,598,591,5572,1139,7302
68,2020-11-17,Forest,489,-,-,138,-,-,9,25,-,607,52,662
69,2020-11-17,Grant,2473,15,13,-,-,-,91,399,124,2358,512,2994
70,2020-11-17,Green,1335,6,5,-,-,-,43,30,104,1239,78,1421
71,2020-11-17,Green Lake,949,6,-,5,-,-,40,63,97,832,134,1063
29,2020-11-17,Iowa,977,7,-,-,-,-,18,23,28,952,50,1030
30,2020-11-17,Iron,244,-,-,-,-,-,-,53,7,202,96,305
31,2020-11-17,Jackson,977,68,13,153,-,-,26,56,52,1147,94,1293
32,2020-11-17,Jefferson,3485,56,27,45,-,-,382,397,691,3081,620,4392
33,2020-11-17,Juneau,1072,168,11,43,-,-,51,286,71,1151,409,1631
34,2020-11-17,Kenosha,5506,596,94,20,-,-,623,872,1335,4434,1942,7711
35,2020-11-17,Kewaunee,1257,-,-,7,-,-,41,144,71,1152,233,1456
36,2020-11-17,La Crosse,5213,116,282,12,-,-,142,876,97,5215,1329,6641
37,2020-11-17,Lafayette,786,-,-,-,-,-,81,67,147,696,97,940
38,2020-11-17,Langlade,1232,9,-,9,-,-,22,118,27,660,703,1390
39,2020-11-17,Lincoln,1274,10,11,-,-,-,27,257,22,1058,501,1581
40,2020-11-17,Manitowoc,3461,37,64,15,-,-,69,525,264,3164,743,4171
41,2020-11-17,Marathon,6783,93,466,30,-,-,172,740,309,4534,3441,8284
42,2020-11-17,Marinette,2280,11,10,10,-,-,86,152,46,2227,276,2549
43,2020-11-17,Marquette,871,-,-,-,-,-,32,27,74,669,192,935
44,2020-11-17,Menominee,28,-,-,460,-,-,10,7,5,474,28,507
45,2020-11-17,Milwaukee,31093,12603,2066,401,-,-,6386,4782,14085,34352,8894,57331
46,2020-11-17,Monroe,1774,20,17,30,-,-,79,72,161,1713,118,1992
47,2020-11-17,Oconto,2589,-,-,50,-,-,41,152,108,2492,238,2838
48,2020-11-17,Oneida,1478,28,5,18,-,-,29,407,20,1381,564,1965
49,2020-11-17,Outagamie,9470,150,246,332,-,-,587,1575,729,9200,2431,12360
50,2020-11-17,Ozaukee,3397,76,60,12,-,-,107,246,145,3186,567,3898
51,2020-11-17,Pepin,337,-,-,-,-,-,8,20,10,335,22,367
52,2020-11-17,Pierce,1429,19,8,-,-,-,10,86,46,1366,141,1553
53,2020-11-17,Polk,1460,-,-,21,-,-,17,127,20,1384,225,1629
54,2020-11-17,Portage,3532,41,169,9,-,-,120,210,225,3328,528,4081
55,2020-11-17,Price,270,-,-,-,-,-,-,318,-,245,352,598
56,2020-11-17,Racine,8871,1912,85,52,-,-,684,219,2313,8925,585,11823
0,2020-11-17,Richland,525,-,10,-,-,-,24,172,45,480,208,733
1,2020-11-17,Rock,6148,425,96,31,-,-,767,540,1251,5759,997,8007
2,2020-11-17,Rusk,288,-,-,-,-,-,7,332,12,317,302,631
4,2020-11-17,Sauk,2488,28,21,59,-,-,255,129,345,2394,241,2980
5,2020-11-17,Sawyer,460,-,-,110,-,-,22,86,7,550,128,685
6,2020-11-17,Shawano,2298,5,14,368,-,-,97,590,117,2321,934,3372
7,2020-11-17,Sheboygan,5551,494,311,46,-,-,291,942,803,5261,1571,7635
3,2020-11-17,St. Croix,2942,20,23,5,-,-,53,483,114,2794,618,3526
8,2020-11-17,Taylor,871,-,-,-,-,-,6,24,60,806,37,903
9,2020-11-17,Trempealeau,1538,13,11,-,-,-,106,193,307,1304,254,1865
10,2020-11-17,Vernon,822,-,-,-,-,-,9,36,13,803,57,873
11,2020-11-17,Vilas,712,-,-,106,-,-,19,175,13,751,252,1016
12,2020-11-17,Walworth,4077,85,19,23,-,-,297,517,780,3476,762,5018
13,2020-11-17,Washburn,466,-,-,-,-,-,-,10,6,469,8,483
14,2020-11-17,Washington,6593,77,57,17,-,-,171,300,247,5270,1698,7215
15,2020-11-17,Waukesha,16760,367,302,59,-,-,863,1818,1295,14042,4832,20169
16,2020-11-17,Waupaca,2741,13,10,17,-,-,175,429,116,2532,737,3385
17,2020-11-17,Waushara,1310,110,11,20,-,-,91,75,231,1151,235,1617
18,2020-11-17,Winnebago,9781,522,302,83,-,-,513,769,670,9346,1954,11970
19,2020-11-17,Wood,2744,21,37,35,-,-,97,289,118,2574,531,3223
