date,name,white,black,asian,american_indian,nh_pi,two_plus,other,race_unknown,hispanic,non-hispanic,eth_unknown,total_cases
2020-11-08,Adams,640,5,-,5,-,-,26,41,54,560,107,721
2020-11-08,Ashland,253,-,-,57,-,-,-,76,-,276,116,394
2020-11-08,Barron,1332,144,6,5,-,-,135,239,174,1426,261,1861
2020-11-08,Bayfield,235,-,-,48,-,-,11,93,5,265,118,388
2020-11-08,Brown,13105,715,457,741,-,-,1525,1408,3159,12482,2310,17951
2020-11-08,Buffalo,423,6,-,-,-,-,7,5,18,414,9,441
2020-11-08,Burnett,324,-,-,27,-,-,9,38,-,353,45,402
2020-11-08,Calumet,2657,33,40,10,-,-,119,309,197,2433,538,3168
2020-11-08,Chippewa,2273,91,23,17,-,-,22,327,44,2240,469,2753
2020-11-08,Clark,774,-,-,-,-,-,21,493,190,694,407,1291
2020-11-08,Columbia,1913,68,11,25,-,-,136,116,159,1648,462,2269
2020-11-08,Crawford,463,-,-,-,-,-,-,22,5,459,30,494
2020-11-08,Dane,13687,1301,634,138,-,-,2319,444,2616,14487,1420,18523
2020-11-08,Dodge,3957,446,47,49,-,-,444,795,603,3443,1692,5738
2020-11-08,Door,1019,6,8,-,-,-,27,115,79,965,133,1177
2020-11-08,Douglas,800,22,6,9,-,-,20,186,22,763,258,1043
2020-11-08,Dunn,1332,12,38,5,-,-,41,159,31,1338,218,1587
2020-11-08,Eau Claire,4323,93,151,20,-,-,136,313,135,4486,415,5036
2020-11-08,Florence,187,-,-,-,-,-,-,57,-,171,78,249
2020-11-08,Fond du Lac,5171,131,63,17,-,-,172,556,522,4609,979,6110
2020-11-08,Forest,427,-,-,121,-,-,5,23,-,529,46,577
2020-11-08,Grant,2011,11,9,-,-,-,70,320,95,1933,395,2423
2020-11-08,Green,1136,5,5,-,-,-,38,27,94,1055,64,1213
2020-11-08,Green Lake,810,6,-,5,-,-,38,55,92,709,113,914
2020-11-08,Iowa,696,5,-,-,-,-,14,19,24,681,34,739
2020-11-08,Iron,204,-,-,-,-,-,-,48,7,168,84,259
2020-11-08,Jackson,679,62,10,97,-,-,18,25,45,785,61,891
2020-11-08,Jefferson,2784,42,23,40,-,-,322,330,605,2452,484,3541
2020-11-08,Juneau,843,126,6,38,-,-,33,209,54,893,308,1255
2020-11-08,Kenosha,4574,514,79,15,-,-,512,724,1177,3684,1557,6418
2020-11-08,Kewaunee,1113,-,-,5,-,-,40,132,67,1014,216,1297
2020-11-08,La Crosse,4236,95,232,10,-,-,126,770,81,4246,1142,5469
2020-11-08,Lafayette,572,-,-,-,-,-,73,61,137,506,68,711
2020-11-08,Langlade,1076,7,-,8,-,-,19,99,25,595,589,1209
2020-11-08,Lincoln,1018,6,7,-,-,-,23,195,19,828,404,1251
2020-11-08,Manitowoc,2981,32,53,13,-,-,61,417,224,2740,593,3557
2020-11-08,Marathon,5459,73,383,24,-,-,135,598,262,3701,2709,6672
2020-11-08,Marinette,1958,11,10,8,-,-,77,141,42,1937,226,2205
2020-11-08,Marquette,770,-,-,-,-,-,28,25,66,600,161,827
2020-11-08,Menominee,20,-,-,369,-,-,9,6,-,380,22,406
2020-11-08,Milwaukee,26086,11153,1801,342,-,-,5611,4302,12679,28999,7617,49295
2020-11-08,Monroe,1390,15,12,25,-,-,69,45,150,1329,77,1556
2020-11-08,Oconto,2288,-,-,42,-,-,38,139,101,2194,216,2511
2020-11-08,Oneida,1187,5,-,14,-,-,22,355,18,1090,478,1586
2020-11-08,Outagamie,8448,119,220,289,-,-,534,1429,664,8218,2157,11039
2020-11-08,Ozaukee,2689,63,50,11,-,-,94,186,127,2568,398,3093
2020-11-08,Pepin,227,-,-,-,-,-,7,13,10,222,17,249
2020-11-08,Pierce,1003,17,-,-,-,-,7,52,43,958,83,1084
2020-11-08,Polk,882,-,-,5,-,-,9,61,11,856,94,961
2020-11-08,Portage,2988,37,163,6,-,-,100,197,198,2831,462,3491
2020-11-08,Price,222,-,-,-,-,-,-,256,-,194,291,486
2020-11-08,Racine,7110,1668,64,36,-,-,597,169,2009,7135,500,9644
2020-11-08,Richland,407,-,6,-,-,-,22,152,42,369,178,589
2020-11-08,Rock,5044,357,80,25,-,-,639,464,1093,4724,792,6609
2020-11-08,Rusk,170,-,-,-,-,-,-,203,8,175,196,379
2020-11-08,Sauk,2040,24,19,47,-,-,228,93,317,1944,190,2451
2020-11-08,Sawyer,341,-,-,82,-,-,18,58,5,399,100,504
2020-11-08,Shawano,2016,5,9,323,-,-,89,529,110,2035,826,2971
2020-11-08,Sheboygan,4339,463,203,41,-,-,227,726,648,4145,1206,5999
2020-11-08,St. Croix,2211,16,19,-,-,-,40,332,98,2120,403,2621
2020-11-08,Taylor,655,-,-,-,-,-,6,17,53,607,20,680
2020-11-08,Trempealeau,1116,10,10,-,-,-,99,125,278,926,160,1364
2020-11-08,Vernon,628,-,-,-,-,-,6,29,11,609,48,668
2020-11-08,Vilas,559,-,-,90,-,-,15,151,11,593,215,819
2020-11-08,Walworth,3337,69,17,21,-,-,258,415,714,2841,562,4117
2020-11-08,Washburn,323,-,-,-,-,-,-,-,5,324,-,331
2020-11-08,Washington,5383,61,46,13,-,-,140,213,208,4451,1197,5856
2020-11-08,Waukesha,12934,303,250,41,-,-,655,1431,1050,10901,3663,15614
2020-11-08,Waupaca,2401,13,10,16,-,-,162,380,109,2242,631,2982
2020-11-08,Waushara,1186,110,11,20,-,-,84,65,211,1061,204,1476
2020-11-08,Winnebago,8611,424,254,72,-,-,448,689,606,8199,1693,10498
2020-11-08,Wood,2116,11,29,27,-,-,76,198,88,1944,425,2457
