,date,name,white,black,asian,american_indian,nh_pi,two_plus,other,race_unknown,hispanic,non-hispanic,eth_unknown,total_cases
0,2020-12-14,Adams,1060,8,7,7,-,-,36,81,63,913,223,1199
1,2020-12-14,Ashland,586,-,-,129,-,-,14,146,6,673,200,879
2,2020-12-14,Barron,2999,157,11,18,-,-,174,684,202,3195,646,4043
3,2020-12-14,Bayfield,553,-,-,87,-,-,21,166,7,597,227,831
4,2020-12-14,Brown,18384,878,667,1014,-,-,1749,1647,3646,17754,2939,24339
5,2020-12-14,Buffalo,866,8,-,-,-,-,13,19,22,862,24,908
6,2020-12-14,Burnett,769,-,-,48,-,-,14,82,9,809,99,917
7,2020-12-14,Calumet,3698,38,56,19,-,-,165,421,270,3338,789,4397
8,2020-12-14,Chippewa,4357,227,58,46,-,-,69,706,88,4492,883,5463
9,2020-12-14,Clark,1402,-,-,-,-,-,37,1060,260,1536,711,2507
10,2020-12-14,Columbia,3241,189,20,46,-,-,205,181,256,2794,832,3882
11,2020-12-14,Crawford,1201,175,11,10,-,-,34,35,46,1273,147,1466
12,2020-12-14,Dane,22211,2432,1141,244,-,-,3902,723,4773,23418,2462,30653
13,2020-12-14,Dodge,6920,924,74,88,-,-,619,1072,879,6268,2550,9697
14,2020-12-14,Door,1585,11,10,-,-,-,38,138,108,1491,187,1786
15,2020-12-14,Douglas,2148,35,15,27,-,-,51,367,44,2084,515,2643
16,2020-12-14,Dunn,2708,21,84,10,-,-,67,275,47,2740,378,3165
17,2020-12-14,Eau Claire,7314,129,300,25,-,-,199,547,225,7634,655,8514
18,2020-12-14,Florence,276,-,-,-,-,-,8,93,-,251,126,379
19,2020-12-14,Fond du Lac,8218,249,109,49,-,-,293,683,707,7411,1483,9601
20,2020-12-14,Forest,576,-,-,158,-,-,11,33,5,713,63,781
21,2020-12-14,Grant,3185,26,20,-,-,-,116,501,151,3022,678,3851
22,2020-12-14,Green,1901,8,7,-,-,-,65,39,126,1770,126,2022
23,2020-12-14,Green Lake,1154,6,-,6,-,-,46,76,109,1012,167,1288
24,2020-12-14,Iowa,1418,9,6,-,-,-,25,31,29,1386,76,1491
25,2020-12-14,Iron,320,-,-,5,-,-,6,65,8,270,120,398
26,2020-12-14,Jackson,1550,136,24,209,-,-,44,104,81,1833,153,2067
27,2020-12-14,Jefferson,4785,70,33,58,-,-,486,609,833,4266,942,6041
28,2020-12-14,Juneau,1463,177,16,57,-,-,57,429,80,1533,586,2199
29,2020-12-14,Kenosha,8005,770,141,30,-,-,868,1170,1755,6373,2856,10984
30,2020-12-14,Kewaunee,1612,7,-,8,-,-,40,169,75,1478,286,1839
31,2020-12-14,La Crosse,7375,152,400,19,-,-,190,1010,147,7433,1566,9146
32,2020-12-14,Lafayette,990,-,-,-,-,-,84,74,153,890,111,1154
33,2020-12-14,Langlade,1470,9,-,13,-,-,28,153,39,747,888,1674
34,2020-12-14,Lincoln,1753,14,12,5,-,-,36,386,33,1471,702,2206
35,2020-12-14,Manitowoc,4564,59,90,21,-,-,97,706,335,4187,1015,5537
36,2020-12-14,Marathon,8984,115,683,41,-,-,213,950,395,6395,4196,10986
37,2020-12-14,Marinette,2974,11,13,11,-,-,95,207,52,2888,371,3311
38,2020-12-14,Marquette,1020,9,-,-,-,-,36,33,81,773,248,1102
39,2020-12-14,Menominee,30,-,-,596,-,-,12,9,7,610,31,648
40,2020-12-14,Milwaukee,42190,17177,3041,551,-,-,8476,6110,18419,47039,12087,77545
41,2020-12-14,Monroe,2739,32,23,55,-,-,99,112,194,2682,184,3060
42,2020-12-14,Oconto,3237,-,6,55,-,-,51,170,121,3117,283,3521
43,2020-12-14,Oneida,1980,30,9,22,-,-,40,535,24,1903,689,2616
44,2020-12-14,Outagamie,11464,203,334,411,-,-,736,1845,865,11129,2999,14993
45,2020-12-14,Ozaukee,4844,97,82,17,-,-,146,363,186,4541,822,5549
46,2020-12-14,Pepin,524,-,-,-,-,-,14,30,15,521,34,570
47,2020-12-14,Pierce,2428,23,10,-,-,-,26,118,63,2328,216,2607
48,2020-12-14,Polk,2378,6,-,27,-,-,27,246,37,2164,486,2687
49,2020-12-14,Portage,4461,47,187,17,-,-,144,279,270,4199,666,5135
50,2020-12-14,Price,395,-,15,-,-,-,7,437,-,384,471,857
51,2020-12-14,Racine,11871,2438,139,85,-,-,927,346,2989,11892,925,15806
52,2020-12-14,Richland,707,-,11,-,-,-,33,225,60,643,276,979
53,2020-12-14,Rock,8511,586,141,38,-,-,1002,646,1657,8077,1190,10924
54,2020-12-14,Rusk,461,7,-,-,-,-,7,535,17,597,400,1014
55,2020-12-14,Sauk,3415,39,27,82,-,-,317,181,449,3239,373,4061
56,2020-12-14,Sawyer,725,5,5,173,-,-,28,123,13,880,166,1059
57,2020-12-14,Shawano,2704,6,19,424,-,-,112,649,124,2703,1087,3914
58,2020-12-14,Sheboygan,7677,536,536,52,-,-,387,1193,1022,7237,2122,10381
59,2020-12-14,St. Croix,4172,29,36,7,-,-,75,604,132,3962,829,4923
60,2020-12-14,Taylor,1381,-,-,-,-,-,8,75,62,1318,90,1470
61,2020-12-14,Trempealeau,2298,21,11,8,-,-,143,250,378,2005,348,2731
62,2020-12-14,Vernon,1259,-,6,-,-,-,15,53,25,1229,84,1338
63,2020-12-14,Vilas,989,-,-,163,-,-,24,255,16,1077,343,1436
64,2020-12-14,Walworth,5607,102,26,32,-,-,409,745,1046,4726,1149,6921
65,2020-12-14,Washburn,851,-,-,7,-,-,5,31,10,866,19,895
66,2020-12-14,Washington,9420,127,109,29,-,-,232,412,323,7332,2674,10329
67,2020-12-14,Waukesha,25641,532,504,78,-,-,1282,2521,1957,21251,7350,30558
68,2020-12-14,Waupaca,3153,17,11,26,-,-,198,495,127,2908,865,3900
69,2020-12-14,Waushara,1495,114,12,22,-,-,97,90,267,1293,270,1830
70,2020-12-14,Winnebago,11741,619,375,101,-,-,588,843,770,11201,2296,14267
71,2020-12-14,Wood,4173,31,74,45,-,-,137,565,207,4025,793,5025
