date,name,white,black,asian,american_indian,nh_pi,two_plus,other,race_unknown,hispanic,non-hispanic,eth_unknown,total_cases
2020-11-02,Adams,527,-,-,-,-,-,21,34,49,465,80,594
2020-11-02,Ashland,195,-,-,47,-,-,-,58,-,212,93,307
2020-11-02,Barron,990,116,5,5,-,-,126,146,162,1063,163,1388
2020-11-02,Bayfield,181,-,-,42,-,-,10,68,-,215,85,302
2020-11-02,Brown,11901,664,412,651,-,-,1448,1299,2960,11344,2071,16375
2020-11-02,Buffalo,328,5,-,-,-,-,7,-,16,322,5,343
2020-11-02,Burnett,269,-,-,21,-,-,8,29,-,292,35,331
2020-11-02,Calumet,2424,30,35,10,-,-,109,285,188,2222,483,2893
2020-11-02,Chippewa,1699,37,17,9,-,-,19,252,22,1700,311,2033
2020-11-02,Clark,659,-,-,-,-,-,17,367,170,577,298,1045
2020-11-02,Columbia,1665,59,9,19,-,-,125,97,147,1439,388,1974
2020-11-02,Crawford,374,-,-,-,-,-,-,19,-,372,26,401
2020-11-02,Dane,12064,1149,559,113,-,-,1979,343,2175,12873,1159,16207
2020-11-02,Dodge,3308,362,40,43,-,-,406,685,546,2876,1422,4844
2020-11-02,Door,828,6,8,-,-,-,24,93,63,783,114,960
2020-11-02,Douglas,653,21,-,9,-,-,13,165,20,633,212,865
2020-11-02,Dunn,1025,12,36,-,-,-,36,132,24,1039,182,1245
2020-11-02,Eau Claire,3529,74,128,15,-,-,121,228,121,3663,311,4095
2020-11-02,Florence,168,-,-,-,-,-,-,54,-,155,72,227
2020-11-02,Fond du Lac,4500,118,51,13,-,-,162,527,496,3945,930,5371
2020-11-02,Forest,383,-,-,100,-,-,-,22,-,467,41,510
2020-11-02,Grant,1723,8,9,-,-,-,59,284,84,1648,353,2085
2020-11-02,Green,997,5,-,-,-,-,31,24,76,932,55,1063
2020-11-02,Green Lake,733,5,-,-,-,-,33,53,89,632,107,828
2020-11-02,Iowa,549,-,-,-,-,-,11,17,18,537,29,584
2020-11-02,Iron,172,-,-,-,-,-,-,38,7,141,69,217
2020-11-02,Jackson,479,36,5,61,-,-,9,15,28,544,33,605
2020-11-02,Jefferson,2410,39,19,37,-,-,282,282,534,2134,401,3069
2020-11-02,Juneau,602,57,-,23,-,-,21,180,26,619,241,886
2020-11-02,Kenosha,3967,468,73,11,-,-,447,632,1103,3209,1286,5598
2020-11-02,Kewaunee,1006,-,-,-,-,-,40,120,65,916,195,1176
2020-11-02,La Crosse,3553,91,198,9,-,-,115,669,71,3565,999,4635
2020-11-02,Lafayette,481,-,-,-,-,-,70,48,125,427,52,604
2020-11-02,Langlade,981,6,-,8,-,-,18,89,21,552,529,1102
2020-11-02,Lincoln,816,-,5,-,-,-,18,153,15,666,314,995
2020-11-02,Manitowoc,2597,26,44,10,-,-,55,369,220,2372,509,3101
2020-11-02,Marathon,4592,61,312,18,-,-,117,477,227,3071,2279,5577
2020-11-02,Marinette,1722,11,9,7,-,-,65,121,42,1706,187,1935
2020-11-02,Marquette,663,-,-,-,-,-,24,21,59,527,126,712
2020-11-02,Menominee,17,-,-,311,-,-,9,6,-,320,20,344
2020-11-02,Milwaukee,22802,10234,1614,307,-,-,5145,3927,11810,25685,6534,44029
2020-11-02,Monroe,1166,12,11,22,-,-,65,36,146,1103,63,1312
2020-11-02,Oconto,2095,-,-,33,-,-,36,131,98,1993,208,2299
2020-11-02,Oneida,1037,-,-,15,-,-,22,320,18,945,437,1400
2020-11-02,Outagamie,7619,110,192,257,-,-,473,1314,612,7441,1912,9965
2020-11-02,Ozaukee,2227,55,43,10,-,-,68,143,112,2168,266,2546
2020-11-02,Pepin,158,-,-,-,-,-,7,10,10,154,13,177
2020-11-02,Pierce,780,17,-,-,-,-,5,40,39,752,56,847
2020-11-02,Polk,619,-,-,-,-,-,7,47,8,602,70,680
2020-11-02,Portage,2614,36,160,6,-,-,93,159,183,2514,371,3068
2020-11-02,Price,197,-,-,-,-,-,-,214,-,172,244,417
2020-11-02,Racine,6051,1505,57,27,-,-,530,173,1846,6087,410,8343
2020-11-02,Richland,352,-,5,-,-,-,22,138,39,322,158,519
2020-11-02,Rock,4377,335,77,23,-,-,550,425,949,4126,712,5787
2020-11-02,Rusk,135,-,-,-,-,-,-,124,7,146,110,263
2020-11-02,Sauk,1649,23,15,39,-,-,191,74,273,1582,136,1991
2020-11-02,Sawyer,283,-,-,67,-,-,17,50,5,333,84,422
2020-11-02,Shawano,1842,5,7,285,-,-,88,480,104,1858,745,2707
2020-11-02,Sheboygan,3824,461,180,37,-,-,199,660,597,3695,1069,5361
2020-11-02,St. Croix,1861,15,14,-,-,-,40,259,92,1778,321,2191
2020-11-02,Taylor,542,-,-,-,-,-,6,14,51,501,12,564
2020-11-02,Trempealeau,938,10,7,-,-,-,96,104,268,765,125,1158
2020-11-02,Vernon,516,-,-,-,-,-,8,27,10,499,47,556
2020-11-02,Vilas,470,-,-,54,-,-,11,129,10,479,179,668
2020-11-02,Walworth,2902,60,14,17,-,-,251,350,676,2457,461,3594
2020-11-02,Washburn,264,-,-,-,-,-,-,-,5,266,-,272
2020-11-02,Washington,4542,46,37,12,-,-,125,144,193,3901,812,4906
2020-11-02,Waukesha,11223,266,224,37,-,-,551,1281,925,9524,3133,13582
2020-11-02,Waupaca,2121,12,9,14,-,-,152,342,103,1983,564,2650
2020-11-02,Waushara,928,39,7,9,-,-,72,60,176,811,128,1115
2020-11-02,Winnebago,7827,389,234,70,-,-,391,610,544,7517,1460,9521
2020-11-02,Wood,1733,9,24,24,-,-,54,115,65,1590,304,1959
