,date,name,white,black,asian,american_indian,nh_pi,two_plus,other,race_unknown,hispanic,non-hispanic,eth_unknown,total_cases
7,2020-12-02,Adams,951,6,7,7,-,-,35,65,60,832,179,1071
8,2020-12-02,Ashland,458,-,-,107,-,-,8,120,5,521,171,697
9,2020-12-02,Barron,2722,154,10,18,-,-,165,619,201,2898,589,3688
10,2020-12-02,Bayfield,454,-,-,81,-,-,17,142,7,495,196,698
11,2020-12-02,Brown,17181,842,603,928,-,-,1686,1617,3552,16482,2823,22857
12,2020-12-02,Buffalo,792,7,-,-,-,-,10,17,21,787,20,828
13,2020-12-02,Burnett,652,-,-,48,-,-,11,75,6,691,93,790
14,2020-12-02,Calumet,3442,37,55,16,-,-,149,387,251,3122,713,4086
15,2020-12-02,Chippewa,3961,192,50,43,-,-,57,618,84,4062,775,4921
16,2020-12-02,Clark,1255,-,-,-,-,-,35,917,243,1322,650,2215
17,2020-12-02,Columbia,2929,185,20,43,-,-,184,170,229,2536,766,3531
18,2020-12-02,Crawford,1065,167,11,10,-,-,32,33,44,1138,136,1318
19,2020-12-02,Dane,20190,2173,1020,220,-,-,3589,638,4294,21325,2211,27830
20,2020-12-02,Dodge,6003,714,68,73,-,-,554,1045,797,5344,2316,8457
21,2020-12-02,Door,1423,9,9,-,-,-,34,133,106,1335,171,1612
22,2020-12-02,Douglas,1715,33,10,20,-,-,36,324,36,1654,448,2138
23,2020-12-02,Dunn,2445,19,68,10,-,-,64,257,47,2463,353,2863
24,2020-12-02,Eau Claire,6796,126,265,23,-,-,185,514,191,7090,628,7909
25,2020-12-02,Florence,243,-,-,-,-,-,6,82,-,218,114,333
26,2020-12-02,Fond du Lac,7315,216,100,32,-,-,251,655,659,6613,1297,8569
27,2020-12-02,Forest,533,-,-,156,-,-,11,30,5,668,60,733
28,2020-12-02,Grant,2910,20,16,-,-,-,111,469,145,2767,616,3528
29,2020-12-02,Green,1632,7,6,-,-,-,59,33,119,1515,105,1739
30,2020-12-02,Green Lake,1065,6,-,6,-,-,43,72,103,932,157,1192
31,2020-12-02,Iowa,1250,7,5,-,-,-,24,27,29,1220,66,1315
32,2020-12-02,Iron,288,-,-,-,-,-,5,64,8,238,117,363
33,2020-12-02,Jackson,1336,91,19,190,-,-,34,85,65,1559,131,1755
34,2020-12-02,Jefferson,4288,66,33,52,-,-,445,542,783,3813,830,5426
35,2020-12-02,Juneau,1278,172,14,51,-,-,54,368,76,1352,509,1937
36,2020-12-02,Kenosha,7038,696,121,25,-,-,772,1058,1584,5646,2480,9710
37,2020-12-02,Kewaunee,1496,6,-,7,-,-,42,159,75,1370,268,1713
38,2020-12-02,La Crosse,6570,139,352,17,-,-,170,961,124,6616,1469,8209
39,2020-12-02,Lafayette,933,-,-,-,-,-,82,74,151,834,110,1095
40,2020-12-02,Langlade,1374,9,-,10,-,-,26,139,38,710,810,1558
41,2020-12-02,Lincoln,1597,11,12,5,-,-,31,330,29,1352,605,1986
42,2020-12-02,Manitowoc,4110,52,83,17,-,-,87,631,305,3754,921,4980
43,2020-12-02,Marathon,8118,111,586,38,-,-,190,883,355,5651,3920,9926
44,2020-12-02,Marinette,2696,11,13,10,-,-,89,193,49,2618,345,3012
46,2020-12-02,Marquette,954,9,-,-,-,-,36,30,81,723,228,1032
48,2020-12-02,Menominee,29,-,-,520,-,-,11,9,-,537,29,570
49,2020-12-02,Milwaukee,37973,15475,2630,507,-,-,7694,5507,16730,42337,10719,69786
64,2020-12-02,Monroe,2401,27,22,43,-,-,95,95,179,2346,158,2683
65,2020-12-02,Oconto,2911,-,6,54,-,-,43,161,113,2802,262,3177
66,2020-12-02,Oneida,1758,28,7,20,-,-,39,494,22,1671,653,2346
68,2020-12-02,Outagamie,10600,175,311,367,-,-,664,1737,801,10284,2769,13854
0,2020-12-02,Ozaukee,4252,90,70,14,-,-,134,331,173,3960,758,4891
1,2020-12-02,Pepin,457,-,-,-,-,-,11,27,12,454,31,497
2,2020-12-02,Pierce,2044,20,10,-,-,-,18,111,53,1960,191,2204
3,2020-12-02,Polk,2000,5,-,24,-,-,21,183,29,1833,374,2236
4,2020-12-02,Portage,4132,44,179,12,-,-,139,264,255,3896,619,4770
5,2020-12-02,Price,340,-,7,-,-,-,6,395,-,324,425,751
6,2020-12-02,Racine,10736,2236,116,75,-,-,837,288,2740,10745,803,14288
45,2020-12-02,Richland,641,-,10,-,-,-,31,206,52,585,254,891
47,2020-12-02,Rock,7411,485,123,34,-,-,903,597,1468,6984,1101,9553
50,2020-12-02,Rusk,411,7,-,-,-,-,7,475,16,514,374,904
52,2020-12-02,Sauk,3062,32,25,73,-,-,287,158,397,2920,320,3637
53,2020-12-02,Sawyer,627,-,5,149,-,-,26,111,9,756,156,921
54,2020-12-02,Shawano,2568,5,16,397,-,-,109,628,123,2562,1038,3723
55,2020-12-02,Sheboygan,6778,510,456,50,-,-,356,1104,938,6376,1940,9254
51,2020-12-02,St. Croix,3715,26,29,6,-,-,63,578,120,3514,783,4417
56,2020-12-02,Taylor,1165,-,-,-,-,-,8,46,63,1095,64,1222
