,date,name,white,black,asian,american_indian,nh_pi,two_plus,other,race_unknown,hispanic,non-hispanic,eth_unknown,total_cases
46,2020-11-07,Adams,620,5,-,5,-,-,25,39,53,544,101,698
0,2020-11-07,Ashland,248,-,-,57,-,-,-,74,-,271,114,387
25,2020-11-07,Barron,1284,144,6,5,-,-,135,223,169,1382,246,1797
26,2020-11-07,Bayfield,229,-,-,48,-,-,11,90,-,260,116,379
1,2020-11-07,Brown,13020,713,449,738,-,-,1523,1410,3151,12390,2312,17853
2,2020-11-07,Buffalo,413,6,-,-,-,-,7,5,18,405,8,431
57,2020-11-07,Burnett,314,-,-,26,-,-,9,36,-,342,43,389
27,2020-11-07,Calumet,2636,33,40,10,-,-,117,305,195,2415,531,3141
28,2020-11-07,Chippewa,2242,88,22,17,-,-,21,323,44,2204,465,2713
3,2020-11-07,Clark,762,-,-,-,-,-,21,482,189,683,395,1267
58,2020-11-07,Columbia,1880,68,11,24,-,-,134,110,157,1621,449,2227
4,2020-11-07,Crawford,455,-,-,-,-,-,-,23,5,451,31,487
29,2020-11-07,Dane,13511,1287,622,138,-,-,2273,443,2571,14302,1401,18274
59,2020-11-07,Dodge,3843,445,47,49,-,-,441,774,595,3346,1658,5599
60,2020-11-07,Door,982,6,8,-,-,-,27,117,78,931,133,1142
47,2020-11-07,Douglas,793,22,6,9,-,-,20,183,22,758,253,1033
30,2020-11-07,Dunn,1299,12,38,5,-,-,41,156,30,1307,214,1551
48,2020-11-07,Eau Claire,4204,92,148,19,-,-,137,297,132,4366,399,4897
31,2020-11-07,Florence,182,-,-,-,-,-,-,57,-,165,78,243
5,2020-11-07,Fond du Lac,5104,131,62,17,-,-,171,550,517,4542,976,6035
61,2020-11-07,Forest,421,-,-,120,-,-,5,23,-,523,45,570
62,2020-11-07,Grant,1970,10,9,-,-,-,67,319,92,1894,391,2377
6,2020-11-07,Green,1105,5,5,-,-,-,37,27,90,1028,63,1181
63,2020-11-07,Green Lake,797,6,-,5,-,-,36,55,92,695,112,899
49,2020-11-07,Iowa,686,5,-,-,-,-,14,19,24,671,33,728
7,2020-11-07,Iron,201,-,-,-,-,-,-,47,7,164,84,255
50,2020-11-07,Jackson,646,62,10,88,-,-,17,23,45,743,58,846
64,2020-11-07,Jefferson,2729,42,23,39,-,-,319,316,599,2405,464,3468
32,2020-11-07,Juneau,826,125,6,37,-,-,33,203,54,874,302,1230
8,2020-11-07,Kenosha,4468,505,77,15,-,-,495,695,1165,3609,1481,6255
65,2020-11-07,Kewaunee,1102,-,-,5,-,-,40,131,67,1003,215,1285
51,2020-11-07,La Crosse,4167,95,229,10,-,-,125,765,81,4178,1132,5391
52,2020-11-07,Lafayette,549,-,-,-,-,-,73,58,136,486,63,685
53,2020-11-07,Langlade,1059,7,-,8,-,-,18,98,22,585,583,1190
9,2020-11-07,Lincoln,981,6,7,-,-,-,22,184,18,797,387,1202
33,2020-11-07,Manitowoc,2949,32,53,13,-,-,61,407,222,2709,584,3515
34,2020-11-07,Marathon,5361,71,372,23,-,-,133,552,260,3622,2630,6512
10,2020-11-07,Marinette,1946,11,10,8,-,-,76,138,42,1923,224,2189
35,2020-11-07,Marquette,752,-,-,-,-,-,27,25,64,586,158,808
66,2020-11-07,Menominee,20,-,-,365,-,-,9,6,-,376,22,402
67,2020-11-07,Milwaukee,25650,11055,1778,339,-,-,5536,4232,12539,28578,7473,48590
11,2020-11-07,Monroe,1363,13,12,24,-,-,69,44,150,1302,73,1525
12,2020-11-07,Oconto,2262,-,-,41,-,-,38,136,101,2166,214,2481
68,2020-11-07,Oneida,1171,5,-,14,-,-,22,358,18,1080,475,1573
13,2020-11-07,Outagamie,8350,118,216,287,-,-,526,1404,655,8124,2122,10901
14,2020-11-07,Ozaukee,2662,62,50,11,-,-,90,180,127,2546,382,3055
36,2020-11-07,Pepin,221,-,-,-,-,-,7,13,10,216,17,243
69,2020-11-07,Pierce,974,17,-,-,-,-,7,50,43,931,79,1053
15,2020-11-07,Polk,802,-,-,5,-,-,8,60,11,779,89,879
37,2020-11-07,Portage,2925,37,162,6,-,-,100,179,196,2781,432,3409
16,2020-11-07,Price,221,-,-,-,-,-,-,247,-,193,282,476
17,2020-11-07,Racine,7008,1649,64,35,-,-,588,168,1991,7036,485,9512
38,2020-11-07,Richland,406,-,6,-,-,-,23,152,42,369,178,589
70,2020-11-07,Rock,4863,352,78,25,-,-,602,457,1035,4561,781,6377
54,2020-11-07,Rusk,168,-,-,-,-,-,-,204,8,173,197,378
39,2020-11-07,Sauk,1996,24,19,47,-,-,228,85,316,1911,172,2399
40,2020-11-07,Sawyer,333,-,-,82,-,-,18,58,5,396,95,496
19,2020-11-07,Shawano,1999,5,9,321,-,-,89,523,109,2020,817,2946
