,date,name,white,black,asian,american_indian,nh_pi,two_plus,other,race_unknown,hispanic,non-hispanic,eth_unknown,total_cases
67,2020-11-06,Adams,610,5,-,5,-,-,25,34,53,538,92,683
15,2020-11-06,Ashland,237,-,-,54,-,-,-,73,-,259,111,372
50,2020-11-06,Barron,1199,144,6,5,-,-,132,199,169,1296,220,1685
53,2020-11-06,Bayfield,215,-,-,48,-,-,11,82,-,250,104,357
16,2020-11-06,Brown,12747,697,441,715,-,-,1513,1396,3103,12155,2251,17509
42,2020-11-06,Buffalo,391,6,-,-,-,-,7,-,17,385,6,408
69,2020-11-06,Burnett,310,-,-,26,-,-,9,37,-,338,44,386
55,2020-11-06,Calumet,2585,33,38,10,-,-,114,302,195,2367,520,3082
18,2020-11-06,Chippewa,2153,79,21,17,-,-,21,313,41,2120,443,2604
70,2020-11-06,Clark,735,-,-,-,-,-,20,456,182,659,372,1213
43,2020-11-06,Columbia,1806,63,9,23,-,-,130,103,151,1555,428,2134
71,2020-11-06,Crawford,435,-,-,-,-,-,-,21,-,432,30,466
19,2020-11-06,Dane,13192,1249,612,131,-,-,2198,425,2453,14007,1347,17807
24,2020-11-06,Dodge,3762,434,43,49,-,-,437,733,588,3258,1612,5458
5,2020-11-06,Door,944,6,8,-,-,-,27,114,76,893,131,1100
26,2020-11-06,Douglas,761,21,6,9,-,-,20,181,22,731,245,998
31,2020-11-06,Dunn,1256,12,37,5,-,-,40,150,28,1263,209,1500
32,2020-11-06,Eau Claire,4042,89,143,18,-,-,137,287,129,4202,385,4716
33,2020-11-06,Florence,179,-,-,-,-,-,-,56,-,164,75,239
34,2020-11-06,Fond du Lac,4914,126,59,16,-,-,166,534,510,4347,958,5815
35,2020-11-06,Forest,411,-,-,120,-,-,5,23,-,513,45,560
11,2020-11-06,Grant,1924,9,9,-,-,-,63,317,91,1842,391,2324
12,2020-11-06,Green,1072,5,5,-,-,-,34,24,83,1000,59,1142
36,2020-11-06,Green Lake,776,5,-,5,-,-,36,54,91,675,110,876
37,2020-11-06,Iowa,648,5,-,-,-,-,14,18,21,636,32,689
22,2020-11-06,Iron,191,-,-,-,-,-,-,44,7,158,77,242
2,2020-11-06,Jackson,596,52,9,83,-,-,15,16,42,689,40,771
3,2020-11-06,Jefferson,2651,42,23,38,-,-,312,307,579,2344,450,3373
45,2020-11-06,Juneau,717,80,-,27,-,-,23,198,38,743,268,1049
4,2020-11-06,Kenosha,4420,500,76,14,-,-,497,678,1160,3568,1457,6185
58,2020-11-06,Kewaunee,1085,-,-,5,-,-,40,129,67,988,211,1266
59,2020-11-06,La Crosse,4007,93,216,9,-,-,122,727,80,4012,1082,5174
38,2020-11-06,Lafayette,530,-,-,-,-,-,71,53,134,468,57,659
48,2020-11-06,Langlade,1033,7,-,8,-,-,18,93,22,573,564,1159
66,2020-11-06,Lincoln,943,-,5,-,-,-,19,178,17,759,374,1150
49,2020-11-06,Manitowoc,2852,28,47,10,-,-,57,390,217,2610,557,3384
51,2020-11-06,Marathon,5191,70,344,21,-,-,131,512,251,3509,2509,6269
40,2020-11-06,Marinette,1884,11,10,8,-,-,70,132,43,1865,207,2115
68,2020-11-06,Marquette,722,-,-,-,-,-,27,25,61,566,151,778
17,2020-11-06,Menominee,20,-,-,350,-,-,9,6,-,362,21,387
41,2020-11-06,Milwaukee,25030,10893,1745,335,-,-,5459,4178,12387,27984,7269,47640
6,2020-11-06,Monroe,1321,13,11,23,-,-,68,42,149,1259,70,1478
47,2020-11-06,Oconto,2214,-,-,39,-,-,38,135,101,2118,211,2430
7,2020-11-06,Oneida,1138,5,-,14,-,-,23,352,18,1050,467,1535
8,2020-11-06,Outagamie,8158,117,211,277,-,-,511,1388,641,7963,2058,10662
9,2020-11-06,Ozaukee,2569,61,50,10,-,-,87,167,123,2465,356,2944
65,2020-11-06,Pepin,202,-,-,-,-,-,7,12,10,197,16,223
13,2020-11-06,Pierce,936,17,-,-,-,-,6,48,43,894,75,1012
14,2020-11-06,Polk,778,-,-,5,-,-,8,59,10,756,88,854
39,2020-11-06,Portage,2865,37,162,6,-,-,101,185,193,2742,421,3356
52,2020-11-06,Price,219,-,-,-,-,-,-,244,-,191,279,471
54,2020-11-06,Racine,6792,1630,62,33,-,-,587,159,1966,6838,459,9263
0,2020-11-06,Richland,397,-,6,-,-,-,22,149,42,360,174,576
20,2020-11-06,Rock,4710,344,79,23,-,-,585,445,1010,4416,760,6186
1,2020-11-06,Rusk,154,-,-,-,-,-,-,178,8,162,167,337
46,2020-11-06,Sauk,1937,23,19,45,-,-,220,84,309,1852,167,2328
61,2020-11-06,Sawyer,320,-,-,79,-,-,17,58,5,380,94,479
23,2020-11-06,Shawano,1963,5,7,314,-,-,89,513,109,1980,802,2891
62,2020-11-06,Sheboygan,4258,464,197,39,-,-,218,715,642,4080,1169,5891
60,2020-11-06,St. Croix,2090,16,16,-,-,-,41,304,97,2003,369,2469
25,2020-11-06,Taylor,621,-,-,-,-,-,6,14,52,575,16,643
27,2020-11-06,Trempealeau,1070,10,8,-,-,-,98,118,278,887,143,1308
63,2020-11-06,Vernon,583,-,-,-,-,-,6,28,11,565,46,622
64,2020-11-06,Vilas,536,-,-,71,-,-,13,130,11,560,183,754
28,2020-11-06,Walworth,3227,67,17,19,-,-,256,405,707,2743,541,3991
10,2020-11-06,Washburn,304,-,-,-,-,-,-,6,5,305,5,315
29,2020-11-06,Washington,5118,56,42,13,-,-,135,181,203,4287,1055,5545
30,2020-11-06,Waukesha,12505,296,248,41,-,-,634,1388,1014,10564,3534,15112
21,2020-11-06,Waupaca,2292,13,10,16,-,-,158,362,105,2136,610,2851
56,2020-11-06,Waushara,1158,110,10,20,-,-,81,62,207,1038,196,1441
