,date,name,white,black,asian,american_indian,nh_pi,two_plus,other,race_unknown,hispanic,non-hispanic,eth_unknown,total_cases
31,2020-11-09,Adams,652,5,5,5,-,-,26,40,54,571,108,733
45,2020-11-09,Ashland,268,-,-,60,-,-,-,80,-,291,122,416
26,2020-11-09,Barron,1376,144,6,6,-,-,135,252,175,1470,274,1919
0,2020-11-09,Bayfield,245,-,-,50,-,-,12,96,5,277,122,404
36,2020-11-09,Brown,13130,715,457,742,-,-,1525,1409,3162,12502,2314,17978
17,2020-11-09,Buffalo,427,6,-,-,-,-,7,5,18,417,10,445
64,2020-11-09,Burnett,326,-,-,27,-,-,9,40,-,355,47,406
9,2020-11-09,Calumet,2712,33,42,10,-,-,119,316,202,2479,551,3232
68,2020-11-09,Chippewa,2311,92,23,17,-,-,22,335,45,2276,479,2800
13,2020-11-09,Clark,785,-,-,-,-,-,21,511,191,703,426,1320
59,2020-11-09,Columbia,1963,69,11,25,-,-,140,120,165,1678,485,2328
5,2020-11-09,Crawford,476,-,-,-,-,-,-,21,5,474,27,506
54,2020-11-09,Dane,13869,1320,652,141,-,-,2357,458,2665,14678,1454,18797
1,2020-11-09,Dodge,4042,447,48,49,-,-,447,807,609,3517,1714,5840
50,2020-11-09,Door,1045,6,8,-,-,-,27,118,82,987,137,1206
32,2020-11-09,Douglas,804,22,6,9,-,-,20,186,22,766,259,1047
41,2020-11-09,Dunn,1370,12,41,5,-,-,42,158,31,1378,219,1628
37,2020-11-09,Eau Claire,4400,95,156,20,-,-,137,323,137,4573,421,5131
46,2020-11-09,Florence,189,-,-,-,-,-,-,59,-,173,80,253
27,2020-11-09,Fond du Lac,5268,133,66,17,-,-,175,561,530,4699,991,6220
69,2020-11-09,Forest,432,-,-,121,-,-,5,23,-,532,48,582
14,2020-11-09,Grant,2045,12,9,-,-,-,72,326,96,1964,406,2466
51,2020-11-09,Green,1146,5,5,-,-,-,39,27,94,1066,64,1224
22,2020-11-09,Green Lake,822,6,-,5,-,-,38,57,92,721,115,928
60,2020-11-09,Iowa,717,5,-,-,-,-,14,20,24,701,36,761
6,2020-11-09,Iron,210,-,-,-,-,-,-,49,7,174,85,266
18,2020-11-09,Jackson,692,62,10,101,-,-,19,26,47,801,62,910
55,2020-11-09,Jefferson,2859,43,25,40,-,-,334,336,615,2527,495,3637
65,2020-11-09,Juneau,862,126,6,38,-,-,33,217,54,913,315,1282
2,2020-11-09,Kenosha,4644,516,80,15,-,-,516,747,1187,3727,1604,6518
10,2020-11-09,Kewaunee,1113,-,-,5,-,-,40,132,67,1014,216,1297
47,2020-11-09,La Crosse,4286,95,234,10,-,-,125,785,83,4288,1164,5535
38,2020-11-09,Lafayette,587,-,-,-,-,-,73,62,138,518,71,727
42,2020-11-09,Langlade,1087,7,-,8,-,-,19,103,25,600,599,1224
23,2020-11-09,Lincoln,1040,7,9,-,-,-,25,201,19,847,418,1284
19,2020-11-09,Manitowoc,3005,33,53,13,-,-,62,435,226,2764,611,3601
33,2020-11-09,Marathon,5660,74,390,25,-,-,138,571,267,3807,2784,6858
28,2020-11-09,Marinette,1968,11,10,8,-,-,77,141,42,1947,226,2215
61,2020-11-09,Marquette,784,-,-,-,-,-,29,25,66,611,165,842
56,2020-11-09,Menominee,21,-,-,371,-,-,9,6,-,382,23,409
3,2020-11-09,Milwaukee,26443,11347,1835,352,-,-,5670,4380,12777,29431,7819,50027
7,2020-11-09,Monroe,1435,15,12,27,-,-,70,48,151,1375,81,1607
39,2020-11-09,Oconto,2314,-,-,42,-,-,38,142,101,2219,220,2540
70,2020-11-09,Oneida,1202,5,-,15,-,-,22,357,18,1108,478,1604
66,2020-11-09,Outagamie,8560,123,222,292,-,-,541,1452,674,8323,2193,11190
20,2020-11-09,Ozaukee,2751,65,51,11,-,-,94,188,128,2608,424,3160
11,2020-11-09,Pepin,232,-,-,-,-,-,7,14,10,227,18,255
