,date,name,white,black,asian,american_indian,nh_pi,two_plus,other,race_unknown,hispanic,non-hispanic,eth_unknown,total_cases
0,2020-12-16,Adams,1072,8,7,7,-,-,36,82,63,920,229,1212
1,2020-12-16,Ashland,598,-,-,135,-,-,15,153,6,694,206,906
2,2020-12-16,Barron,3029,158,12,18,-,-,174,694,202,3228,655,4085
3,2020-12-16,Bayfield,564,-,-,91,-,-,21,167,7,610,230,847
4,2020-12-16,Brown,18676,889,694,1029,-,-,1757,1656,3672,18058,2971,24701
5,2020-12-16,Buffalo,873,8,-,-,-,-,14,20,23,869,25,917
6,2020-12-16,Burnett,780,-,-,48,-,-,14,79,9,819,97,925
7,2020-12-16,Calumet,3728,38,56,19,-,-,168,424,274,3365,794,4433
8,2020-12-16,Chippewa,4390,227,59,47,-,-,69,712,89,4527,888,5504
9,2020-12-16,Clark,1418,-,-,-,-,-,38,1083,261,1571,716,2548
10,2020-12-16,Columbia,3268,190,20,47,-,-,204,183,256,2819,837,3912
11,2020-12-16,Crawford,1214,175,11,10,-,-,34,35,46,1284,149,1479
12,2020-12-16,Dane,22392,2471,1152,248,-,-,3909,681,4796,23593,2464,30853
13,2020-12-16,Dodge,6994,924,75,90,-,-,624,1077,882,6340,2562,9784
14,2020-12-16,Door,1616,11,10,-,-,-,38,138,108,1522,187,1817
15,2020-12-16,Douglas,2209,36,16,27,-,-,49,374,44,2142,525,2711
16,2020-12-16,Dunn,2748,21,84,12,-,-,67,280,47,2777,388,3212
17,2020-12-16,Eau Claire,7392,129,302,25,-,-,201,551,229,7715,656,8600
18,2020-12-16,Florence,279,-,-,-,-,-,8,92,-,255,125,382
19,2020-12-16,Fond du Lac,8306,252,110,49,-,-,297,683,709,7491,1497,9697
20,2020-12-16,Forest,579,-,-,160,-,-,11,35,5,719,64,788
21,2020-12-16,Grant,3212,26,20,-,-,-,116,508,152,3046,687,3885
22,2020-12-16,Green,1920,8,7,-,-,-,66,39,127,1788,127,2042
23,2020-12-16,Green Lake,1165,6,-,6,-,-,47,78,109,1022,171,1302
24,2020-12-16,Iowa,1440,10,6,-,-,-,26,30,31,1408,75,1514
25,2020-12-16,Iron,321,-,-,5,-,-,6,67,8,272,121,401
26,2020-12-16,Jackson,1570,136,24,216,-,-,44,106,81,1861,154,2096
27,2020-12-16,Jefferson,4835,71,33,58,-,-,489,617,842,4304,957,6103
28,2020-12-16,Juneau,1480,177,16,57,-,-,57,431,81,1543,594,2218
29,2020-12-16,Kenosha,8150,782,145,30,-,-,884,1208,1780,6481,2938,11199
30,2020-12-16,Kewaunee,1654,8,-,8,-,-,40,175,75,1517,296,1888
31,2020-12-16,La Crosse,7475,152,406,24,-,-,193,1047,152,7539,1606,9297
32,2020-12-16,Lafayette,997,-,-,-,-,-,85,75,153,897,113,1163
33,2020-12-16,Langlade,1482,9,-,13,-,-,28,162,40,753,902,1695
34,2020-12-16,Lincoln,1771,14,12,6,-,-,36,388,33,1486,708,2227
35,2020-12-16,Manitowoc,4633,59,95,22,-,-,97,696,337,4258,1007,5602
36,2020-12-16,Marathon,9062,118,689,44,-,-,216,947,398,6498,4180,11076
37,2020-12-16,Marinette,3001,11,13,11,-,-,95,213,56,2910,378,3344
38,2020-12-16,Marquette,1024,9,-,-,-,-,38,33,81,775,252,1108
39,2020-12-16,Menominee,30,-,-,616,-,-,12,7,7,632,27,666
40,2020-12-16,Milwaukee,42812,17445,3103,560,-,-,8588,6148,18669,47785,12202,78656
41,2020-12-16,Monroe,2789,32,23,54,-,-,100,115,199,2728,186,3113
42,2020-12-16,Oconto,3253,-,6,55,-,-,50,173,120,3133,286,3539
43,2020-12-16,Oneida,1991,30,9,22,-,-,40,539,24,1912,695,2631
44,2020-12-16,Outagamie,11553,203,337,414,-,-,742,1857,871,11210,3025,15106
45,2020-12-16,Ozaukee,4991,100,83,17,-,-,150,372,192,4666,855,5713
46,2020-12-16,Pepin,542,-,-,-,-,-,14,30,15,538,35,588
47,2020-12-16,Pierce,2475,23,10,-,-,-,28,120,66,2369,223,2658
