,date,name,white,black,asian,american_indian,nh_pi,two_plus,other,race_unknown,hispanic,non-hispanic,eth_unknown,total_cases
58,2020-11-16,Adams,753,5,5,7,-,-,32,50,58,665,129,852
59,2020-11-16,Ashland,339,-,-,71,-,-,-,96,-,369,142,514
60,2020-11-16,Barron,2001,150,8,8,-,-,147,407,189,2126,406,2721
61,2020-11-16,Bayfield,347,-,-,60,-,-,15,120,5,379,159,543
62,2020-11-16,Brown,14677,763,512,812,-,-,1584,1517,3352,13966,2547,19865
67,2020-11-16,Buffalo,560,6,-,-,-,-,8,8,18,550,15,583
69,2020-11-16,Burnett,444,-,-,33,-,-,9,57,-,478,65,547
71,2020-11-16,Calumet,3024,34,46,12,-,-,132,338,225,2750,611,3586
22,2020-11-16,Chippewa,2910,134,30,27,-,-,32,447,71,2886,623,3580
9,2020-11-16,Clark,991,-,-,-,-,-,28,671,210,962,525,1697
10,2020-11-16,Columbia,2337,86,13,29,-,-,160,142,179,1992,596,2767
11,2020-11-16,Crawford,632,14,5,-,-,-,9,26,8,635,44,687
12,2020-11-16,Dane,16286,1602,772,174,-,-,2917,472,3360,17146,1717,22223
13,2020-11-16,Dodge,4723,533,56,56,-,-,485,925,687,4164,1927,6778
14,2020-11-16,Door,1226,7,9,-,-,-,29,123,91,1156,149,1396
15,2020-11-16,Douglas,1043,24,6,13,-,-,21,245,24,1000,328,1352
16,2020-11-16,Dunn,1755,15,47,7,-,-,47,192,39,1752,272,2063
17,2020-11-16,Eau Claire,5232,109,193,21,-,-,159,435,156,5463,530,6149
18,2020-11-16,Florence,204,-,-,-,-,-,-,63,-,187,85,273
19,2020-11-16,Fond du Lac,6022,180,75,27,-,-,198,594,581,5400,1115,7096
20,2020-11-16,Forest,478,-,-,134,-,-,8,24,-,593,49,645
38,2020-11-16,Grant,2424,15,12,-,-,-,85,394,122,2315,496,2933
39,2020-11-16,Green,1322,6,5,-,-,-,43,29,104,1225,78,1407
40,2020-11-16,Green Lake,947,6,-,5,-,-,40,64,97,830,135,1062
41,2020-11-16,Iowa,925,7,-,-,-,-,17,22,27,904,45,976
42,2020-11-16,Iron,239,-,-,-,-,-,-,52,7,199,93,299
43,2020-11-16,Jackson,956,68,13,148,-,-,26,51,52,1121,89,1262
44,2020-11-16,Jefferson,3393,54,27,44,-,-,373,388,674,3006,599,4279
47,2020-11-16,Juneau,1063,168,11,43,-,-,49,276,71,1143,396,1610
48,2020-11-16,Kenosha,5368,586,88,19,-,-,612,837,1313,4325,1872,7510
51,2020-11-16,Kewaunee,1238,-,-,7,-,-,41,142,71,1136,228,1435
53,2020-11-16,La Crosse,5060,115,277,11,-,-,139,847,94,5081,1274,6449
54,2020-11-16,Lafayette,771,-,-,-,-,-,80,68,145,685,94,924
55,2020-11-16,Langlade,1222,9,-,9,-,-,20,119,28,653,698,1379
56,2020-11-16,Lincoln,1255,10,12,-,-,-,26,255,22,1039,499,1560
57,2020-11-16,Manitowoc,3410,37,61,15,-,-,68,509,258,3127,715,4100
0,2020-11-16,Marathon,6716,92,463,30,-,-,169,730,308,4473,3419,8200
1,2020-11-16,Marinette,2258,11,10,10,-,-,88,148,46,2210,269,2525
2,2020-11-16,Marquette,868,-,-,-,-,-,32,27,74,668,190,932
3,2020-11-16,Menominee,28,-,-,450,-,-,10,7,5,464,28,497
4,2020-11-16,Milwaukee,30575,12447,2045,395,-,-,6333,4690,13950,33793,8742,56485
5,2020-11-16,Monroe,1743,19,17,29,-,-,80,71,160,1682,117,1959
6,2020-11-16,Oconto,2556,-,-,51,-,-,40,151,107,2459,238,2804
7,2020-11-16,Oneida,1442,28,5,18,-,-,27,404,20,1346,558,1924
21,2020-11-16,Outagamie,9392,146,244,326,-,-,583,1563,725,9117,2412,12254
63,2020-11-16,Ozaukee,3334,75,60,12,-,-,107,247,144,3123,568,3835
64,2020-11-16,Pepin,330,-,-,-,-,-,8,19,10,327,22,359
65,2020-11-16,Pierce,1393,18,8,-,-,-,10,84,46,1333,135,1514
66,2020-11-16,Polk,1418,-,-,21,-,-,17,122,20,1349,213,1582
68,2020-11-16,Portage,3518,41,168,8,-,-,118,216,224,3305,540,4069
70,2020-11-16,Price,265,-,-,-,-,-,-,308,-,235,346,582
23,2020-11-16,Racine,8527,1853,83,49,-,-,674,207,2273,8566,554,11393
24,2020-11-16,Richland,518,-,10,-,-,-,24,172,45,473,208,726
25,2020-11-16,Rock,6046,422,94,30,-,-,760,545,1241,5663,993,7897
26,2020-11-16,Rusk,282,-,-,-,-,-,7,324,12,306,299,617
28,2020-11-16,Sauk,2475,28,21,59,-,-,254,127,344,2380,240,2964
29,2020-11-16,Sawyer,448,-,-,103,-,-,20,82,5,529,126,660
30,2020-11-16,Shawano,2281,5,13,362,-,-,96,588,116,2301,928,3345
31,2020-11-16,Sheboygan,5255,487,281,44,-,-,280,878,769,4969,1487,7225
27,2020-11-16,St. Croix,2885,20,22,5,-,-,54,461,112,2746,589,3447
32,2020-11-16,Taylor,852,-,-,-,-,-,6,23,60,789,34,883
33,2020-11-16,Trempealeau,1434,13,10,-,-,-,106,178,302,1216,227,1745
34,2020-11-16,Vernon,803,-,-,-,-,-,9,37,13,784,58,855
35,2020-11-16,Vilas,690,-,-,98,-,-,19,179,13,729,248,990
36,2020-11-16,Walworth,3913,84,17,23,-,-,287,488,765,3330,717,4812
37,2020-11-16,Washburn,451,-,-,-,-,-,-,9,6,453,8,467
8,2020-11-16,Washington,6462,74,57,17,-,-,169,286,239,5170,1656,7065
45,2020-11-16,Waukesha,15843,350,286,54,-,-,816,1725,1230,13316,4528,19074
46,2020-11-16,Waupaca,2710,13,10,17,-,-,172,425,115,2509,723,3347
49,2020-11-16,Waushara,1295,110,11,20,-,-,91,74,229,1143,229,1601
50,2020-11-16,Winnebago,9718,522,300,84,-,-,504,752,665,9290,1925,11880
52,2020-11-16,Wood,2667,20,35,35,-,-,96,289,113,2509,520,3142
