,date,name,white,black,asian,american_indian,nh_pi,two_plus,other,race_unknown,hispanic,non-hispanic,eth_unknown,total_cases
0,2020-12-11,Adams,1037,7,7,7,-,-,36,77,63,894,214,1171
1,2020-12-11,Ashland,572,-,-,128,-,-,14,139,6,656,195,857
2,2020-12-11,Barron,2937,157,10,18,-,-,173,669,202,3129,633,3964
3,2020-12-11,Bayfield,526,-,-,87,-,-,21,161,7,574,218,799
4,2020-12-11,Brown,18222,871,652,992,-,-,1737,1646,3625,17563,2932,24120
5,2020-12-11,Buffalo,860,8,-,-,-,-,11,19,21,856,23,900
6,2020-12-11,Burnett,749,-,-,47,-,-,13,76,7,788,94,889
7,2020-12-11,Calumet,3638,37,56,19,-,-,159,410,266,3283,770,4319
8,2020-12-11,Chippewa,4284,227,57,46,-,-,68,691,88,4414,871,5373
9,2020-12-11,Clark,1385,-,-,-,-,-,37,1041,257,1508,706,2471
10,2020-12-11,Columbia,3172,189,20,46,-,-,203,183,251,2730,832,3813
11,2020-12-11,Crawford,1175,175,11,10,-,-,34,36,46,1249,146,1441
12,2020-12-11,Dane,21784,2382,1111,241,-,-,3835,679,4690,22962,2380,30032
13,2020-12-11,Dodge,6758,913,74,88,-,-,609,1061,861,6107,2535,9503
14,2020-12-11,Door,1571,11,10,-,-,-,38,137,108,1476,187,1771
15,2020-12-11,Douglas,2040,35,13,27,-,-,52,353,42,1972,506,2520
16,2020-12-11,Dunn,2647,21,82,10,-,-,67,274,47,2679,375,3101
17,2020-12-11,Eau Claire,7187,127,295,24,-,-,198,538,218,7501,650,8369
18,2020-12-11,Florence,271,-,-,-,-,-,7,92,-,246,124,372
19,2020-12-11,Fond du Lac,8083,244,107,48,-,-,288,676,699,7294,1453,9446
20,2020-12-11,Forest,572,-,-,158,-,-,11,33,5,709,63,777
21,2020-12-11,Grant,3136,24,19,-,-,-,116,494,148,2979,665,3792
22,2020-12-11,Green,1847,7,6,-,-,-,63,38,125,1717,121,1963
23,2020-12-11,Green Lake,1131,6,-,6,-,-,43,74,108,989,163,1260
24,2020-12-11,Iowa,1382,8,6,-,-,-,25,30,29,1350,74,1453
25,2020-12-11,Iron,320,-,-,5,-,-,6,65,8,270,120,398
26,2020-12-11,Jackson,1511,136,24,208,-,-,44,101,81,1793,150,2024
27,2020-12-11,Jefferson,4689,69,33,56,-,-,482,598,826,4175,926,5927
28,2020-12-11,Juneau,1429,176,16,54,-,-,56,413,77,1502,565,2144
29,2020-12-11,Kenosha,7768,757,132,29,-,-,846,1129,1720,6162,2779,10661
30,2020-12-11,Kewaunee,1586,6,-,8,-,-,40,164,75,1455,277,1807
31,2020-12-11,La Crosse,7276,149,391,18,-,-,188,993,145,7322,1548,9015
32,2020-12-11,Lafayette,976,-,-,-,-,-,84,74,152,877,111,1140
33,2020-12-11,Langlade,1440,9,-,12,-,-,28,149,39,740,860,1639
34,2020-12-11,Lincoln,1702,13,12,5,-,-,34,379,31,1432,682,2145
35,2020-12-11,Manitowoc,4478,54,89,20,-,-,98,678,331,4105,981,5417
36,2020-12-11,Marathon,8833,115,667,40,-,-,208,931,388,6253,4153,10794
37,2020-12-11,Marinette,2924,11,13,11,-,-,94,205,50,2842,366,3258
38,2020-12-11,Marquette,1007,9,-,-,-,-,36,33,81,763,245,1089
39,2020-12-11,Menominee,30,-,-,583,-,-,12,9,7,597,31,635
40,2020-12-11,Milwaukee,41252,16890,2960,544,-,-,8301,5904,18061,46066,11724,75851
41,2020-12-11,Monroe,2681,31,22,54,-,-,97,108,187,2627,179,2993
42,2020-12-11,Oconto,3178,-,6,55,-,-,48,170,118,3058,283,3459
43,2020-12-11,Oneida,1948,30,8,21,-,-,40,531,24,1866,688,2578
44,2020-12-11,Outagamie,11293,198,331,402,-,-,720,1822,850,10968,2948,14766
45,2020-12-11,Ozaukee,4749,96,81,16,-,-,144,356,185,4448,809,5442
46,2020-12-11,Pepin,517,-,-,-,-,-,14,29,15,514,33,562
47,2020-12-11,Pierce,2366,23,10,-,-,-,25,119,62,2269,214,2545
48,2020-12-11,Polk,2317,5,-,27,-,-,25,233,34,2106,470,2610
49,2020-12-11,Portage,4397,47,184,17,-,-,144,278,267,4135,665,5067
50,2020-12-11,Price,386,-,15,-,-,-,7,430,-,374,465,841
51,2020-12-11,Racine,11595,2397,134,82,-,-,914,330,2937,11615,900,15452
52,2020-12-11,Richland,695,-,11,-,-,-,33,219,58,634,269,961
53,2020-12-11,Rock,8139,555,133,37,-,-,970,624,1588,7728,1142,10458
54,2020-12-11,Rusk,454,7,-,-,-,-,7,529,17,589,395,1001
55,2020-12-11,Sauk,3358,39,27,80,-,-,311,176,446,3186,359,3991
56,2020-12-11,Sawyer,694,5,5,167,-,-,27,119,13,841,163,1017
57,2020-12-11,Shawano,2670,5,19,420,-,-,110,644,124,2669,1075,3868
58,2020-12-11,Sheboygan,7374,523,514,51,-,-,378,1170,993,6944,2073,10010
59,2020-12-11,St. Croix,4069,29,33,7,-,-,72,602,129,3863,820,4812
60,2020-12-11,Taylor,1351,-,-,-,-,-,8,72,62,1282,93,1437
61,2020-12-11,Trempealeau,2266,21,11,8,-,-,140,250,376,1973,347,2696
62,2020-12-11,Vernon,1230,-,6,-,-,-,15,53,25,1203,81,1309
63,2020-12-11,Vilas,971,-,-,163,-,-,24,248,16,1056,339,1411
64,2020-12-11,Walworth,5489,101,25,32,-,-,405,720,1032,4624,1116,6772
65,2020-12-11,Washburn,817,-,-,7,-,-,-,30,10,833,16,859
66,2020-12-11,Washington,9216,122,103,29,-,-,229,408,314,7169,2624,10107
67,2020-12-11,Waukesha,25017,526,480,78,-,-,1255,2481,1919,20727,7191,29837
68,2020-12-11,Waupaca,3123,16,11,24,-,-,198,492,124,2881,859,3864
69,2020-12-11,Waushara,1478,114,12,22,-,-,96,88,266,1282,262,1810
70,2020-12-11,Winnebago,11590,615,374,101,-,-,583,834,765,11053,2279,14097
71,2020-12-11,Wood,4070,29,72,44,-,-,133,557,199,3936,770,4905
