,date,name,white,black,asian,american_indian,nh_pi,two_plus,other,race_unknown,hispanic,non-hispanic,eth_unknown,total_cases
0,2020-12-23,Adams,1121,9,7,7,-,-,36,90,63,956,251,1270
1,2020-12-23,Ashland,630,-,-,142,-,-,17,170,6,740,218,964
2,2020-12-23,Barron,3196,161,14,23,-,-,179,735,210,3403,695,4308
3,2020-12-23,Bayfield,599,-,-,92,-,-,23,171,7,648,235,890
4,2020-12-23,Brown,19304,903,727,1054,-,-,1773,1688,3726,18678,3045,25449
5,2020-12-23,Buffalo,899,8,-,-,-,-,17,20,24,893,29,946
6,2020-12-23,Burnett,817,-,-,49,-,-,15,82,10,856,102,968
7,2020-12-23,Calumet,3832,38,56,20,-,-,169,437,283,3455,814,4552
8,2020-12-23,Chippewa,4538,230,62,47,-,-,72,741,91,4682,917,5690
9,2020-12-23,Clark,1493,-,-,-,-,-,40,1147,267,1669,753,2689
10,2020-12-23,Columbia,3401,190,20,47,-,-,206,191,263,2926,866,4055
11,2020-12-23,Crawford,1260,175,11,10,-,-,34,35,46,1329,150,1525
12,2020-12-23,Dane,23394,2581,1204,258,-,-,3978,590,4981,24669,2355,32005
13,2020-12-23,Dodge,7284,950,79,91,-,-,628,1092,907,6629,2588,10124
14,2020-12-23,Door,1719,11,10,-,-,-,39,141,111,1615,198,1924
15,2020-12-23,Douglas,2385,38,19,29,-,-,55,396,47,2323,552,2922
16,2020-12-23,Dunn,2878,23,86,13,-,-,76,287,53,2908,402,3363
17,2020-12-23,Eau Claire,7653,136,321,26,-,-,209,563,241,7991,676,8908
18,2020-12-23,Florence,281,-,-,-,-,-,8,99,-,257,132,391
19,2020-12-23,Fond du Lac,8635,267,111,50,-,-,303,689,729,7778,1548,10055
20,2020-12-23,Forest,599,-,-,166,-,-,11,36,5,745,66,816
21,2020-12-23,Grant,3303,26,23,-,-,-,119,525,157,3134,708,3999
22,2020-12-23,Green,2064,11,7,-,-,-,67,40,130,1930,132,2192
23,2020-12-23,Green Lake,1220,6,-,6,-,-,51,81,113,1069,182,1364
24,2020-12-23,Iowa,1541,12,6,-,-,-,25,30,37,1502,77,1616
25,2020-12-23,Iron,330,-,-,5,-,-,6,66,8,281,120,409
26,2020-12-23,Jackson,1706,171,25,230,-,-,51,112,92,2041,162,2295
27,2020-12-23,Jefferson,5027,72,35,61,-,-,503,643,866,4467,1008,6341
28,2020-12-23,Juneau,1570,181,16,59,-,-,58,472,81,1634,641,2356
29,2020-12-23,Kenosha,8545,817,153,30,-,-,903,1329,1831,6803,3143,11777
30,2020-12-23,Kewaunee,1739,8,5,8,-,-,40,183,76,1601,306,1983
31,2020-12-23,La Crosse,7807,156,421,28,-,-,202,1069,158,7875,1650,9683
32,2020-12-23,Lafayette,1033,-,-,-,-,-,88,77,156,930,119,1205
33,2020-12-23,Langlade,1528,9,-,13,-,-,29,167,40,764,944,1748
34,2020-12-23,Lincoln,1861,16,13,6,-,-,37,413,34,1565,747,2346
35,2020-12-23,Manitowoc,4851,64,99,22,-,-,101,713,352,4473,1025,5850
36,2020-12-23,Marathon,9403,122,726,45,-,-,223,968,406,6837,4244,11487
