health_district_or_health,White,Black,Asian or Pacific Islander,Native American,Native_Hawaiian,Two or more races,Other Race,Not Reported,Latino,Not_latino,Not_reported,total_cases
Alexandria,850,877,158,4,-,28,96,278,1939,-,-,4230.0
Alleghany,1414,179,30,,-,20,18,733,184,-,-,2582.0
Arlington,1385,461,229,5,-,49,109,435,1889,-,-,4562.0
Central Shenandoah,3958,279,86,4,-,53,96,994,1240,-,-,6710.0
Central Virginia,1934,458,31,9,-,22,33,2106,97,-,-,4690.0
Chesapeake,1735,1925,94,12,-,60,57,614,383,-,-,4880.0
Chesterfield,2215,1509,114,8,-,55,176,1538,2028,-,-,7643.0
Chickahominy,1220,413,19,6,-,8,23,527,108,-,-,2324.0
Crater,1084,2444,27,6,-,13,65,1108,234,-,-,4981.0
Cumberland Plateau,1157,52,,,-,10,5,124,14,-,-,1366.0
Eastern Shore,292,865,,,-,1,13,80,273,-,-,1529.0
Fairfax,4997,1924,2096,36,-,139,929,2650,10924,-,-,23695.0
Hampton,331,962,18,4,-,19,70,619,79,-,-,2102.0
Henrico,1799,1998,249,12,-,90,205,950,946,-,-,6249.0
Lenowisco,1225,22,,,-,16,10,184,25,-,-,1483.0
Lord Fairfax,2269,163,20,3,-,26,87,453,865,-,-,3886.0
Loudoun,1962,357,526,6,-,62,273,1977,2621,-,-,7784.0
Mount Rogers,3038,87,7,,-,12,14,214,310,-,-,3682.0
New River,2606,269,118,5,-,69,18,997,246,-,-,4328.0
Norfolk,1062,2578,73,9,-,60,98,1059,392,-,-,5331.0
Peninsula,1301,1364,65,7,-,61,181,1653,432,-,-,5064.0
Piedmont,791,668,10,5,-,8,16,871,76,-,-,2445.0
Pittsylvania-Danville,792,787,4,,-,7,5,767,86,-,-,2448.0
Portsmouth,416,1712,21,4,-,22,63,488,93,-,-,2819.0
Prince William,2112,1691,669,30,-,120,578,4407,7082,-,-,16689.0
Rappahannock,1783,1006,101,6,-,48,145,1480,1448,-,-,6017.0
Rappahannock Rapidan,1063,310,18,2,-,40,40,708,878,-,-,3059.0
Richmond,998,1823,61,3,-,49,178,754,1419,-,-,5285.0
Roanoke,686,579,42,,-,16,30,879,462,-,-,2695.0
Southside,450,589,2,,-,48,15,687,9,-,-,1800.0
Thomas Jefferson,2276,598,118,4,-,90,179,379,746,-,-,4390.0
Three Rivers,922,781,,,-,13,24,285,195,-,-,2232.0
Virginia Beach,2904,1881,318,13,-,81,129,1977,530,-,-,7833.0
West Piedmont,1375,564,13,2,-,9,12,645,291,-,-,2911.0
Western Tidewater,1205,2024,21,2,-,89,97,1057,56,-,-,4551.0
