health_district_or_health,White,Black,Asian or Pacific Islander,Native American,Native_Hawaiian,Two or more races,Other Race,Not Reported,Latino,Not_latino,Not_reported,total_cases
Alexandria,862,887,160,4,-,29,97,270,1960,-,-,4269.0
Alleghany,1480,188,30,,-,20,23,743,189,-,-,2677.0
Arlington,1403,468,234,5,-,49,111,453,1907,-,-,4630.0
Central Shenandoah,4026,281,87,4,-,55,96,1024,1248,-,-,6821.0
Central Virginia,2004,475,33,9,-,23,33,2177,98,-,-,4852.0
Chesapeake,1748,1935,95,12,-,63,58,621,389,-,-,4921.0
Chesterfield,2265,1531,114,8,-,57,181,1527,2049,-,-,7732.0
Chickahominy,1239,423,19,6,-,8,24,534,109,-,-,2362.0
Crater,1102,2476,27,6,-,13,67,1107,236,-,-,5034.0
Cumberland Plateau,1192,58,,,-,10,6,126,14,-,-,1410.0
Eastern Shore,293,869,,,-,1,13,79,273,-,-,1533.0
Fairfax,5065,1941,2113,36,-,144,941,2627,11015,-,-,23882.0
Hampton,335,970,18,4,-,19,70,624,85,-,-,2125.0
Henrico,1839,2014,251,12,-,94,207,962,963,-,-,6342.0
Lenowisco,1300,23,,,-,17,10,198,28,-,-,1577.0
Lord Fairfax,2331,165,20,3,-,26,87,465,869,-,-,3966.0
Loudoun,1995,366,535,6,-,66,267,1980,2661,-,-,7876.0
Mount Rogers,3098,89,7,,-,13,14,214,312,-,-,3747.0
New River,2660,272,119,5,-,74,19,1005,250,-,-,4404.0
Norfolk,1074,2598,75,9,-,60,99,1077,403,-,-,5395.0
Peninsula,1323,1381,66,7,-,64,183,1652,440,-,-,5116.0
Piedmont,818,689,11,5,-,8,15,867,76,-,-,2489.0
Pittsylvania-Danville,812,815,4,,-,7,5,774,90,-,-,2508.0
Portsmouth,426,1752,21,4,-,23,64,451,97,-,-,2838.0
Prince William,2170,1734,679,31,-,126,603,4408,7177,-,-,16928.0
Rappahannock,1810,1016,102,6,-,50,147,1519,1458,-,-,6108.0
Rappahannock Rapidan,1073,313,18,2,-,43,40,709,882,-,-,3080.0
Richmond,1024,1847,62,3,-,49,180,762,1428,-,-,5355.0
Roanoke,717,593,44,,-,16,31,897,472,-,-,2771.0
Southside,465,610,2,,-,50,16,673,9,-,-,1825.0
Thomas Jefferson,2313,605,121,5,-,92,182,369,751,-,-,4438.0
Three Rivers,937,783,,,-,13,26,288,194,-,-,2251.0
Virginia Beach,2938,1893,321,13,-,84,131,2008,538,-,-,7926.0
West Piedmont,1402,572,13,2,-,9,12,672,293,-,-,2975.0
Western Tidewater,1230,2048,22,2,-,89,99,1044,57,-,-,4591.0
