health_district_or_health,White,Black,Asian or Pacific Islander,Native American,Native_Hawaiian,Two or more races,Other Race,Not Reported,Latino,Not_latino,Not_reported,total_cases
Alexandria,855,884,159,4,-,28,97,269,1952,-,-,4248.0
Alleghany,1456,184,30,,-,20,23,744,186,-,-,2647.0
Arlington,1392,465,231,5,-,49,110,439,1895,-,-,4586.0
Central Shenandoah,3990,280,86,4,-,54,97,1014,1243,-,-,6768.0
Central Virginia,1968,463,32,9,-,23,33,2116,97,-,-,4741.0
Chesapeake,1743,1930,94,12,-,61,58,621,386,-,-,4905.0
Chesterfield,2244,1522,114,8,-,55,180,1512,2041,-,-,7676.0
Chickahominy,1229,418,19,6,-,8,23,526,109,-,-,2338.0
Crater,1092,2472,27,6,-,13,67,1104,236,-,-,5017.0
Cumberland Plateau,1177,57,,,-,10,6,124,14,-,-,1392.0
Eastern Shore,292,866,,,-,1,13,80,273,-,-,1530.0
Fairfax,5027,1935,2103,36,-,141,942,2613,10972,-,-,23769.0
Hampton,331,966,18,4,-,19,71,616,84,-,-,2109.0
Henrico,1809,2004,250,12,-,89,205,966,959,-,-,6294.0
Lenowisco,1250,23,,,-,16,10,190,25,-,-,1515.0
Lord Fairfax,2295,164,20,3,-,26,87,454,867,-,-,3916.0
Loudoun,1979,360,530,6,-,63,273,1964,2642,-,-,7817.0
Mount Rogers,3070,88,7,,-,13,14,211,310,-,-,3713.0
New River,2630,269,118,5,-,71,18,994,250,-,-,4355.0
Norfolk,1071,2588,74,9,-,60,99,1071,397,-,-,5369.0
Peninsula,1313,1371,65,7,-,62,183,1645,439,-,-,5085.0
Piedmont,808,678,11,5,-,8,16,873,76,-,-,2475.0
Pittsylvania-Danville,797,797,4,,-,7,5,770,88,-,-,2468.0
Portsmouth,420,1729,21,4,-,22,64,471,93,-,-,2824.0
Prince William,2149,1724,674,31,-,125,609,4403,7134,-,-,16849.0
Rappahannock,1791,1011,102,6,-,49,147,1493,1454,-,-,6053.0
Rappahannock Rapidan,1063,311,18,2,-,41,40,707,878,-,-,3060.0
Richmond,1009,1837,62,3,-,49,180,755,1425,-,-,5320.0
Roanoke,700,587,43,,-,16,31,888,464,-,-,2730.0
Southside,461,600,2,,-,48,16,671,9,-,-,1807.0
Thomas Jefferson,2290,601,119,4,-,91,180,373,749,-,-,4407.0
Three Rivers,925,783,,,-,13,25,283,195,-,-,2236.0
Virginia Beach,2922,1891,319,13,-,83,129,1991,533,-,-,7881.0
West Piedmont,1397,568,13,2,-,9,12,645,293,-,-,2939.0
Western Tidewater,1224,2040,22,2,-,89,97,1040,56,-,-,4570.0
