health_district_or_health,White,Black,Asian or Pacific Islander,Native American,Native_Hawaiian,Two or more races,Other Race,Not Reported,Latino,Not_latino,Not_reported,total_cases
Alexandria,894,898,162,4,-,29,108,259,1983,-,-,4337.0
Alleghany,1615,204,37,,-,20,26,826,193,-,-,2926.0
Arlington,1442,469,236,5,-,53,113,461,1935,-,-,4714.0
Central Shenandoah,4144,284,90,4,-,58,98,1068,1258,-,-,7004.0
Central Virginia,2137,484,34,9,-,24,32,2260,104,-,-,5084.0
Chesapeake,1802,1957,97,12,-,63,59,625,395,-,-,5010.0
Chesterfield,2340,1569,118,9,-,58,180,1541,2096,-,-,7911.0
Chickahominy,1289,429,20,7,-,8,25,557,109,-,-,2444.0
Crater,1130,2517,30,7,-,13,67,1130,246,-,-,5140.0
Cumberland Plateau,1274,58,,,-,10,6,133,15,-,-,1500.0
Eastern Shore,300,870,,,-,1,13,79,275,-,-,1543.0
Fairfax,5186,1991,2167,36,-,145,960,2693,11165,-,-,24343.0
Hampton,355,989,19,3,-,18,71,622,86,-,-,2163.0
Henrico,1875,2042,258,12,-,96,211,997,981,-,-,6472.0
Lenowisco,1414,28,,,-,21,12,218,32,-,-,1726.0
Lord Fairfax,2399,170,20,3,-,26,90,474,881,-,-,4063.0
Loudoun,2041,373,542,6,-,65,273,1993,2688,-,-,7981.0
Mount Rogers,3241,90,7,,-,13,16,245,316,-,-,3928.0
New River,2798,274,123,5,-,95,20,1040,253,-,-,4608.0
Norfolk,1110,2610,77,9,-,60,102,1108,417,-,-,5493.0
Peninsula,1361,1409,68,7,-,67,183,1673,447,-,-,5215.0
Piedmont,849,706,12,5,-,8,15,869,79,-,-,2543.0
Pittsylvania-Danville,848,847,4,,-,7,6,796,95,-,-,2604.0
Portsmouth,437,1763,21,4,-,23,64,453,98,-,-,2863.0
Prince William,2247,1781,692,30,-,133,622,4423,7302,-,-,17230.0
Rappahannock,1872,1045,107,6,-,54,155,1539,1490,-,-,6268.0
Rappahannock Rapidan,1119,317,18,2,-,42,40,715,887,-,-,3140.0
Richmond,1039,1878,63,3,-,49,178,761,1444,-,-,5415.0
Roanoke,773,621,44,,-,17,33,942,489,-,-,2920.0
Southside,483,623,3,,-,57,16,684,9,-,-,1875.0
Thomas Jefferson,2352,615,132,5,-,99,181,370,756,-,-,4510.0
Three Rivers,957,794,,,-,13,27,294,196,-,-,2292.0
Virginia Beach,3024,1927,329,13,-,89,134,2042,561,-,-,8119.0
West Piedmont,1482,591,13,2,-,13,11,726,298,-,-,3136.0
Western Tidewater,1265,2086,22,3,-,91,101,1044,58,-,-,4670.0
