County_name,date,white,black,asian,american_indian,nh_pi,two_plus,other,unknown_race,hispanic,non-hispanic,unknown_ethnicity,total
Alachua County,2020-11-04,5671,2387,-,-,-,-,1146,1615,1418,7560,1841,10819
Baker County,2020-11-04,983,240,-,-,-,-,59,538,20,1135,665,1820
Bay County,2020-11-04,4071,677,-,-,-,-,878,1161,529,4720,1538,6787
Bradford County,2020-11-04,845,290,-,-,-,-,58,52,34,1161,50,1245
Brevard County,2020-11-04,6616,1333,-,-,-,-,999,3188,1319,7083,3734,12136
Broward County,2020-11-04,39035,21939,-,-,-,-,12798,13797,33864,40624,13081,87569
Calhoun County,2020-11-04,489,107,-,-,-,-,55,81,29,595,108,732
Charlotte County,2020-11-04,2928,239,-,-,-,-,330,340,303,3039,495,3837
Citrus County,2020-11-04,2712,189,-,-,-,-,241,213,169,2867,319,3355
Clay County,2020-11-04,3813,902,-,-,-,-,509,1099,579,4541,1203,6323
Collier County,2020-11-04,7836,851,-,-,-,-,1620,4404,5487,4942,4282,14711
Columbia County,2020-11-04,2667,1256,-,-,-,-,190,211,264,3784,276,4324
Dade County,2020-11-04,81655,16222,-,-,-,-,26089,63872,94798,28020,65020,187838
Desoto County,2020-11-04,1048,181,-,-,-,-,135,332,752,561,383,1696
Dixie County,2020-11-04,674,187,-,-,-,-,30,21,55,820,37,912
Duval County,2020-11-04,11206,11034,-,-,-,-,4155,9225,3061,21517,11042,35620
Escambia County,2020-11-04,5147,2657,-,-,-,-,1514,3176,428,8412,3654,12494
Flagler County,2020-11-04,1321,312,-,-,-,-,382,192,301,1672,234,2207
Franklin County,2020-11-04,510,232,-,-,-,-,22,21,67,641,77,785
Gadsden County,2020-11-04,925,1298,-,-,-,-,578,265,583,2086,397,3066
Gilchrist County,2020-11-04,468,40,-,-,-,-,32,80,84,450,86,620
Glades County,2020-11-04,446,114,-,-,-,-,35,27,238,353,31,622
Gulf County,2020-11-04,636,281,-,-,-,-,16,20,42,861,50,953
Hamilton County,2020-11-04,404,433,-,-,-,-,61,12,117,660,133,910
Hardee County,2020-11-04,1163,130,-,-,-,-,228,105,960,546,120,1626
Hendry County,2020-11-04,1779,262,-,-,-,-,108,122,1484,690,97,2271
Hernando County,2020-11-04,2998,317,-,-,-,-,502,27,681,3114,49,3844
Highlands County,2020-11-04,1679,374,-,-,-,-,423,312,734,1648,406,2788
Hillsborough County,2020-11-04,19057,6289,-,-,-,-,7089,16656,12678,17643,18770,49091
Holmes County,2020-11-04,723,88,-,-,-,-,55,74,35,783,122,940
Indian River County,2020-11-04,2323,453,-,-,-,-,378,826,772,2238,970,3980
Jackson County,2020-11-04,1509,619,-,-,-,-,148,908,114,1673,1397,3184
Jefferson County,2020-11-04,284,334,-,-,-,-,42,16,33,596,47,676
Lafayette County,2020-11-04,876,350,-,-,-,-,40,21,156,1048,83,1287
Lake County,2020-11-04,3786,1065,-,-,-,-,1721,2313,1486,4773,2626,8885
