,date,county,black,white,ai_an,nh_pi,two_plus,other,race_unknown,hispanic,non-hispanic,eth_unknown,total
0,2020-12-02,GILCHRIST,59,595,-,-,-,38,90,91,595,96,1659
1,2020-12-02,PUTNAM,706,1761,-,-,-,275,65,521,2199,87,6633
2,2020-12-02,TAYLOR,589,910,-,-,-,83,74,133,1415,108,2929
3,2020-12-02,OKALOOSA,722,4615,-,-,-,1595,2203,827,6158,2150,18149
4,2020-12-02,CALHOUN,115,604,-,-,-,75,89,30,723,130,1703
5,2020-12-02,PALM BEACH,9403,29424,-,-,-,11030,15797,17512,31018,17124,134612
6,2020-12-02,ST. LUCIE,2334,5067,-,-,-,1462,2059,2466,5936,2520,23648
7,2020-12-02,PASCO,943,10906,-,-,-,1961,1295,3227,10262,1616,32277
8,2020-12-02,GADSDEN,1427,1015,-,-,-,634,266,646,2284,412,6287
9,2020-12-02,LEON,4214,6230,-,-,-,1930,2542,1397,9412,4107,29526
10,2020-12-02,JEFFERSON,376,328,-,-,-,46,22,38,679,55,1523
11,2020-12-02,MADISON,714,443,-,-,-,62,40,62,1089,108,2588
12,2020-12-02,LIBERTY,126,424,-,-,-,32,28,32,454,124,2683
13,2020-12-02,HAMILTON,444,462,-,-,-,65,18,120,732,137,2743
14,2020-12-02,BAY,788,5165,-,-,-,993,1445,613,5916,1862,12399
15,2020-12-02,COLUMBIA,1374,2984,-,-,-,219,247,281,4169,374,8071
16,2020-12-02,BAKER,266,1150,-,-,-,69,567,22,1311,719,3408
17,2020-12-02,HOLMES,93,915,-,-,-,71,100,39,974,166,2246
18,2020-12-02,MARTIN,304,3121,-,-,-,1232,1631,1955,2831,1502,13741
19,2020-12-02,HILLSBOROUGH,7304,24018,-,-,-,8484,19021,15579,22866,20382,114779
20,2020-12-02,MANATEE,1523,9533,-,-,-,2500,3380,4423,8882,3631,32245
21,2020-12-02,CLAY,1103,4976,-,-,-,630,1465,715,5697,1762,17664
22,2020-12-02,HARDEE,135,1268,-,-,-,246,122,1025,610,136,3293
23,2020-12-02,MARION,2242,8906,-,-,-,1087,1005,1811,10028,1401,32817
24,2020-12-02,VOLUSIA,1922,8853,-,-,-,3039,2758,2602,9951,4019,38214
25,2020-12-02,DIXIE,189,721,-,-,-,33,22,55,874,36,1883
26,2020-12-02,LAKE,1171,4956,-,-,-,1934,2643,1821,5967,2916,26637
27,2020-12-02,LEVY,237,885,-,-,-,194,108,249,1035,140,3572
28,2020-12-02,SUMTER,515,1899,-,-,-,175,927,168,2130,1218,7565
29,2020-12-02,SEMINOLE,1519,8304,-,-,-,1812,1485,3378,8365,1377,30823
30,2020-12-02,ORANGE,8695,21926,-,-,-,12134,16057,18257,21506,19049,117154
31,2020-12-02,CITRUS,243,3951,-,-,-,319,360,263,4099,511,10905
32,2020-12-02,HERNANDO,363,3908,-,-,-,656,153,877,3920,283,10484
33,2020-12-02,PINELLAS,4913,21822,-,-,-,2977,3272,3749,22840,6395,68939
34,2020-12-02,SUWANNEE,639,2042,-,-,-,457,152,550,2519,221,5442
35,2020-12-02,DUVAL,13040,15293,-,-,-,5008,10956,3700,26354,14243,94050
36,2020-12-02,LAFAYETTE,350,917,-,-,-,43,22,160,1088,84,1675
37,2020-12-02,GULF,290,730,-,-,-,20,24,43,967,54,1988
38,2020-12-02,UNION,326,857,-,-,-,38,19,39,1186,15,2500
39,2020-12-02,BRADFORD,313,990,-,-,-,63,58,37,1326,61,3136
40,2020-12-02,WAKULLA,264,1189,-,-,-,110,95,68,1446,144,3704
41,2020-12-02,BREVARD,1583,8239,-,-,-,1232,4769,1652,9016,5155,34921
42,2020-12-02,POLK,4589,17197,-,-,-,2735,3414,9037,14995,3903,47488
43,2020-12-02,OSCEOLA,1118,7500,-,-,-,5800,4191,10541,4312,3756,33167
44,2020-12-02,HIGHLANDS,427,2418,-,-,-,507,467,887,2354,578,8195
45,2020-12-02,LEE,2626,15914,-,-,-,2085,9527,6484,13844,9824,56986
46,2020-12-02,COLLIER,948,9832,-,-,-,1871,5085,6143,6728,4865,33375
47,2020-12-02,DADE,18663,110952,-,-,-,34222,67674,128031,37438,66042,376855
48,2020-12-02,MONROE,231,2481,-,-,-,122,488,1081,1656,585,8577
49,2020-12-02,SANTA ROSA,664,5421,-,-,-,440,1037,311,6075,1176,15690
50,2020-12-02,WALTON,274,2235,-,-,-,149,736,410,2227,757,5863
51,2020-12-02,JACKSON,737,1983,-,-,-,195,965,128,2300,1452,6924
52,2020-12-02,WASHINGTON,307,995,-,-,-,73,162,47,1082,408,2660
53,2020-12-02,NASSAU,259,2456,-,-,-,124,184,117,2614,292,7331
54,2020-12-02,GLADES,120,491,-,-,-,36,31,249,394,35,943
55,2020-12-02,CHARLOTTE,310,3846,-,-,-,396,622,356,3942,876,10310
56,2020-12-02,SARASOTA,865,8748,-,-,-,1260,2853,1794,8167,3765,28754
57,2020-12-02,DESOTO,217,1338,-,-,-,154,715,856,772,796,4521
58,2020-12-02,FLAGLER,368,1684,-,-,-,449,261,359,2082,321,7361
59,2020-12-02,HENDRY,305,1951,-,-,-,123,151,1582,822,126,4843
60,2020-12-02,INDIAN RIVER,521,3216,-,-,-,409,887,1009,3007,1017,12133
61,2020-12-02,BROWARD,25085,51648,-,-,-,15915,15600,41962,50632,15654,226711
62,2020-12-02,ESCAMBIA,3068,6674,-,-,-,1825,3599,498,10455,4213,32995
63,2020-12-02,OKEECHOBEE,235,1482,-,-,-,221,110,771,1168,109,3934
64,2020-12-02,FRANKLIN,233,545,-,-,-,22,21,68,676,77,1693
65,2020-12-02,ALACHUA,2909,6932,-,-,-,1345,1705,1700,9274,1917,28024
66,2020-12-02,ST. JOHNS,598,6495,-,-,-,602,1237,703,6661,1568,23056
