,date,county,black,white,ai_an,nh_pi,two_plus,other,race_unknown,hispanic,non-hispanic,eth_unknown,total
0,2021-01-04,GILCHRIST,80,805,-,-,-,46,108,104,814,121,1938
1,2021-01-04,PUTNAM,953,2702,-,-,-,355,127,628,3305,204,8127
2,2021-01-04,TAYLOR,620,1186,-,-,-,92,116,136,1703,175,3398
3,2021-01-04,OKALOOSA,1035,7155,-,-,-,1911,2975,1082,8938,3056,23212
4,2021-01-04,CALHOUN,146,822,-,-,-,193,115,33,1037,206,2199
5,2021-01-04,PALM BEACH,11641,40047,-,-,-,14197,18330,22361,40709,21145,156456
6,2021-01-04,ST. LUCIE,3000,7134,-,-,-,1989,2714,3446,8080,3311,28313
7,2021-01-04,PASCO,1332,16009,-,-,-,2775,2544,4465,14706,3489,41145
8,2021-01-04,GADSDEN,1874,1208,-,-,-,714,297,723,2941,429,7145
9,2021-01-04,LEON,5961,8504,-,-,-,2381,2625,1754,13532,4185,34866
10,2021-01-04,JEFFERSON,455,466,-,-,-,59,36,42,890,84,1877
11,2021-01-04,MADISON,799,629,-,-,-,76,50,81,1324,149,3012
12,2021-01-04,LIBERTY,142,546,-,-,-,41,35,36,593,135,2875
13,2021-01-04,HAMILTON,553,620,-,-,-,82,30,144,985,156,3155
14,2021-01-04,BAY,990,7191,-,-,-,1181,2403,804,8088,2873,16262
15,2021-01-04,COLUMBIA,1625,3915,-,-,-,270,331,343,5266,532,9754
16,2021-01-04,BAKER,304,1508,-,-,-,92,629,31,1657,845,4092
17,2021-01-04,HOLMES,105,1347,-,-,-,96,158,47,1387,272,2889
18,2021-01-04,MARTIN,382,4127,-,-,-,1319,2090,2072,3740,2106,15923
19,2021-01-04,HILLSBOROUGH,9584,35110,-,-,-,12490,22105,22175,32181,24933,138373
20,2021-01-04,MANATEE,1984,13353,-,-,-,3511,3680,5477,12013,5038,38427
21,2021-01-04,CLAY,1513,7332,-,-,-,838,2079,962,7841,2959,21543
22,2021-01-04,HARDEE,142,1531,-,-,-,289,186,1160,764,224,3771
23,2021-01-04,MARION,2776,12487,-,-,-,1419,1805,2622,13416,2449,38666
24,2021-01-04,VOLUSIA,2492,12878,-,-,-,3789,3570,3317,13172,6240,45330
25,2021-01-04,DIXIE,218,869,-,-,-,36,28,59,1045,47,2094
26,2021-01-04,LAKE,1689,7947,-,-,-,2636,3792,2711,9093,4260,32270
27,2021-01-04,LEVY,313,1245,-,-,-,225,145,300,1446,182,4185
28,2021-01-04,SUMTER,568,3083,-,-,-,263,1393,259,3292,1756,9539
29,2021-01-04,SEMINOLE,2044,11203,-,-,-,2538,2796,4526,10897,3158,37311
30,2021-01-04,ORANGE,11378,31834,-,-,-,17084,18001,26507,29916,21874,136717
31,2021-01-04,CITRUS,298,5555,-,-,-,448,555,368,5649,839,13363
32,2021-01-04,HERNANDO,471,6073,-,-,-,983,96,1344,6136,143,13840
33,2021-01-04,PINELLAS,6111,30407,-,-,-,3897,5368,5057,30522,10204,82153
34,2021-01-04,SUWANNEE,703,2749,-,-,-,519,164,628,3196,311,6424
35,2021-01-04,DUVAL,17787,24488,-,-,-,7049,13425,4858,35694,22197,113052
36,2021-01-04,LAFAYETTE,364,1001,-,-,-,43,28,163,1180,93,1812
37,2021-01-04,GULF,306,975,-,-,-,24,36,45,1228,68,2285
38,2021-01-04,UNION,354,1042,-,-,-,40,44,43,1395,42,2804
39,2021-01-04,BRADFORD,550,1493,-,-,-,110,74,59,2038,130,4096
40,2021-01-04,WAKULLA,346,1595,-,-,-,134,110,80,1934,171,4379
41,2021-01-04,BREVARD,2004,11210,-,-,-,2004,6152,2293,12057,7020,40600
42,2021-01-04,POLK,5755,24490,-,-,-,3844,4501,11987,21177,5426,59083
43,2021-01-04,OSCEOLA,1610,11258,-,-,-,8200,4711,15200,6162,4417,41417
44,2021-01-04,HIGHLANDS,508,3248,-,-,-,644,682,1158,3127,797,9674
45,2021-01-04,LEE,3323,23459,-,-,-,3739,10199,9302,20788,10630,69712
46,2021-01-04,COLLIER,1188,13150,-,-,-,2442,5694,7558,9447,5469,38958
47,2021-01-04,DADE,23126,157909,-,-,-,50797,70333,182170,50671,69324,449591
48,2021-01-04,MONROE,267,3166,-,-,-,163,556,1313,2181,658,9721
49,2021-01-04,SANTA ROSA,822,8364,-,-,-,607,1716,432,9100,1977,19983
50,2021-01-04,WALTON,312,3049,-,-,-,203,998,465,3050,1047,7234
51,2021-01-04,JACKSON,876,2540,-,-,-,228,1052,139,3015,1542,7800
52,2021-01-04,WASHINGTON,348,1362,-,-,-,95,206,57,1474,480,3196
53,2021-01-04,NASSAU,317,3884,-,-,-,178,340,164,3910,645,9560
54,2021-01-04,GLADES,130,562,-,-,-,43,44,280,450,49,1083
55,2021-01-04,CHARLOTTE,443,5642,-,-,-,528,1026,539,5565,1535,12969
56,2021-01-04,SARASOTA,1106,12819,-,-,-,1565,3120,2302,11152,5156,34981
57,2021-01-04,DESOTO,243,1735,-,-,-,188,766,975,1087,870,5180
58,2021-01-04,FLAGLER,477,2412,-,-,-,559,442,514,2830,546,8859
59,2021-01-04,HENDRY,389,2494,-,-,-,220,274,2000,1140,237,6005
60,2021-01-04,INDIAN RIVER,711,4836,-,-,-,588,1057,1470,4482,1240,14604
61,2021-01-04,BROWARD,30456,69730,-,-,-,21217,17993,54058,64772,20566,269254
62,2021-01-04,ESCAMBIA,4196,9594,-,-,-,2337,4572,649,14304,5746,38852
63,2021-01-04,OKEECHOBEE,247,1855,-,-,-,248,132,929,1430,123,4468
64,2021-01-04,FRANKLIN,245,634,-,-,-,24,25,68,776,84,1821
65,2021-01-04,ALACHUA,3789,8821,-,-,-,1650,1897,2043,11931,2183,31474
66,2021-01-04,ST. JOHNS,764,9486,-,-,-,926,2379,925,9354,3276,29179
