County_name,date,white,black,asian,american_indian,nh_pi,two_plus,other,unknown_race,hispanic,non-hispanic,unknown_ethnicity,total
Alachua County,2020-11-06,5764,2408,-,-,-,-,1163,1617,1443,7674,1835,10952
Baker County,2020-11-06,995,241,-,-,-,-,60,541,20,1148,669,1837
Bay County,2020-11-06,4137,680,-,-,-,-,884,1158,536,4787,1536,6859
Bradford County,2020-11-06,854,292,-,-,-,-,58,53,34,1172,51,1257
Brevard County,2020-11-06,6734,1362,-,-,-,-,1017,3252,1344,7226,3795,12365
Broward County,2020-11-06,39848,22135,-,-,-,-,13013,13921,34401,41337,13179,88917
Calhoun County,2020-11-06,504,109,-,-,-,-,56,81,29,613,108,750
Charlotte County,2020-11-06,2965,244,-,-,-,-,333,355,303,3082,512,3897
Citrus County,2020-11-06,2774,192,-,-,-,-,245,215,170,2933,323,3426
Clay County,2020-11-06,3889,911,-,-,-,-,518,1098,589,4613,1214,6416
Collier County,2020-11-06,7947,858,-,-,-,-,1631,4449,5520,5040,4325,14885
Columbia County,2020-11-06,2682,1261,-,-,-,-,189,212,264,3808,272,4344
Dade County,2020-11-06,83346,16372,-,-,-,-,26600,63954,96716,28596,64960,190272
Desoto County,2020-11-06,1055,182,-,-,-,-,136,334,755,566,386,1707
Dixie County,2020-11-06,676,188,-,-,-,-,30,22,55,823,38,916
Duval County,2020-11-06,11377,11127,-,-,-,-,4195,9262,3086,21742,11133,35961
Escambia County,2020-11-06,5253,2677,-,-,-,-,1549,3203,430,8571,3681,12682
Flagler County,2020-11-06,1343,313,-,-,-,-,387,193,304,1697,235,2236
Franklin County,2020-11-06,510,232,-,-,-,-,22,21,67,641,77,785
Gadsden County,2020-11-06,934,1304,-,-,-,-,578,266,585,2099,398,3082
Gilchrist County,2020-11-06,473,40,-,-,-,-,32,79,84,454,86,624
Glades County,2020-11-06,448,114,-,-,-,-,35,27,238,355,31,624
Gulf County,2020-11-06,649,282,-,-,-,-,17,20,43,875,50,968
Hamilton County,2020-11-06,407,434,-,-,-,-,61,12,117,663,134,914
Hardee County,2020-11-06,1168,131,-,-,-,-,229,106,963,550,121,1634
Hendry County,2020-11-06,1787,262,-,-,-,-,110,120,1488,695,96,2279
Hernando County,2020-11-06,3061,321,-,-,-,-,510,29,694,3176,51,3921
Highlands County,2020-11-06,1716,381,-,-,-,-,428,326,740,1690,421,2851
Hillsborough County,2020-11-06,19427,6368,-,-,-,-,7188,16845,12889,18043,18896,49828
Holmes County,2020-11-06,735,88,-,-,-,-,55,80,35,795,128,958
Indian River County,2020-11-06,2375,457,-,-,-,-,380,834,780,2277,989,4046
Jackson County,2020-11-06,1547,629,-,-,-,-,155,922,116,1726,1411,3253
Jefferson County,2020-11-06,289,338,-,-,-,-,42,18,33,605,49,687
Lafayette County,2020-11-06,880,350,-,-,-,-,40,20,156,1051,83,1290
Lake County,2020-11-06,3873,1074,-,-,-,-,1737,2354,1511,4863,2664,9038
Lee County,2020-11-06,11742,2183,-,-,-,-,1429,8742,5307,9732,9057,24096
Leon County,2020-11-06,5031,3175,-,-,-,-,1660,2578,1092,7127,4225,12444
Levy County,2020-11-06,722,180,-,-,-,-,188,92,232,833,117,1182
Liberty County,2020-11-06,365,126,-,-,-,-,29,24,30,397,117,544
Madison County,2020-11-06,357,635,-,-,-,-,56,35,55,934,94,1083
Manatee County,2020-11-06,7593,1320,-,-,-,-,2283,2595,3902,6883,3006,13791
Marion County,2020-11-06,7428,2054,-,-,-,-,980,717,1517,8548,1114,11179
Martin County,2020-11-06,2632,282,-,-,-,-,1204,1358,1912,2371,1193,5476
Monroe County,2020-11-06,1844,181,-,-,-,-,100,341,871,1203,392,2466
Nassau County,2020-11-06,1923,227,-,-,-,-,107,123,105,2119,156,2380
Okaloosa County,2020-11-06,3453,547,-,-,-,-,1365,1466,699,4655,1477,6831
Okeechobee County,2020-11-06,1266,220,-,-,-,-,201,96,676,1005,102,1783
Orange County,2020-11-06,17485,7624,-,-,-,-,10224,12438,13569,16738,17464,47771
Osceola County,2020-11-06,5866,939,-,-,-,-,4673,3281,7941,3316,3502,14759
Palm Beach County,2020-11-06,22990,8329,-,-,-,-,9595,13182,14697,24758,14641,54096
Pasco County,2020-11-06,8318,798,-,-,-,-,1682,664,2687,7897,878,11462
Pinellas County,2020-11-06,17512,4451,-,-,-,-,2545,2467,3173,18910,4892,26975
Polk County,2020-11-06,13984,4149,-,-,-,-,2009,3598,6900,12243,4597,23740
Putnam County,2020-11-06,1507,659,-,-,-,-,237,54,474,1900,83,2457
Santa Rosa County,2020-11-06,4224,613,-,-,-,-,377,891,268,4819,1018,6105
Sarasota County,2020-11-06,5899,738,-,-,-,-,1109,2375,1412,5788,2921,10121
Seminole County,2020-11-06,7144,1347,-,-,-,-,1504,756,2835,7150,766,10751
St. Johns County,2020-11-06,5020,500,-,-,-,-,478,839,583,5245,1009,6837
St. Lucie County,2020-11-06,4095,2144,-,-,-,-,1267,1900,2115,4948,2343,9406
Sumter County,2020-11-06,1594,508,-,-,-,-,156,776,150,1815,1069,3034
Suwannee County,2020-11-06,1874,604,-,-,-,-,431,132,537,2296,208,3041
Taylor County,2020-11-06,823,566,-,-,-,-,81,51,131,1300,90,1521
Union County,2020-11-06,809,309,-,-,-,-,37,19,39,1121,14,1174
Volusia County,2020-11-06,6706,1672,-,-,-,-,2622,2335,2166,8182,2987,13335
Wakulla County,2020-11-06,932,234,-,-,-,-,103,92,63,1159,139,1361
Walton County,2020-11-06,1658,135,-,-,-,-,99,545,338,1594,505,2437
Washington County,2020-11-06,795,281,-,-,-,-,53,145,37,851,386,1274
