,date,county,black,white,ai_an,nh_pi,two_plus,other,race_unknown,hispanic,non-hispanic,eth_unknown,total
0,2020-12-27,GILCHRIST,72,758,-,-,-,45,102,100,759,118,1862
1,2020-12-27,PUTNAM,901,2431,-,-,-,338,118,607,3023,158,7770
2,2020-12-27,TAYLOR,614,1103,-,-,-,89,100,136,1621,149,3282
3,2020-12-27,OKALOOSA,967,6565,-,-,-,1841,2827,1023,8314,2863,22216
4,2020-12-27,CALHOUN,123,747,-,-,-,185,102,32,932,193,2058
5,2020-12-27,PALM BEACH,11064,37331,-,-,-,13326,17379,21015,38253,19832,151038
6,2020-12-27,ST. LUCIE,2837,6543,-,-,-,1860,2470,3204,7481,3025,27172
7,2020-12-27,PASCO,1257,14795,-,-,-,2623,2168,4212,13684,2947,39152
8,2020-12-27,GADSDEN,1725,1133,-,-,-,680,280,687,2717,414,6856
9,2020-12-27,LEON,5494,7843,-,-,-,2253,2564,1669,12387,4098,33406
10,2020-12-27,JEFFERSON,436,416,-,-,-,53,31,40,822,74,1769
11,2020-12-27,MADISON,782,588,-,-,-,74,51,81,1276,138,2938
12,2020-12-27,LIBERTY,132,507,-,-,-,40,34,34,546,133,2810
13,2020-12-27,HAMILTON,527,573,-,-,-,79,28,136,916,155,3067
14,2020-12-27,BAY,938,6658,-,-,-,1126,2209,752,7506,2673,15313
15,2020-12-27,COLUMBIA,1553,3658,-,-,-,261,321,333,4962,498,9334
16,2020-12-27,BAKER,291,1405,-,-,-,82,608,24,1564,798,3913
17,2020-12-27,HOLMES,104,1225,-,-,-,88,144,47,1270,244,2735
18,2020-12-27,MARTIN,365,3875,-,-,-,1299,1978,2044,3519,1954,15424
19,2020-12-27,HILLSBOROUGH,8934,32259,-,-,-,11465,21015,20453,29742,23478,132775
20,2020-12-27,MANATEE,1885,12363,-,-,-,3301,3523,5228,11258,4586,36867
21,2020-12-27,CLAY,1407,6686,-,-,-,781,1893,894,7285,2588,20509
22,2020-12-27,HARDEE,139,1463,-,-,-,275,171,1117,731,200,3657
23,2020-12-27,MARION,2625,11482,-,-,-,1324,1514,2404,12480,2061,37039
24,2020-12-27,VOLUSIA,2341,11830,-,-,-,3577,3246,3123,12425,5446,43466
25,2020-12-27,DIXIE,202,817,-,-,-,36,25,57,979,44,2040
26,2020-12-27,LAKE,1526,7192,-,-,-,2443,3398,2474,8270,3815,30864
27,2020-12-27,LEVY,293,1144,-,-,-,213,132,285,1325,172,4034
28,2020-12-27,SUMTER,547,2762,-,-,-,235,1212,229,2974,1553,8962
29,2020-12-27,SEMINOLE,1925,10524,-,-,-,2350,2419,4241,10280,2697,35876
30,2020-12-27,ORANGE,10623,29015,-,-,-,15670,17120,24162,27587,20679,130921
31,2020-12-27,CITRUS,292,5171,-,-,-,416,499,345,5284,749,12852
32,2020-12-27,HERNANDO,440,5319,-,-,-,837,389,1184,5165,636,13101
33,2020-12-27,PINELLAS,5701,28288,-,-,-,3679,4582,4764,28617,8869,78583
34,2020-12-27,SUWANNEE,686,2526,-,-,-,504,161,613,2966,298,6146
35,2020-12-27,DUVAL,16420,21940,-,-,-,6397,12579,4539,33116,19681,107953
36,2020-12-27,LAFAYETTE,358,985,-,-,-,43,27,163,1159,91,1784
37,2020-12-27,GULF,301,894,-,-,-,23,33,45,1141,65,2194
38,2020-12-27,UNION,344,994,-,-,-,40,36,41,1339,34,2726
39,2020-12-27,BRADFORD,523,1397,-,-,-,103,73,57,1936,103,3964
40,2020-12-27,WAKULLA,315,1471,-,-,-,125,107,78,1776,164,4201
41,2020-12-27,BREVARD,1911,10505,-,-,-,1801,5714,2112,11375,6444,39120
42,2020-12-27,POLK,5413,22412,-,-,-,3521,4081,11215,19401,4811,55741
43,2020-12-27,OSCEOLA,1497,10288,-,-,-,7628,4496,14033,5715,4161,39419
44,2020-12-27,HIGHLANDS,481,3063,-,-,-,599,616,1083,2939,737,9318
45,2020-12-27,LEE,3162,21628,-,-,-,3260,9971,8551,19079,10391,66641
46,2020-12-27,COLLIER,1131,12214,-,-,-,2274,5535,7196,8651,5307,37489
47,2020-12-27,DADE,22072,146737,-,-,-,46878,69353,169060,47716,68264,432788
48,2020-12-27,MONROE,260,3034,-,-,-,152,547,1275,2073,645,9540
49,2020-12-27,SANTA ROSA,781,7523,-,-,-,562,1497,397,8265,1701,18819
50,2020-12-27,WALTON,299,2822,-,-,-,182,940,450,2815,978,6819
51,2020-12-27,JACKSON,844,2358,-,-,-,215,1019,138,2800,1498,7552
52,2020-12-27,WASHINGTON,341,1266,-,-,-,86,197,53,1374,463,3076
53,2020-12-27,NASSAU,297,3435,-,-,-,158,294,149,3510,525,8955
54,2020-12-27,GLADES,128,553,-,-,-,41,37,279,439,41,1051
55,2020-12-27,CHARLOTTE,405,5211,-,-,-,486,892,491,5185,1318,12313
56,2020-12-27,SARASOTA,1035,11715,-,-,-,1484,3069,2143,10337,4823,33458
57,2020-12-27,DESOTO,229,1650,-,-,-,175,770,951,1009,864,5044
58,2020-12-27,FLAGLER,446,2180,-,-,-,527,357,464,2605,441,8420
59,2020-12-27,HENDRY,375,2386,-,-,-,199,239,1922,1071,206,5794
60,2020-12-27,INDIAN RIVER,649,4285,-,-,-,521,948,1335,3978,1090,13761
61,2020-12-27,BROWARD,29196,65357,-,-,-,19853,17034,50992,61455,18993,259944
62,2020-12-27,ESCAMBIA,3789,8835,-,-,-,2187,4255,605,13186,5275,37193
63,2020-12-27,OKEECHOBEE,243,1727,-,-,-,238,119,893,1314,120,4312
64,2020-12-27,FRANKLIN,237,577,-,-,-,24,25,68,713,82,1756
65,2020-12-27,ALACHUA,3583,8299,-,-,-,1581,1798,1971,11234,2056,30597
66,2020-12-27,ST. JOHNS,705,8692,-,-,-,851,1969,864,8666,2687,27728
