,date,county,black,white,ai_an,nh_pi,two_plus,other,race_unknown,hispanic,non-hispanic,eth_unknown,total
0,2020-12-01,GILCHRIST,55,581,-,-,-,38,89,91,575,97,1643
1,2020-12-01,PUTNAM,696,1718,-,-,-,266,61,515,2143,83,6553
2,2020-12-01,TAYLOR,585,904,-,-,-,82,70,132,1404,105,2910
3,2020-12-01,OKALOOSA,704,4463,-,-,-,1576,2045,813,5991,1984,17737
4,2020-12-01,CALHOUN,115,597,-,-,-,65,91,30,713,125,1682
5,2020-12-01,PALM BEACH,9292,28832,-,-,-,10921,15592,17245,30465,16927,133429
6,2020-12-01,ST. LUCIE,2312,4961,-,-,-,1442,2041,2425,5835,2496,23389
7,2020-12-01,PASCO,928,10658,-,-,-,1934,1237,3168,10028,1561,31862
8,2020-12-01,GADSDEN,1406,1001,-,-,-,625,269,639,2249,413,6238
9,2020-12-01,LEON,4034,6089,-,-,-,1881,2554,1359,9063,4136,29113
10,2020-12-01,JEFFERSON,368,323,-,-,-,44,22,37,664,56,1500
11,2020-12-01,MADISON,710,437,-,-,-,62,41,62,1076,112,2570
12,2020-12-01,LIBERTY,126,410,-,-,-,30,28,30,440,124,2662
13,2020-12-01,HAMILTON,438,449,-,-,-,64,17,120,711,137,2710
14,2020-12-01,BAY,776,5039,-,-,-,974,1356,598,5771,1776,12128
15,2020-12-01,COLUMBIA,1362,2948,-,-,-,218,242,278,4130,362,8012
16,2020-12-01,BAKER,264,1121,-,-,-,68,567,22,1278,720,3360
17,2020-12-01,HOLMES,93,891,-,-,-,63,99,38,950,158,2200
18,2020-12-01,MARTIN,301,3064,-,-,-,1229,1603,1949,2773,1475,13605
19,2020-12-01,HILLSBOROUGH,7233,23559,-,-,-,8365,18713,15176,22398,20296,113615
20,2020-12-01,MANATEE,1500,9355,-,-,-,2478,3302,4380,8700,3555,31917
21,2020-12-01,CLAY,1077,4838,-,-,-,614,1470,703,5580,1716,17451
22,2020-12-01,HARDEE,135,1256,-,-,-,246,121,1024,599,135,3266
23,2020-12-01,MARION,2216,8705,-,-,-,1072,1011,1772,9827,1405,32551
24,2020-12-01,VOLUSIA,1897,8625,-,-,-,3026,2766,2562,9761,3991,37856
25,2020-12-01,DIXIE,189,716,-,-,-,33,22,55,869,36,1878
26,2020-12-01,LAKE,1162,4826,-,-,-,1915,2665,1787,5838,2943,26473
27,2020-12-01,LEVY,228,876,-,-,-,191,109,243,1019,142,3538
28,2020-12-01,SUMTER,512,1853,-,-,-,173,910,164,2080,1204,7487
29,2020-12-01,SEMINOLE,1507,8212,-,-,-,1782,1367,3316,8269,1283,30498
30,2020-12-01,ORANGE,8579,21517,-,-,-,11927,15790,17713,21075,19025,116276
31,2020-12-01,CITRUS,240,3830,-,-,-,310,348,255,3985,488,10709
32,2020-12-01,HERNANDO,360,3813,-,-,-,639,163,840,3839,296,10342
33,2020-12-01,PINELLAS,4882,21510,-,-,-,2929,3281,3684,22499,6419,68491
34,2020-12-01,SUWANNEE,637,2011,-,-,-,456,152,547,2487,222,5395
35,2020-12-01,DUVAL,12824,14762,-,-,-,4906,10855,3639,25865,13843,92996
36,2020-12-01,LAFAYETTE,350,908,-,-,-,43,22,160,1079,84,1664
37,2020-12-01,GULF,290,716,-,-,-,20,21,43,953,51,1969
38,2020-12-01,UNION,325,847,-,-,-,38,19,39,1175,15,2485
39,2020-12-01,BRADFORD,312,979,-,-,-,62,56,37,1313,59,3115
40,2020-12-01,WAKULLA,264,1140,-,-,-,110,95,67,1399,143,3632
41,2020-12-01,BREVARD,1558,8070,-,-,-,1211,4601,1615,8822,5003,34519
42,2020-12-01,POLK,4550,16854,-,-,-,2547,3496,8629,14690,4128,46943
43,2020-12-01,OSCEOLA,1105,7333,-,-,-,5709,4013,10219,4218,3723,32650
44,2020-12-01,HIGHLANDS,421,2370,-,-,-,498,464,870,2309,574,8111
45,2020-12-01,LEE,2580,15431,-,-,-,1994,9424,6316,13388,9725,56170
46,2020-12-01,COLLIER,935,9607,-,-,-,1833,5005,6062,6545,4773,32937
