,county,black,white,ai_an,nh_pi,two_plus,other,race_unknown,hispanic,non-hispanic,eth_unknown,total
65,ALACHUA,2351,5579,-,-,-,1135,1602,1401,7437,1829,25585
16,BAKER,238,972,-,-,-,58,537,20,1124,661,3037
14,BAY,668,3988,-,-,-,882,1153,522,4645,1524,10316
39,BRADFORD,289,843,-,-,-,58,52,34,1158,50,2911
41,BREVARD,1307,6468,-,-,-,984,3072,1293,6927,3611,30903
61,BROWARD,21824,38422,-,-,-,12645,13761,33462,40141,13049,193063
4,CALHOUN,107,487,-,-,-,55,82,29,593,109,1470
55,CHARLOTTE,238,2870,-,-,-,329,316,296,2985,472,8795
31,CITRUS,189,2677,-,-,-,240,208,166,2833,315,8699
21,CLAY,888,3737,-,-,-,499,1114,563,4457,1218,15379
46,COLLIER,846,7722,-,-,-,1607,4379,5449,4835,4270,29420
15,COLUMBIA,1249,2647,-,-,-,189,210,259,3762,274,7505
47,DADE,16129,80563,-,-,-,25752,63844,93545,27637,65106,327934
57,DESOTO,179,1044,-,-,-,133,331,751,552,384,4074
25,DIXIE,187,672,-,-,-,30,20,55,817,37,1811
35,DUVAL,10970,11046,-,-,-,4132,9208,3034,21337,10985,84213
62,ESCAMBIA,2639,5069,-,-,-,1497,3125,425,8309,3596,29853
58,FLAGLER,307,1300,-,-,-,375,193,296,1648,231,6513
64,FRANKLIN,232,504,-,-,-,22,21,67,635,77,1629
8,GADSDEN,1296,923,-,-,-,578,266,583,2082,398,5941
0,GILCHRIST,40,464,-,-,-,32,79,84,445,86,1423
54,GLADES,114,439,-,-,-,35,25,230,353,30,855
37,GULF,281,631,-,-,-,16,19,42,856,49,1857
13,HAMILTON,432,400,-,-,-,60,12,116,655,133,2618
22,HARDEE,130,1159,-,-,-,228,103,958,542,120,3020
59,HENDRY,261,1769,-,-,-,103,120,1474,684,95,4457
32,HERNANDO,316,2949,-,-,-,497,30,674,3068,50,8635
44,HIGHLANDS,367,1629,-,-,-,417,303,721,1601,394,6856
19,HILLSBOROUGH,6217,18770,-,-,-,7028,16631,12536,17358,18752,101935
17,HOLMES,88,702,-,-,-,55,75,34,763,123,1898
60,INDIAN RIVER,448,2267,-,-,-,374,834,759,2179,985,10610
51,JACKSON,613,1472,-,-,-,147,895,113,1635,1379,6101
10,JEFFERSON,330,281,-,-,-,42,16,33,588,48,1363
36,LAFAYETTE,349,869,-,-,-,40,21,156,1040,83,1613
26,LAKE,1062,3720,-,-,-,1700,2243,1459,4703,2563,24262
45,LEE,2151,11319,-,-,-,1361,8627,5181,9329,8948,48876
9,LEON,3111,4866,-,-,-,1625,2523,1043,6919,4163,26063
27,LEVY,176,697,-,-,-,187,94,229,807,118,3127
12,LIBERTY,126,359,-,-,-,29,25,30,391,118,2579
11,MADISON,627,352,-,-,-,56,33,55,921,92,2295
20,MANATEE,1301,7399,-,-,-,2253,2597,3861,6701,2988,28371
23,MARION,2034,7249,-,-,-,964,727,1484,8372,1118,30077
18,MARTIN,277,2598,-,-,-,1199,1319,1903,2344,1146,12396
48,MONROE,177,1738,-,-,-,99,301,844,1118,353,7134
53,NASSAU,225,1874,-,-,-,105,122,105,2079,142,6289
3,OKALOOSA,525,3316,-,-,-,1334,1351,684,4473,1369,14708
63,OKEECHOBEE,220,1239,-,-,-,199,100,659,994,105,3505
30,ORANGE,7462,16911,-,-,-,9912,12179,13078,16165,17221,104613
43,OSCEOLA,911,5717,-,-,-,4597,3146,7716,3222,3433,28216
5,PALM BEACH,8224,22137,-,-,-,9388,12894,14322,23961,14360,118607
7,PASCO,771,8019,-,-,-,1642,622,2617,7619,818,26828
33,PINELLAS,4385,16973,-,-,-,2502,2281,3081,18323,4737,61660
42,POLK,4096,13608,-,-,-,1986,3589,6753,11927,4599,41985
1,PUTNAM,653,1469,-,-,-,234,57,471,1856,86,6093
49,SANTA ROSA,608,4106,-,-,-,368,898,261,4685,1034,13759
56,SARASOTA,727,5672,-,-,-,1084,2365,1374,5603,2871,23743
29,SEMINOLE,1331,7002,-,-,-,1480,657,2805,7006,659,27456
66,ST. JOHNS,485,4834,-,-,-,467,810,554,5068,974,19120
6,ST. LUCIE,2106,3953,-,-,-,1246,1871,2082,4787,2307,21024
28,SUMTER,508,1550,-,-,-,150,746,144,1777,1033,6880
34,SUWANNEE,603,1847,-,-,-,431,129,536,2268,206,5052
2,TAYLOR,566,803,-,-,-,81,47,131,1281,85,2724
38,UNION,307,790,-,-,-,35,19,39,1098,14,2386
24,VOLUSIA,1640,6476,-,-,-,2575,2293,2100,7921,2963,33834
40,WAKULLA,233,910,-,-,-,103,91,63,1137,137,3220
50,WALTON,133,1593,-,-,-,94,456,331,1527,418,4534
52,WASHINGTON,280,769,-,-,-,51,146,35,827,384,2281
