,date,county,black,white,ai_an,nh_pi,two_plus,other,race_unknown,hispanic,non-hispanic,eth_unknown,total
0,2020-12-28,GILCHRIST,72,764,-,-,-,45,103,100,764,120,1869
1,2020-12-28,PUTNAM,904,2453,-,-,-,338,114,607,3043,159,7791
2,2020-12-28,TAYLOR,614,1107,-,-,-,89,100,136,1625,149,3288
3,2020-12-28,OKALOOSA,968,6625,-,-,-,1848,2839,1032,8369,2879,22305
4,2020-12-28,CALHOUN,123,753,-,-,-,185,106,32,938,197,2070
5,2020-12-28,PALM BEACH,11114,37662,-,-,-,13475,17454,21179,38564,19962,151684
6,2020-12-28,ST. LUCIE,2857,6607,-,-,-,1882,2448,3234,7555,3005,27258
7,2020-12-28,PASCO,1266,14930,-,-,-,2631,2200,4246,13799,2982,39372
8,2020-12-28,GADSDEN,1731,1135,-,-,-,679,278,687,2724,412,6862
9,2020-12-28,LEON,5508,7860,-,-,-,2256,2563,1672,12416,4099,33467
10,2020-12-28,JEFFERSON,436,416,-,-,-,53,32,40,822,75,1772
11,2020-12-28,MADISON,784,588,-,-,-,74,51,81,1278,138,2940
12,2020-12-28,LIBERTY,132,510,-,-,-,40,33,34,550,131,2815
13,2020-12-28,HAMILTON,529,576,-,-,-,79,27,137,921,153,3073
14,2020-12-28,BAY,939,6682,-,-,-,1131,2222,759,7529,2686,15361
15,2020-12-28,COLUMBIA,1561,3674,-,-,-,265,314,335,4990,489,9357
16,2020-12-28,BAKER,294,1411,-,-,-,82,616,24,1571,808,3935
17,2020-12-28,HOLMES,104,1237,-,-,-,88,145,47,1277,250,2744
18,2020-12-28,MARTIN,367,3896,-,-,-,1302,1983,2049,3534,1965,15473
19,2020-12-28,HILLSBOROUGH,8991,32495,-,-,-,11511,21090,20588,29948,23551,133246
20,2020-12-28,MANATEE,1899,12461,-,-,-,3324,3516,5251,11355,4594,37015
21,2020-12-28,CLAY,1415,6716,-,-,-,784,1887,900,7317,2585,20541
22,2020-12-28,HARDEE,139,1466,-,-,-,275,169,1118,733,198,3659
23,2020-12-28,MARION,2638,11553,-,-,-,1327,1520,2414,12552,2072,37142
24,2020-12-28,VOLUSIA,2348,11872,-,-,-,3592,3268,3139,12460,5481,43557
25,2020-12-28,DIXIE,203,821,-,-,-,36,25,58,983,44,2043
26,2020-12-28,LAKE,1541,7269,-,-,-,2459,3403,2506,8350,3816,30982
27,2020-12-28,LEVY,296,1149,-,-,-,214,130,286,1334,169,4046
28,2020-12-28,SUMTER,551,2796,-,-,-,235,1214,229,3007,1560,8996
29,2020-12-28,SEMINOLE,1936,10573,-,-,-,2363,2446,4262,10331,2725,35976
30,2020-12-28,ORANGE,10715,29339,-,-,-,15844,17154,24439,27847,20766,131555
31,2020-12-28,CITRUS,291,5213,-,-,-,417,507,347,5318,763,12911
32,2020-12-28,HERNANDO,442,5363,-,-,-,838,387,1189,5210,631,13157
33,2020-12-28,PINELLAS,5728,28448,-,-,-,3688,4645,4796,28795,8918,78846
34,2020-12-28,SUWANNEE,686,2538,-,-,-,504,159,613,2979,295,6157
35,2020-12-28,DUVAL,16475,22031,-,-,-,6422,12597,4547,33268,19710,108139
36,2020-12-28,LAFAYETTE,358,986,-,-,-,43,27,163,1160,91,1786
37,2020-12-28,GULF,301,899,-,-,-,23,33,45,1146,65,2198
38,2020-12-28,UNION,345,994,-,-,-,40,37,42,1340,34,2727
39,2020-12-28,BRADFORD,526,1407,-,-,-,104,74,58,1949,104,3974
40,2020-12-28,WAKULLA,316,1474,-,-,-,126,107,78,1780,165,4205
41,2020-12-28,BREVARD,1923,10606,-,-,-,1841,5764,2145,11461,6528,39326
42,2020-12-28,POLK,5437,22605,-,-,-,3557,4112,11290,19567,4854,56084
43,2020-12-28,OSCEOLA,1506,10402,-,-,-,7698,4505,14192,5761,4158,39656
44,2020-12-28,HIGHLANDS,482,3082,-,-,-,600,615,1091,2954,734,9354
45,2020-12-28,LEE,3181,21855,-,-,-,3319,9969,8641,19294,10389,66996
46,2020-12-28,COLLIER,1153,12459,-,-,-,2296,5542,7254,8880,5316,37824
47,2020-12-28,DADE,22192,148288,-,-,-,47336,69344,170898,48148,68114,434824
48,2020-12-28,MONROE,262,3057,-,-,-,150,535,1281,2092,631,9559
49,2020-12-28,SANTA ROSA,783,7604,-,-,-,565,1496,402,8347,1699,18922
50,2020-12-28,WALTON,299,2834,-,-,-,186,944,451,2827,985,6843
51,2020-12-28,JACKSON,844,2361,-,-,-,217,1024,138,2805,1503,7566
52,2020-12-28,WASHINGTON,341,1264,-,-,-,86,199,53,1373,464,3080
