,date,county,black,white,ai_an,nh_pi,two_plus,other,race_unknown,hispanic,non-hispanic,eth_unknown,total
0,2020-11-22,GILCHRIST,48,555,-,-,-,35,89,90,544,93,1599
1,2020-11-22,PUTNAM,681,1645,-,-,-,257,55,499,2059,80,6439
2,2020-11-22,TAYLOR,581,880,-,-,-,81,67,131,1378,100,2879
3,2020-11-22,OKALOOSA,658,4160,-,-,-,1532,1882,776,5601,1855,16998
4,2020-11-22,CALHOUN,113,571,-,-,-,59,89,30,683,119,1622
5,2020-11-22,PALM BEACH,8978,26807,-,-,-,10502,14850,16384,28598,16155,129131
6,2020-11-22,ST. LUCIE,2251,4636,-,-,-,1381,1953,2312,5511,2398,22626
7,2020-11-22,PASCO,884,9796,-,-,-,1849,1016,2995,9244,1306,30460
8,2020-11-22,GADSDEN,1359,974,-,-,-,611,265,619,2193,397,6116
9,2020-11-22,LEON,3716,5753,-,-,-,1811,2582,1284,8390,4188,28301
10,2020-11-22,JEFFERSON,360,303,-,-,-,43,17,34,640,49,1449
11,2020-11-22,MADISON,694,415,-,-,-,60,40,60,1041,108,2498
12,2020-11-22,LIBERTY,126,383,-,-,-,29,28,30,414,122,2621
13,2020-11-22,HAMILTON,434,436,-,-,-,63,16,119,693,137,2684
14,2020-11-22,BAY,747,4798,-,-,-,959,1389,590,5492,1811,11763
15,2020-11-22,COLUMBIA,1321,2841,-,-,-,211,222,272,4014,309,7836
16,2020-11-22,BAKER,261,1071,-,-,-,67,551,21,1233,696,3254
17,2020-11-22,HOLMES,91,841,-,-,-,62,89,37,903,143,2113
18,2020-11-22,MARTIN,295,2878,-,-,-,1219,1514,1931,2611,1364,13178
19,2020-11-22,HILLSBOROUGH,6938,22023,-,-,-,7972,18177,14421,20887,19802,110332
20,2020-11-22,MANATEE,1428,8636,-,-,-,2425,3037,4232,8079,3215,30701
21,2020-11-22,CLAY,1009,4456,-,-,-,582,1334,667,5232,1482,16767
22,2020-11-22,HARDEE,133,1233,-,-,-,240,117,1012,581,130,3217
23,2020-11-22,MARION,2153,8240,-,-,-,1035,939,1656,9394,1317,31783
24,2020-11-22,VOLUSIA,1800,7647,-,-,-,2867,2643,2408,9124,3425,36194
25,2020-11-22,DIXIE,189,704,-,-,-,33,25,56,857,38,1865
26,2020-11-22,LAKE,1123,4490,-,-,-,1849,2539,1683,5492,2826,25838
27,2020-11-22,LEVY,205,831,-,-,-,190,101,235,964,128,3438
28,2020-11-22,SUMTER,505,1730,-,-,-,164,874,155,1949,1169,7269
