,date,county,black,white,ai_an,nh_pi,two_plus,other,race_unknown,hispanic,non-hispanic,eth_unknown,total
0,2020-12-17,GILCHRIST,70,674,-,-,-,40,92,92,675,109,1758
1,2020-12-17,PUTNAM,823,2111,-,-,-,299,80,559,2645,109,7211
2,2020-12-17,TAYLOR,606,998,-,-,-,82,84,134,1507,129,3101
3,2020-12-17,OKALOOSA,842,5671,-,-,-,1739,2653,946,7343,2616,20578
4,2020-12-17,CALHOUN,117,664,-,-,-,136,102,30,824,165,1881
5,2020-12-17,PALM BEACH,10339,33698,-,-,-,12276,16732,19394,34938,18713,143688
6,2020-12-17,ST. LUCIE,2581,5787,-,-,-,1633,2266,2810,6689,2768,25406
7,2020-12-17,PASCO,1114,12984,-,-,-,2310,1799,3726,12089,2392,36089
8,2020-12-17,GADSDEN,1561,1063,-,-,-,654,266,670,2471,403,6553
9,2020-12-17,LEON,4958,7081,-,-,-,2109,2549,1553,11055,4089,31738
10,2020-12-17,JEFFERSON,412,354,-,-,-,51,22,38,744,57,1632
11,2020-12-17,MADISON,769,522,-,-,-,71,48,73,1209,128,2809
12,2020-12-17,LIBERTY,128,461,-,-,-,36,31,33,495,128,2744
13,2020-12-17,HAMILTON,478,502,-,-,-,72,21,127,805,141,2898
14,2020-12-17,BAY,884,5949,-,-,-,1056,1828,695,6747,2275,13971
15,2020-12-17,COLUMBIA,1446,3273,-,-,-,232,282,302,4517,414,8615
16,2020-12-17,BAKER,272,1282,-,-,-,77,589,23,1437,760,3671
17,2020-12-17,HOLMES,94,1041,-,-,-,78,119,44,1097,191,2467
18,2020-12-17,MARTIN,340,3472,-,-,-,1260,1810,1996,3156,1730,14579
19,2020-12-17,HILLSBOROUGH,8146,28234,-,-,-,10077,20042,18166,26338,21995,124289
20,2020-12-17,MANATEE,1701,11045,-,-,-,2963,3408,4883,10171,4063,34750
21,2020-12-17,CLAY,1260,5754,-,-,-,697,1721,819,6432,2181,19061
22,2020-12-17,HARDEE,136,1346,-,-,-,258,159,1049,671,179,3468
23,2020-12-17,MARION,2442,10222,-,-,-,1211,1286,2118,11288,1755,34991
24,2020-12-17,VOLUSIA,2148,10391,-,-,-,3305,2995,2891,11311,4637,40929
25,2020-12-17,DIXIE,192,758,-,-,-,35,23,55,915,38,1945
26,2020-12-17,LAKE,1339,6015,-,-,-,2194,3049,2159,7027,3411,28730
27,2020-12-17,LEVY,269,1026,-,-,-,206,116,278,1193,146,3841
28,2020-12-17,SUMTER,526,2306,-,-,-,208,1092,190,2525,1417,8258
29,2020-12-17,SEMINOLE,1792,9664,-,-,-,2148,2050,3903,9548,2203,33869
30,2020-12-17,ORANGE,9658,25527,-,-,-,13942,16385,21405,24482,19625,123852
31,2020-12-17,CITRUS,271,4627,-,-,-,359,408,314,4746,605,11976
32,2020-12-17,HERNANDO,414,4686,-,-,-,745,295,1038,4625,477,11929
33,2020-12-17,PINELLAS,5303,25262,-,-,-,3371,4037,4283,25912,7778,74182
34,2020-12-17,SUWANNEE,654,2244,-,-,-,480,166,580,2717,247,5747
35,2020-12-17,DUVAL,14837,18703,-,-,-,5642,11887,4198,29825,17046,101438
36,2020-12-17,LAFAYETTE,355,971,-,-,-,43,22,162,1143,86,1753
37,2020-12-17,GULF,293,805,-,-,-,23,30,44,1048,59,2095
38,2020-12-17,UNION,337,930,-,-,-,40,26,40,1267,26,2621
39,2020-12-17,BRADFORD,351,1153,-,-,-,76,62,42,1516,84,3458
40,2020-12-17,WAKULLA,282,1324,-,-,-,118,101,75,1593,157,3968
41,2020-12-17,BREVARD,1769,9539,-,-,-,1532,5291,1904,10348,5879,37274
42,2020-12-17,POLK,4994,19995,-,-,-,3172,3634,10308,17337,4150,51857
43,2020-12-17,OSCEOLA,1332,9143,-,-,-,6880,4404,12612,5093,4054,36853
44,2020-12-17,HIGHLANDS,463,2821,-,-,-,563,536,1017,2711,655,8868
45,2020-12-17,LEE,2943,19089,-,-,-,2711,9791,7614,16790,10130,62343
46,2020-12-17,COLLIER,1053,11214,-,-,-,2109,5434,6775,7819,5216,35836
47,2020-12-17,DADE,20526,131131,-,-,-,41439,68715,151274,43037,67500,408660
48,2020-12-17,MONROE,250,2841,-,-,-,133,529,1212,1913,628,9184
49,2020-12-17,SANTA ROSA,732,6514,-,-,-,509,1279,366,7194,1474,17375
50,2020-12-17,WALTON,288,2565,-,-,-,167,867,437,2553,897,6396
51,2020-12-17,JACKSON,780,2156,-,-,-,207,1000,132,2542,1469,7218
