,date,county,black,white,ai_an,nh_pi,two_plus,other,race_unknown,hispanic,non-hispanic,eth_unknown,total
0,2020-11-16,GILCHRIST,44,513,-,-,-,33,81,85,497,89,1495
1,2020-11-16,PUTNAM,672,1559,-,-,-,245,53,480,1971,78,6295
2,2020-11-16,TAYLOR,574,847,-,-,-,81,63,131,1338,96,2823
3,2020-11-16,OKALOOSA,613,3818,-,-,-,1457,1649,740,5146,1651,16101
4,2020-11-16,CALHOUN,112,537,-,-,-,57,89,30,648,117,1567
5,2020-11-16,PALM BEACH,8650,24901,-,-,-,10057,14217,15558,26798,15469,125004
6,2020-11-16,ST. LUCIE,2194,4352,-,-,-,1324,1942,2215,5216,2381,22004
7,2020-11-16,PASCO,843,9005,-,-,-,1776,801,2856,8518,1051,28946
8,2020-11-16,GADSDEN,1321,950,-,-,-,591,265,596,2138,393,6016
9,2020-11-16,LEON,3399,5412,-,-,-,1744,2608,1178,7730,4255,27382
10,2020-11-16,JEFFERSON,351,294,-,-,-,43,17,33,623,49,1414
11,2020-11-16,MADISON,680,389,-,-,-,57,36,57,1005,100,2419
12,2020-11-16,LIBERTY,126,373,-,-,-,29,26,30,405,119,2607
13,2020-11-16,HAMILTON,434,418,-,-,-,63,13,119,675,134,2654
14,2020-11-16,BAY,709,4469,-,-,-,925,1279,565,5126,1691,11176
15,2020-11-16,COLUMBIA,1297,2780,-,-,-,203,216,267,3939,290,7727
16,2020-11-16,BAKER,255,1029,-,-,-,64,545,21,1189,683,3163
17,2020-11-16,HOLMES,90,786,-,-,-,58,79,35,848,130,2023
18,2020-11-16,MARTIN,289,2733,-,-,-,1209,1432,1922,2489,1252,12832
19,2020-11-16,HILLSBOROUGH,6717,20750,-,-,-,7570,17535,13697,19530,19345,107127
20,2020-11-16,MANATEE,1371,8073,-,-,-,2347,2802,4071,7436,3086,29602
21,2020-11-16,CLAY,960,4165,-,-,-,545,1235,623,4922,1360,16203
22,2020-11-16,HARDEE,133,1208,-,-,-,237,113,991,574,126,3141
23,2020-11-16,MARION,2084,7792,-,-,-,1012,819,1565,8931,1211,30971
24,2020-11-16,VOLUSIA,1723,7128,-,-,-,2721,2555,2282,8629,3216,35195
25,2020-11-16,DIXIE,189,687,-,-,-,32,23,55,838,38,1836
26,2020-11-16,LAKE,1102,4186,-,-,-,1798,2467,1590,5208,2755,25261
27,2020-11-16,LEVY,193,768,-,-,-,190,95,235,888,123,3324
28,2020-11-16,SUMTER,508,1655,-,-,-,159,821,151,1877,1115,7100
29,2020-11-16,SEMINOLE,1396,7430,-,-,-,1568,1037,2948,7461,1022,28690
30,2020-11-16,ORANGE,7940,18764,-,-,-,10774,13674,14883,18136,18133,109432
31,2020-11-16,CITRUS,212,3162,-,-,-,267,266,207,3313,387,9466
32,2020-11-16,HERNANDO,341,3270,-,-,-,558,57,745,3366,115,9274
33,2020-11-16,PINELLAS,4602,18654,-,-,-,2692,2885,3345,20138,5350,64472
34,2020-11-16,SUWANNEE,612,1919,-,-,-,439,137,537,2358,212,5216
35,2020-11-16,DUVAL,11604,12144,-,-,-,4420,9886,3279,23118,11657,87345
36,2020-11-16,LAFAYETTE,347,882,-,-,-,41,19,156,1052,81,1626
37,2020-11-16,GULF,287,682,-,-,-,18,21,43,912,53,1918
38,2020-11-16,UNION,315,820,-,-,-,38,20,39,1138,16,2438
39,2020-11-16,BRADFORD,297,889,-,-,-,59,57,34,1211,57,2977
40,2020-11-16,WAKULLA,241,1024,-,-,-,106,92,65,1256,142,3405
41,2020-11-16,BREVARD,1438,7204,-,-,-,1081,3791,1444,7818,4252,32581
42,2020-11-16,POLK,4308,14947,-,-,-,2089,3763,7286,13123,4698,44081
43,2020-11-16,OSCEOLA,992,6331,-,-,-,4956,3575,8681,3606,3567,29979
44,2020-11-16,HIGHLANDS,393,1957,-,-,-,448,410,783,1918,507,7446
45,2020-11-16,LEE,2312,12837,-,-,-,1565,9033,5594,10832,9321,51699
46,2020-11-16,COLLIER,879,8465,-,-,-,1680,4654,5664,5539,4475,30856
47,2020-11-16,DADE,16980,90184,-,-,-,28466,65179,104589,30926,65294,344012
48,2020-11-16,MONROE,187,2044,-,-,-,103,407,920,1354,467,7740
49,2020-11-16,SANTA ROSA,630,4569,-,-,-,399,892,283,5190,1017,14408
50,2020-11-16,WALTON,252,1921,-,-,-,128,634,374,1934,627,5275
51,2020-11-16,JACKSON,670,1691,-,-,-,175,941,121,1950,1406,6494
52,2020-11-16,WASHINGTON,288,842,-,-,-,58,181,40,905,424,2420
53,2020-11-16,NASSAU,239,2052,-,-,-,113,141,107,2251,187,6631
54,2020-11-16,GLADES,116,457,-,-,-,34,30,240,363,34,882
55,2020-11-16,CHARLOTTE,268,3210,-,-,-,355,432,315,3338,612,9345
56,2020-11-16,SARASOTA,753,6498,-,-,-,1148,2650,1496,6420,3133,25284
