,date,county,black,white,ai_an,nh_pi,two_plus,other,race_unknown,hispanic,non-hispanic,eth_unknown,total
0,2020-12-20,GILCHRIST,71,705,-,-,-,42,96,97,707,110,1797
1,2020-12-20,PUTNAM,858,2250,-,-,-,320,100,580,2821,127,7463
2,2020-12-20,TAYLOR,611,1032,-,-,-,84,91,135,1543,140,3169
3,2020-12-20,OKALOOSA,885,5973,-,-,-,1779,2700,976,7695,2666,21201
4,2020-12-20,CALHOUN,118,687,-,-,-,154,101,31,854,175,1942
5,2020-12-20,PALM BEACH,10642,35198,-,-,-,12757,16962,20079,36285,19195,146927
6,2020-12-20,ST. LUCIE,2686,6072,-,-,-,1717,2365,2961,6987,2892,26094
7,2020-12-20,PASCO,1167,13738,-,-,-,2434,1977,3916,12755,2645,37409
8,2020-12-20,GADSDEN,1624,1084,-,-,-,666,270,677,2564,403,6655
9,2020-12-20,LEON,5175,7361,-,-,-,2170,2551,1591,11579,4087,32409
10,2020-12-20,JEFFERSON,421,372,-,-,-,53,22,40,771,57,1682
11,2020-12-20,MADISON,778,548,-,-,-,71,50,75,1236,136,2873
12,2020-12-20,LIBERTY,130,476,-,-,-,37,32,34,511,130,2770
13,2020-12-20,HAMILTON,494,524,-,-,-,74,23,130,838,147,2962
14,2020-12-20,BAY,904,6235,-,-,-,1089,2023,714,7044,2493,14578
15,2020-12-20,COLUMBIA,1493,3401,-,-,-,242,300,311,4668,457,8887
16,2020-12-20,BAKER,281,1329,-,-,-,76,599,23,1485,777,3771
17,2020-12-20,HOLMES,97,1109,-,-,-,85,131,46,1164,212,2575
18,2020-12-20,MARTIN,354,3645,-,-,-,1274,1901,2020,3299,1855,14942
19,2020-12-20,HILLSBOROUGH,8436,29812,-,-,-,10702,20464,19123,27595,22696,127943
20,2020-12-20,MANATEE,1779,11547,-,-,-,3087,3471,5026,10555,4303,35574
21,2020-12-20,CLAY,1306,6049,-,-,-,722,1775,842,6711,2299,19528
22,2020-12-20,HARDEE,138,1396,-,-,-,266,159,1073,700,186,3537
23,2020-12-20,MARION,2503,10704,-,-,-,1241,1393,2219,11734,1888,35755
24,2020-12-20,VOLUSIA,2228,10977,-,-,-,3405,3105,2981,11766,4968,41949
25,2020-12-20,DIXIE,196,778,-,-,-,35,26,56,936,43,1983
26,2020-12-20,LAKE,1406,6497,-,-,-,2291,3158,2284,7505,3563,29599
27,2020-12-20,LEVY,277,1066,-,-,-,208,119,284,1235,151,3914
28,2020-12-20,SUMTER,533,2478,-,-,-,221,1124,208,2697,1451,8507
29,2020-12-20,SEMINOLE,1842,10012,-,-,-,2226,2169,4026,9836,2387,34723
30,2020-12-20,ORANGE,10054,26922,-,-,-,14606,16758,22500,25727,20113,126736
31,2020-12-20,CITRUS,281,4826,-,-,-,386,455,329,4944,675,12310
32,2020-12-20,HERNANDO,419,4941,-,-,-,777,339,1096,4839,541,12438
33,2020-12-20,PINELLAS,5445,26461,-,-,-,3510,4260,4471,26879,8326,75958
34,2020-12-20,SUWANNEE,663,2362,-,-,-,486,144,588,2811,256,5902
35,2020-12-20,DUVAL,15509,19915,-,-,-,5942,12136,4325,31072,18105,104027
36,2020-12-20,LAFAYETTE,358,978,-,-,-,43,24,163,1151,89,1771
37,2020-12-20,GULF,297,841,-,-,-,23,30,44,1086,61,2130
38,2020-12-20,UNION,339,956,-,-,-,40,30,41,1295,29,2670
39,2020-12-20,BRADFORD,370,1211,-,-,-,80,62,47,1595,81,3584
40,2020-12-20,WAKULLA,297,1381,-,-,-,122,102,75,1667,160,4061
41,2020-12-20,BREVARD,1832,9922,-,-,-,1643,5439,1982,10785,6069,37988
42,2020-12-20,POLK,5156,20927,-,-,-,3306,3785,10687,18110,4377,53343
43,2020-12-20,OSCEOLA,1389,9639,-,-,-,7214,4445,13247,5357,4083,37983
44,2020-12-20,HIGHLANDS,472,2912,-,-,-,574,570,1040,2797,691,9057
45,2020-12-20,LEE,3039,20056,-,-,-,2943,9898,7983,17682,10271,64105
46,2020-12-20,COLLIER,1076,11579,-,-,-,2178,5496,6913,8121,5295,36474
47,2020-12-20,DADE,21157,137298,-,-,-,43730,68853,158143,44918,67977,418445
48,2020-12-20,MONROE,256,2924,-,-,-,150,542,1242,1983,647,9351
49,2020-12-20,SANTA ROSA,753,6924,-,-,-,532,1371,375,7623,1582,17990
50,2020-12-20,WALTON,290,2672,-,-,-,173,898,442,2663,928,6564
51,2020-12-20,JACKSON,812,2274,-,-,-,208,1003,134,2684,1479,7392
52,2020-12-20,WASHINGTON,319,1174,-,-,-,87,181,50,1266,445,2938
53,2020-12-20,NASSAU,283,3104,-,-,-,145,255,137,3200,450,8459
54,2020-12-20,GLADES,127,538,-,-,-,39,34,269,432,37,1024
55,2020-12-20,CHARLOTTE,370,4817,-,-,-,464,816,456,4817,1194,11756
56,2020-12-20,SARASOTA,987,10893,-,-,-,1422,3009,2037,9688,4586,32243
57,2020-12-20,DESOTO,227,1562,-,-,-,172,752,932,930,851,4903
58,2020-12-20,FLAGLER,428,1994,-,-,-,508,311,431,2429,381,8072
59,2020-12-20,HENDRY,354,2260,-,-,-,172,209,1821,998,176,5537
60,2020-12-20,INDIAN RIVER,610,3927,-,-,-,465,879,1224,3634,1023,13162
61,2020-12-20,BROWARD,28241,62227,-,-,-,18757,16665,48862,58714,18314,252714
62,2020-12-20,ESCAMBIA,3530,8232,-,-,-,2100,4094,566,12347,5043,36049
63,2020-12-20,OKEECHOBEE,240,1649,-,-,-,229,118,865,1257,114,4188
64,2020-12-20,FRANKLIN,233,566,-,-,-,23,23,68,698,79,1733
65,2020-12-20,ALACHUA,3400,7908,-,-,-,1524,1787,1902,10680,2037,29909
66,2020-12-20,ST. JOHNS,670,7918,-,-,-,753,1785,791,7954,2381,26231
