,date,county,black,white,ai_an,nh_pi,two_plus,other,race_unknown,hispanic,non-hispanic,eth_unknown,total
0,2020-11-10,GILCHRIST,43,485,-,-,-,32,81,84,469,88,1463
1,2020-11-10,PUTNAM,668,1525,-,-,-,239,56,476,1925,87,6226
2,2020-11-10,TAYLOR,573,834,-,-,-,80,53,131,1319,90,2783
3,2020-11-10,OKALOOSA,573,3592,-,-,-,1405,1550,713,4852,1555,15501
4,2020-11-10,CALHOUN,109,514,-,-,-,57,84,29,624,111,1529
5,2020-11-10,PALM BEACH,8450,23828,-,-,-,9785,13543,15076,25648,14882,122308
6,2020-11-10,ST. LUCIE,2164,4201,-,-,-,1291,1914,2162,5055,2353,21626
7,2020-11-10,PASCO,820,8600,-,-,-,1716,731,2750,8162,955,28086
8,2020-11-10,GADSDEN,1305,940,-,-,-,580,263,585,2110,393,5971
9,2020-11-10,LEON,3258,5207,-,-,-,1686,2593,1125,7379,4240,26819
10,2020-11-10,JEFFERSON,350,292,-,-,-,43,16,33,620,48,1407
11,2020-11-10,MADISON,655,367,-,-,-,57,33,55,966,91,2355
12,2020-11-10,LIBERTY,126,368,-,-,-,29,26,30,400,119,2596
13,2020-11-10,HAMILTON,434,412,-,-,-,62,12,119,667,134,2640
14,2020-11-10,BAY,693,4245,-,-,-,900,1207,549,4910,1586,10756
15,2020-11-10,COLUMBIA,1272,2707,-,-,-,193,214,266,3846,274,7618
16,2020-11-10,BAKER,249,1009,-,-,-,61,541,20,1165,675,3114
17,2020-11-10,HOLMES,88,746,-,-,-,56,83,35,806,132,1966
18,2020-11-10,MARTIN,286,2682,-,-,-,1207,1382,1916,2433,1208,12649
19,2020-11-10,HILLSBOROUGH,6520,20017,-,-,-,7338,17111,13247,18681,19058,105059
20,2020-11-10,MANATEE,1339,7803,-,-,-,2302,2681,3965,7094,3066,29023
21,2020-11-10,CLAY,929,3990,-,-,-,526,1159,605,4724,1275,15859
22,2020-11-10,HARDEE,132,1186,-,-,-,232,105,974,559,122,3085
23,2020-11-10,MARION,2068,7585,-,-,-,996,735,1547,8713,1124,30590
24,2020-11-10,VOLUSIA,1697,6900,-,-,-,2670,2456,2224,8390,3109,34710
25,2020-11-10,DIXIE,188,680,-,-,-,30,24,55,829,38,1824
26,2020-11-10,LAKE,1092,4004,-,-,-,1765,2384,1542,5012,2691,24888
27,2020-11-10,LEVY,187,747,-,-,-,188,89,232,863,116,3257
28,2020-11-10,SUMTER,509,1620,-,-,-,158,795,151,1844,1087,7024
29,2020-11-10,SEMINOLE,1360,7250,-,-,-,1531,885,2874,7279,873,28177
30,2020-11-10,ORANGE,7737,17995,-,-,-,10430,12844,14030,17239,17737,107229
31,2020-11-10,CITRUS,207,2950,-,-,-,254,227,196,3093,349,9127
32,2020-11-10,HERNANDO,332,3140,-,-,-,538,38,713,3260,75,9026
33,2020-11-10,PINELLAS,4517,17988,-,-,-,2610,2688,3240,19431,5132,63371
34,2020-11-10,SUWANNEE,606,1883,-,-,-,432,133,537,2308,209,5136
35,2020-11-10,DUVAL,11279,11651,-,-,-,4242,9372,3133,22143,11268,85706
36,2020-11-10,LAFAYETTE,347,880,-,-,-,40,20,156,1048,83,1623
37,2020-11-10,GULF,283,660,-,-,-,17,20,43,887,50,1893
38,2020-11-10,UNION,314,816,-,-,-,37,20,39,1133,15,2426
39,2020-11-10,BRADFORD,293,872,-,-,-,58,54,34,1190,53,2947
40,2020-11-10,WAKULLA,236,967,-,-,-,105,91,64,1197,138,3316
41,2020-11-10,BREVARD,1393,6946,-,-,-,1046,3467,1386,7480,3986,31923
42,2020-11-10,POLK,4202,14376,-,-,-,2056,3662,7080,12575,4641,43188
43,2020-11-10,OSCEOLA,960,6018,-,-,-,4791,3409,8200,3443,3535,29163
44,2020-11-10,HIGHLANDS,385,1828,-,-,-,431,347,753,1792,446,7210
45,2020-11-10,LEE,2228,12062,-,-,-,1469,8875,5393,10074,9167,50364
46,2020-11-10,COLLIER,872,8137,-,-,-,1659,4548,5569,5253,4394,30287
47,2020-11-10,DADE,16601,85613,-,-,-,27212,64232,99297,29421,64940,336210
48,2020-11-10,MONROE,185,1910,-,-,-,100,352,889,1251,407,7475
49,2020-11-10,SANTA ROSA,619,4339,-,-,-,390,879,280,4942,1005,14082
50,2020-11-10,WALTON,250,1838,-,-,-,115,585,362,1846,580,5088
51,2020-11-10,JACKSON,644,1597,-,-,-,160,938,116,1790,1433,6322
52,2020-11-10,WASHINGTON,283,812,-,-,-,55,156,39,872,395,2353
