,date,county,black,white,ai_an,nh_pi,two_plus,other,race_unknown,hispanic,non-hispanic,eth_unknown,total
0,2020-12-14,GILCHRIST,67,665,-,-,-,39,90,92,663,106,1744
1,2020-12-14,PUTNAM,799,2067,-,-,-,295,84,556,2575,114,7136
2,2020-12-14,TAYLOR,604,987,-,-,-,82,83,134,1496,126,3074
3,2020-12-14,OKALOOSA,822,5535,-,-,-,1719,2587,936,7220,2507,20260
4,2020-12-14,CALHOUN,116,646,-,-,-,124,98,30,799,155,1835
5,2020-12-14,PALM BEACH,10225,33131,-,-,-,12131,16649,19156,34416,18564,142528
6,2020-12-14,ST. LUCIE,2535,5659,-,-,-,1594,2269,2739,6563,2755,25145
7,2020-12-14,PASCO,1097,12723,-,-,-,2252,1724,3667,11827,2302,35601
8,2020-12-14,GADSDEN,1533,1056,-,-,-,651,267,668,2436,403,6513
9,2020-12-14,LEON,4846,6912,-,-,-,2057,2584,1518,10758,4123,31372
10,2020-12-14,JEFFERSON,406,345,-,-,-,50,24,38,729,58,1613
11,2020-12-14,MADISON,763,516,-,-,-,70,46,73,1196,126,2791
12,2020-12-14,LIBERTY,129,452,-,-,-,33,32,32,485,129,2727
13,2020-12-14,HAMILTON,464,492,-,-,-,70,20,127,779,140,2859
14,2020-12-14,BAY,860,5774,-,-,-,1039,1778,681,6552,2218,13665
15,2020-12-14,COLUMBIA,1424,3209,-,-,-,229,279,298,4427,416,8493
16,2020-12-14,BAKER,273,1258,-,-,-,75,584,22,1414,754,3614
17,2020-12-14,HOLMES,94,1016,-,-,-,77,114,43,1071,187,2419
18,2020-12-14,MARTIN,332,3422,-,-,-,1255,1776,1985,3119,1681,14442
19,2020-12-14,HILLSBOROUGH,8040,27644,-,-,-,9887,19928,17840,25823,21836,123001
20,2020-12-14,MANATEE,1677,10790,-,-,-,2869,3417,4779,9962,4012,34337
21,2020-12-14,CLAY,1237,5621,-,-,-,687,1649,809,6305,2080,18791
22,2020-12-14,HARDEE,136,1334,-,-,-,257,151,1045,659,174,3436
23,2020-12-14,MARION,2421,10019,-,-,-,1198,1247,2063,11099,1723,34662
24,2020-12-14,VOLUSIA,2117,10148,-,-,-,3261,2961,2854,11086,4547,40526
25,2020-12-14,DIXIE,192,748,-,-,-,35,22,55,905,37,1928
26,2020-12-14,LAKE,1313,5842,-,-,-,2158,2997,2111,6842,3357,28365
27,2020-12-14,LEVY,266,997,-,-,-,202,116,273,1160,148,3795
28,2020-12-14,SUMTER,522,2243,-,-,-,202,1047,186,2464,1364,8125
29,2020-12-14,SEMINOLE,1754,9474,-,-,-,2114,1961,3832,9362,2109,33431
30,2020-12-14,ORANGE,9429,24746,-,-,-,13584,16388,20814,23806,19527,122505
31,2020-12-14,CITRUS,266,4528,-,-,-,350,393,303,4651,583,11799
32,2020-12-14,HERNANDO,409,4569,-,-,-,733,277,1023,4518,447,11684
33,2020-12-14,PINELLAS,5256,24807,-,-,-,3304,3974,4200,25456,7685,73511
34,2020-12-14,SUWANNEE,650,2223,-,-,-,476,166,575,2694,246,5709
35,2020-12-14,DUVAL,14489,18112,-,-,-,5542,11679,4113,29166,16543,100047
36,2020-12-14,LAFAYETTE,355,969,-,-,-,43,22,162,1141,86,1750
37,2020-12-14,GULF,293,785,-,-,-,22,29,44,1027,58,2076
38,2020-12-14,UNION,335,908,-,-,-,40,23,40,1243,23,2592
39,2020-12-14,BRADFORD,342,1107,-,-,-,72,61,42,1461,79,3384
40,2020-12-14,WAKULLA,276,1300,-,-,-,117,101,75,1563,156,3923
41,2020-12-14,BREVARD,1742,9292,-,-,-,1482,5214,1867,10085,5778,36863
42,2020-12-14,POLK,4911,19514,-,-,-,3138,3622,10132,16896,4157,51145
43,2020-12-14,OSCEOLA,1306,8915,-,-,-,6733,4407,12328,4989,4044,36342
44,2020-12-14,HIGHLANDS,452,2730,-,-,-,551,533,995,2621,650,8730
45,2020-12-14,LEE,2900,18617,-,-,-,2606,9773,7434,16361,10101,61495
46,2020-12-14,COLLIER,1038,11049,-,-,-,2067,5397,6674,7697,5180,35527
47,2020-12-14,DADE,20243,127950,-,-,-,40255,68840,147637,42221,67430,403834
48,2020-12-14,MONROE,249,2790,-,-,-,127,540,1197,1873,636,9117
49,2020-12-14,SANTA ROSA,721,6353,-,-,-,496,1242,362,7029,1421,17114
50,2020-12-14,WALTON,287,2516,-,-,-,165,839,433,2509,865,6315
51,2020-12-14,JACKSON,773,2128,-,-,-,201,995,131,2506,1460,7171
52,2020-12-14,WASHINGTON,311,1092,-,-,-,81,170,49,1181,424,2807
53,2020-12-14,NASSAU,272,2818,-,-,-,137,236,129,2956,378,8000
54,2020-12-14,GLADES,127,519,-,-,-,38,33,261,420,36,994
