County_name,white,black,asian,american_indian,nh_pi,two_plus,other,unknown_race,hispanic,non-hispanic,unknown_ethnicity,total
Alachua County,2568,1733,-,-,-,-,750,1411,761,3944,1757,6462
Baker County,650,173,-,-,-,-,47,459,16,771,542,1329
Bay County,3166,578,-,-,-,-,782,1080,429,3698,1479,5606
Bradford Count,590,239,-,-,-,-,47,60,29,806,101,936
Brevard County,4151,992,-,-,-,-,686,2142,931,4494,2546,7971
Broward County,30729,19767,-,-,-,-,9904,13500,28071,32784,13045,73900
Calhoun County,393,93,-,-,-,-,41,71,25,486,87,598
Charlotte Count,2227,174,-,-,-,-,270,199,237,2329,304,2870
Citrus County,1952,141,-,-,-,-,201,175,127,2054,288,2469
Clay County,2435,692,-,-,-,-,416,1035,421,3012,1145,4578
Collier County,6069,754,-,-,-,-,1413,3887,4883,3253,3987,12123
Columbia Count,2129,1083,-,-,-,-,146,169,224,3089,214,3527
Dade County,65262,14505,-,-,-,-,19941,63357,76153,20828,66084,163065
Desoto County,925,160,-,-,-,-,120,328,707,446,380,1533
Dixie County,568,180,-,-,-,-,21,22,47,703,41,791
Duval County,7787,9330,-,-,-,-,3367,7729,2357,15583,10273,28213
Escambia Coun,4270,2460,-,-,-,-,1182,2933,384,7119,3342,10845
Flagler County,900,226,-,-,-,-,300,131,223,1168,166,1557
Franklin County,333,224,-,-,-,-,10,10,45,470,62,577
Gadsden Count,746,1018,-,-,-,-,457,376,473,1586,538,2597
Gilchrist County,405,30,-,-,-,-,23,28,73,382,31,486
Glades County,349,81,-,-,-,-,25,20,200,249,26,475
Gulf County,550,266,-,-,-,-,16,19,41,762,48,851
Hamilton Count,335,357,-,-,-,-,54,11,105,531,121,757
Hardee County,885,102,-,-,-,-,171,70,765,379,84,1228
Hendry County,1598,235,-,-,-,-,88,100,1363,575,83,2021
Hernando Coun,2149,281,-,-,-,-,384,62,514,2264,98,2876
Highlands Coun,1180,300,-,-,-,-,313,203,547,1153,296,1996
Hillsborough Co,13793,5131,-,-,-,-,5678,14808,10088,12132,17190,39410
Holmes County,501,85,-,-,-,-,51,57,31,558,105,694
Indian River Co,1521,373,-,-,-,-,336,740,642,1432,896,2970
Jackson County,1145,492,-,-,-,-,122,837,108,1168,1320,2596
Jefferson Count,203,281,-,-,-,-,32,8,26,463,35,524
Lafayette Count,816,348,-,-,-,-,39,17,148,989,83,1220
Lake County,2585,891,-,-,-,-,1470,2070,1165,3321,2530,7016
Lee County,8656,1906,-,-,-,-,1073,7587,4450,6752,8020,19222
Leon County,3103,2335,-,-,-,-,1211,2216,694,4564,3607,8865
Levy County,538,151,-,-,-,-,177,93,215,618,126,959
Liberty County,306,125,-,-,-,-,27,20,28,340,110,478
Madison County,293,597,-,-,-,-,55,29,54,825,95,974
Manatee County,5476,1114,-,-,-,-,1825,2402,3188,4602,3027,10817
Marion County,5602,1822,-,-,-,-,853,871,1291,6432,1425,9148
Martin County,2083,253,-,-,-,-,1132,1069,1852,1777,908,4537
Monroe County,1298,151,-,-,-,-,78,231,692,803,263,1758
Nassau County,1263,166,-,-,-,-,88,294,79,1350,382,1811
Okaloosa Count,2517,433,-,-,-,-,877,772,594,3096,909,4599
Okeechobee Co,925,139,-,-,-,-,167,100,581,633,117,1331
Orange County,10112,5399,-,-,-,-,7285,14784,8323,10330,18927,37580
Osceola County,4200,709,-,-,-,-,3707,3099,5879,2306,3530,11715
Palm Beach Co,16720,7091,-,-,-,-,8013,11911,12002,18002,13731,43735
Pasco County,6108,636,-,-,-,-,1335,414,2102,5826,565,8493
Pinellas County,12862,3953,-,-,-,-,2014,2011,2467,14021,4352,20840
Polk County,9480,3303,-,-,-,-,1694,3982,4947,8127,5385,18459
Putnam County,1104,527,-,-,-,-,232,99,406,1399,157,1962
Santa Rosa Cou,3257,564,-,-,-,-,316,952,225,3771,1093,5089
Sarasota Count,3650,515,-,-,-,-,812,2604,962,3367,3252,7581
Seminole Count,5623,1105,-,-,-,-,1317,489,2142,5107,1285,8534
St. Johns Count,3283,373,-,-,-,-,342,805,387,3454,962,4803
St. Lucie Count,2878,1747,-,-,-,-,1093,1828,1733,3530,2283,7546
Sumter County,1093,389,-,-,-,-,109,507,103,1338,657,2098
Suwannee Coun,1494,535,-,-,-,-,389,111,522,1809,198,2529
Taylor County,627,524,-,-,-,-,74,19,125,1057,62,1244
Union County,544,215,-,-,-,-,22,14,23,736,36,795
Volusia County,4723,1325,-,-,-,-,2080,2002,1717,5828,2585,10130
Wakulla County,651,195,-,-,-,-,93,78,55,849,113,1017
Walton County,1251,106,-,-,-,-,77,246,303,1149,228,1680
Washington Co,588,237,-,-,-,-,43,168,30,642,364,1036
