County_name,white,black,asian,american_indian,nh_pi,two_plus,other,unknown_race,hispanic,non-hispanic,unknown_ethnicity,total
Alachua County,1253,1077,-,-,-,-,478,949,482,2183,1092,3757
Baker County,275,71,-,-,-,-,37,40,13,357,53,423
Bay County,2164,401,-,-,-,-,342,949,293,2328,1235,3856
Bradford County,201,83,-,-,-,-,16,41,10,280,51,341
Brevard County,2961,615,-,-,-,-,477,1597,739,3119,1792,5650
Broward County,20591,15054,-,-,-,-,5693,17096,19585,22384,16465,58434
Calhoun County,237,27,-,-,-,-,20,49,16,255,62,333
Charlotte County,1467,124,-,-,-,-,107,372,158,1449,463,2070
Citrus County,1016,93,-,-,-,-,86,125,71,1067,182,1320
Clay County,1472,511,-,-,-,-,240,752,285,1864,826,2975
Collier County,4765,594,-,-,-,-,945,3436,3978,2331,3431,9740
Columbia County,947,440,-,-,-,-,104,1136,110,1182,1335,2627
Dade County,44078,11082,-,-,-,-,10844,57872,49463,14574,59839,123876
Desoto County,812,132,-,-,-,-,73,288,651,337,317,1305
Dixie County,228,25,-,-,-,-,5,26,4,249,31,284
Duval County,5338,7097,-,-,-,-,2194,7176,1769,10661,9375,21805
Escambia County,2878,1906,-,-,-,-,554,2051,259,4798,2332,7389
Flagler County,550,147,-,-,-,-,169,85,134,705,112,951
Franklin County,88,62,-,-,-,-,4,33,8,145,34,187
Gadsden County,395,560,-,-,-,-,210,427,272,705,615,1592
Gilchrist County,261,20,-,-,-,-,22,31,47,234,53,334
Glades County,285,75,-,-,-,-,18,14,166,204,22,392
Gulf County,227,154,-,-,-,-,8,17,20,360,26,406
Hamilton County,252,287,-,-,-,-,39,9,90,343,154,587
Hardee County,633,81,-,-,-,-,107,29,579,243,28,850
Hendry County,1346,191,-,-,-,-,60,94,1154,458,79,1691
Hernando County,1185,190,-,-,-,-,212,201,293,1137,358,1788
Highlands County,734,209,-,-,-,-,187,163,353,714,226,1293
Hillsborough County,10170,3915,-,-,-,-,3937,12646,7338,8791,14539,30668
Holmes County,296,80,-,-,-,-,30,42,22,348,78,448
Indian River County,986,237,-,-,-,-,251,882,409,850,1097,2356
Jackson County,766,347,-,-,-,-,63,452,69,727,832,1628
Jefferson County,119,142,-,-,-,-,16,135,18,238,156,412
Lafayette County,63,26,-,-,-,-,17,7,15,89,9,113
Lake County,1342,552,-,-,-,-,803,2041,602,1721,2415,4738
Lee County,6381,1479,-,-,-,-,674,7056,3496,4742,7352,15590
Leon County,1296,1364,-,-,-,-,411,1335,313,2174,1919,4406
Levy County,298,105,-,-,-,-,148,73,181,346,97,624
Liberty County,250,136,-,-,-,-,11,21,16,256,146,418
Madison County,167,440,-,-,-,-,30,13,38,562,50,650
Manatee County,3715,797,-,-,-,-,1040,3242,2105,2749,3940,8794
Marion County,3171,1022,-,-,-,-,416,811,675,3508,1237,5420
Martin County,1600,209,-,-,-,-,1003,822,1750,1283,601,3634
Monroe County,776,70,-,-,-,-,59,458,422,467,474,1363
Nassau County,700,117,-,-,-,-,52,205,53,785,236,1074
Okaloosa County,1531,274,-,-,-,-,487,784,409,1732,935,3076
Okeechobee County,635,100,-,-,-,-,131,97,453,384,126,963
Orange County,6805,3947,-,-,-,-,4916,14089,4758,6433,18566,29757
Osceola County,2591,442,-,-,-,-,2421,3480,3430,1393,4111,8934
Palm Beach County,12864,5484,-,-,-,-,5678,10551,9588,13053,11936,34577
Pasco County,4078,453,-,-,-,-,923,1147,1279,3664,1658,6601
Pinellas County,8441,2910,-,-,-,-,1327,4253,1759,9995,5177,16931
Polk County,6140,2269,-,-,-,-,1216,3563,3297,5192,4699,13188
Putnam County,661,382,-,-,-,-,181,173,274,908,215,1397
Santa Rosa County,2014,431,-,-,-,-,184,898,134,2379,1014,3527
Sarasota County,2307,341,-,-,-,-,468,2687,524,2017,3262,5803
Seminole County,2623,724,-,-,-,-,819,2567,908,2174,3651,6733
St. Johns County,2181,251,-,-,-,-,208,745,249,2245,891,3385
St. Lucie County,1691,1100,-,-,-,-,722,1796,1060,2001,2248,5309
Sumter County,663,176,-,-,-,-,62,254,63,806,286,1155
Suwannee County,645,160,-,-,-,-,234,147,346,642,198,1186
Taylor County,216,140,-,-,-,-,30,162,38,328,182,548
Union County,159,55,-,-,-,-,10,3,10,207,10,227
Volusia County,3224,943,-,-,-,-,1436,1629,1187,3919,2126,7232
Wakulla County,395,151,-,-,-,-,40,35,38,521,62,621
Walton County,928,76,-,-,-,-,49,118,240,815,116,1171
Washington County,275,92,-,-,-,-,19,282,8,317,343,668
