County_name,white,black,asian,american_indian,nh_pi,two_plus,other,unknown_race,hispanic,non-hispanic,unknown_ethnicity,total
Alachua County,1282,1105,-,-,-,-,494,928,497,2239,1073,3809
Baker County,286,72,-,-,-,-,37,34,13,369,47,429
Bay County,2174,407,-,-,-,-,347,994,292,2387,1243,3922
Bradford County,201,84,-,-,-,-,16,42,10,281,52,343
Brevard County,2988,624,-,-,-,-,486,1593,745,3153,1793,5691
Broward County,21037,15175,-,-,-,-,5707,16919,19814,22704,16320,58838
Calhoun County,237,39,-,-,-,-,20,38,17,269,48,334
Charlotte County,1503,126,-,-,-,-,107,361,160,1485,452,2097
Citrus County,1046,97,-,-,-,-,92,135,71,1114,185,1370
Clay County,1514,518,-,-,-,-,241,740,294,1911,808,3013
Collier County,4825,604,-,-,-,-,971,3503,4022,2379,3502,9903
Columbia County,979,452,-,-,-,-,106,1125,112,1226,1324,2662
Dade County,44713,11207,-,-,-,-,10959,58198,50251,14737,60089,125077
Desoto County,816,132,-,-,-,-,73,289,651,342,317,1310
Dixie County,231,27,-,-,-,-,5,26,4,254,31,289
Duval County,5395,7171,-,-,-,-,2216,7200,1784,10818,9380,21982
Escambia County,2930,1929,-,-,-,-,549,2084,268,4860,2364,7492
Flagler County,561,150,-,-,-,-,171,83,137,717,111,965
Franklin County,89,62,-,-,-,-,4,40,8,146,41,195
Gadsden County,399,570,-,-,-,-,213,424,277,715,614,1606
Gilchrist County,264,20,-,-,-,-,21,25,48,250,32,330
Glades County,286,76,-,-,-,-,21,13,167,208,21,396
Gulf County,238,155,-,-,-,-,8,26,20,370,37,427
Hamilton County,255,287,-,-,-,-,39,9,90,346,154,590
Hardee County,639,81,-,-,-,-,107,32,584,244,31,859
Hendry County,1351,191,-,-,-,-,61,91,1159,458,77,1694
Hernando County,1293,202,-,-,-,-,220,113,314,1250,264,1828
Highlands County,738,214,-,-,-,-,188,168,356,724,228,1308
Hillsborough County,10311,3973,-,-,-,-,4007,12776,7461,8928,14678,31067
Holmes County,303,80,-,-,-,-,31,36,22,354,74,450
Indian River County,1003,241,-,-,-,-,252,876,415,868,1089,2372
Jackson County,772,350,-,-,-,-,65,543,71,734,925,1730
Jefferson County,154,199,-,-,-,-,17,58,20,329,79,428
Lafayette County,63,26,-,-,-,-,17,7,15,89,9,113
Lake County,1382,556,-,-,-,-,812,2015,625,1759,2381,4765
Lee County,6441,1487,-,-,-,-,678,7071,3524,4787,7366,15677
Leon County,1330,1412,-,-,-,-,406,1303,320,2260,1871,4451
Levy County,304,106,-,-,-,-,149,70,181,351,97,629
Liberty County,244,119,-,-,-,-,12,18,18,260,115,393
Madison County,167,441,-,-,-,-,30,14,38,567,47,652
Manatee County,3798,806,-,-,-,-,1050,3191,2126,2858,3861,8845
Marion County,3249,1054,-,-,-,-,436,790,695,3611,1223,5529
Martin County,1635,211,-,-,-,-,1002,817,1754,1316,595,3665
Monroe County,800,71,-,-,-,-,58,449,434,475,469,1378
Nassau County,723,117,-,-,-,-,52,197,54,807,228,1089
Okaloosa County,1591,284,-,-,-,-,488,767,419,1797,914,3130
Okeechobee County,644,102,-,-,-,-,134,91,462,392,117,971
Orange County,6943,4010,-,-,-,-,4998,14088,4924,6582,18533,30039
Osceola County,2672,456,-,-,-,-,2488,3456,3573,1448,4051,9072
Palm Beach County,13059,5585,-,-,-,-,5675,10612,9703,13279,11949,34931
Pasco County,4160,465,-,-,-,-,928,1120,1314,3739,1620,6673
Pinellas County,8606,2936,-,-,-,-,1352,4189,1801,10191,5091,17083
Polk County,6226,2299,-,-,-,-,1241,3609,3346,5266,4763,13375
Putnam County,675,390,-,-,-,-,179,178,275,923,224,1422
Santa Rosa County,2080,471,-,-,-,-,183,851,142,2484,959,3585
Sarasota County,2340,344,-,-,-,-,481,2724,544,2048,3297,5889
Seminole County,2661,737,-,-,-,-,830,2571,925,2218,3656,6799
St. Johns County,2226,256,-,-,-,-,206,724,252,2295,865,3412
St. Lucie County,1715,1119,-,-,-,-,734,1807,1076,2032,2267,5375
Sumter County,668,181,-,-,-,-,64,259,64,817,291,1172
Suwannee County,658,162,-,-,-,-,235,152,346,660,201,1207
Taylor County,290,236,-,-,-,-,33,206,59,474,232,765
Union County,176,65,-,-,-,-,10,8,10,231,18,259
Volusia County,3303,958,-,-,-,-,1446,1609,1224,4002,2090,7316
Wakulla County,403,153,-,-,-,-,41,32,39,531,59,629
Walton County,930,77,-,-,-,-,49,130,241,818,127,1186
Washington County,302,113,-,-,-,-,19,274,9,335,364,708
