County_name,white,black,asian,american_indian,nh_pi,two_plus,other,unknown_race,hispanic,non-hispanic,unknown_ethnicity,total
Alachua County,1342,1194,-,-,-,-,512,987,513,2382,1140,4035
Baker County,358,105,-,-,-,-,39,325,13,441,373,827
Bay County,2294,433,-,-,-,-,499,1094,309,2583,1428,4320
Bradford County,272,135,-,-,-,-,21,41,11,399,59,469
Brevard County,3110,673,-,-,-,-,514,1645,766,3311,1865,5942
Broward County,22398,15855,-,-,-,-,6250,16588,20859,24140,16092,61091
Calhoun County,279,45,-,-,-,-,28,110,17,320,125,462
Charlotte County,1623,127,-,-,-,-,133,324,173,1625,409,2207
Citrus County,1154,103,-,-,-,-,112,142,82,1232,197,1511
Clay County,1611,548,-,-,-,-,264,814,300,2042,895,3237
Collier County,4990,619,-,-,-,-,1033,3482,4123,2486,3515,10124
Columbia County,1105,473,-,-,-,-,117,1130,121,1371,1333,2825
Dade County,47267,11612,-,-,-,-,12161,59271,53603,15536,61172,130311
Desoto County,836,135,-,-,-,-,78,287,654,362,320,1336
Dixie County,278,56,-,-,-,-,6,135,9,309,157,475
Duval County,5664,7529,-,-,-,-,2320,7414,1838,11398,9691,22927
Escambia County,3141,2085,-,-,-,-,634,2547,286,5216,2905,8407
Flagler County,585,166,-,-,-,-,184,107,147,762,133,1042
Franklin County,163,120,-,-,-,-,4,109,27,239,130,396
Gadsden County,439,625,-,-,-,-,242,552,304,779,775,1858
Gilchrist County,281,24,-,-,-,-,20,30,51,268,36,355
Glades County,289,77,-,-,-,-,22,13,169,211,21,401
Gulf County,350,214,-,-,-,-,10,16,27,522,41,590
Hamilton County,264,299,-,-,-,-,41,8,90,367,155,612
Hardee County,664,83,-,-,-,-,111,85,595,256,92,943
Hendry County,1402,193,-,-,-,-,62,93,1199,472,79,1750
Hernando County,1483,217,-,-,-,-,240,21,357,1562,42,1961
Highlands County,797,221,-,-,-,-,195,180,381,771,241,1393
Hillsborough County,10743,4159,-,-,-,-,4245,12987,7841,9337,14956,32134
Holmes County,326,81,-,-,-,-,35,41,25,376,82,483
Indian River County,1038,260,-,-,-,-,282,893,439,919,1115,2473
Jackson County,778,354,-,-,-,-,88,582,72,755,975,1802
Jefferson County,180,237,-,-,-,-,18,8,23,389,31,443
Lafayette County,76,30,-,-,-,-,19,8,17,106,10,133
Lake County,1487,602,-,-,-,-,900,2054,698,1905,2440,5043
Lee County,6667,1549,-,-,-,-,757,7173,3649,5016,7481,16146
Leon County,1422,1526,-,-,-,-,467,1401,337,2450,2029,4816
Levy County,325,119,-,-,-,-,154,71,185,382,102,669
Liberty County,258,114,-,-,-,-,12,16,18,279,103,400
Madison County,174,461,-,-,-,-,30,23,38,592,58,688
Manatee County,4025,843,-,-,-,-,1169,3067,2301,3084,3719,9104
Marion County,3631,1233,-,-,-,-,482,901,799,4077,1371,6247
Martin County,1681,224,-,-,-,-,1030,842,1773,1381,623,3777
Monroe County,897,84,-,-,-,-,66,441,486,534,468,1488
Nassau County,763,119,-,-,-,-,57,213,60,845,247,1152
Okaloosa County,1731,313,-,-,-,-,616,758,450,2056,912,3418
Okeechobee County,672,105,-,-,-,-,136,110,482,413,128,1023
Orange County,7301,4196,-,-,-,-,5260,14242,5339,7063,18597,30999
Osceola County,2876,493,-,-,-,-,2727,3388,3970,1577,3937,9484
Palm Beach County,13569,5785,-,-,-,-,6058,10801,10083,13964,12166,36213
Pasco County,4365,482,-,-,-,-,989,1109,1402,3980,1563,6945
Pinellas County,8945,3033,-,-,-,-,1459,4165,1899,10591,5112,17602
Polk County,6572,2439,-,-,-,-,1334,3734,3535,5623,4921,14079
Putnam County,706,406,-,-,-,-,187,181,293,962,225,1480
Santa Rosa County,2229,501,-,-,-,-,208,890,153,2669,1006,3828
Sarasota County,2413,363,-,-,-,-,511,2824,566,2125,3420,6111
Seminole County,2810,767,-,-,-,-,886,2559,1000,2381,3641,7022
St. Johns County,2350,279,-,-,-,-,213,712,262,2438,854,3554
St. Lucie County,1826,1206,-,-,-,-,823,1817,1152,2218,2302,5672
Sumter County,704,204,-,-,-,-,70,298,66,874,336,1276
Suwannee County,723,171,-,-,-,-,238,255,353,728,306,1387
Taylor County,391,328,-,-,-,-,52,173,88,643,213,944
Union County,204,78,-,-,-,-,12,3,12,276,9,297
Volusia County,3519,1011,-,-,-,-,1520,1674,1308,4226,2190,7724
Wakulla County,429,156,-,-,-,-,49,40,42,552,80,674
Walton County,981,78,-,-,-,-,55,153,252,874,141,1267
Washington County,432,192,-,-,-,-,23,182,17,463,349,829
