County_name,white,black,asian,american_indian,nh_pi,two_plus,other,unknown_race,hispanic,non-hispanic,unknown_ethnicity,total
Alachua County,1822,1589,-,-,-,-,612,1106,612,3148,1369,5129
Baker County,511,148,-,-,-,-,45,447,15,610,526,1151
Bay County,2985,542,-,-,-,-,675,1070,393,3444,1435,5272
Bradford County,450,196,-,-,-,-,32,51,26,623,80,729
Brevard County,3768,903,-,-,-,-,638,1870,872,4087,2220,7179
Broward County,29002,18956,-,-,-,-,8833,13593,26459,30867,13058,70384
Calhoun County,369,89,-,-,-,-,39,70,24,460,83,567
Charlotte County,2071,165,-,-,-,-,215,199,215,2144,291,2650
Citrus County,1656,117,-,-,-,-,150,152,111,1742,222,2075
Clay County,2103,644,-,-,-,-,353,846,386,2618,942,3946
Collier County,5756,715,-,-,-,-,1318,3711,4691,3006,3803,11500
Columbia County,1918,973,-,-,-,-,135,296,206,2763,353,3322
Dade County,60716,13765,-,-,-,-,18682,62185,70869,19488,64991,155348
Desoto County,907,150,-,-,-,-,101,317,699,412,364,1475
Dixie County,494,163,-,-,-,-,21,33,44,618,49,711
Duval County,6910,8875,-,-,-,-,2755,7574,2167,13989,9958,26114
Escambia County,3942,2385,-,-,-,-,975,2848,354,6549,3247,10150
Flagler County,726,203,-,-,-,-,277,91,205,974,118,1297
Franklin County,307,215,-,-,-,-,8,8,45,435,58,538
Gadsden County,680,898,-,-,-,-,388,343,434,1364,511,2309
Gilchrist County,379,30,-,-,-,-,21,30,67,356,37,460
Glades County,332,79,-,-,-,-,25,18,192,237,25,454
Gulf County,519,259,-,-,-,-,16,20,41,724,49,814
Hamilton County,310,323,-,-,-,-,51,8,101,434,157,692
Hardee County,780,95,-,-,-,-,142,68,672,337,76,1085
Hendry County,1556,228,-,-,-,-,82,101,1331,552,84,1967
Hernando County,1912,261,-,-,-,-,350,61,461,2050,73,2584
Highlands County,1069,270,-,-,-,-,281,194,508,1033,273,1814
Hillsborough Cou,12669,4822,-,-,-,-,5247,14112,9372,11087,16391,36850
Holmes County,447,82,-,-,-,-,43,39,29,496,86,611
Indian River Coun,1380,351,-,-,-,-,316,768,593,1282,940,2815
Jackson County,998,432,-,-,-,-,114,772,93,1007,1216,2316
Jefferson County,191,264,-,-,-,-,27,8,24,432,34,490
Lafayette County,806,341,-,-,-,-,37,18,146,971,85,1202
Lake County,2198,818,-,-,-,-,1301,2030,1034,2837,2476,6347
Lee County,8143,1841,-,-,-,-,963,7386,4250,6296,7787,18333
Leon County,1884,2006,-,-,-,-,779,1475,438,3356,2350,6144
Levy County,486,140,-,-,-,-,174,103,204,561,138,903
Liberty County,282,117,-,-,-,-,19,15,21,310,102,433
Madison County,252,537,-,-,-,-,39,25,51,727,75,853
Manatee County,4905,1014,-,-,-,-,1625,2765,2853,3978,3478,10309
Marion County,5136,1725,-,-,-,-,746,849,1170,5908,1378,8456
Martin County,1939,246,-,-,-,-,1104,1131,1833,1623,964,4420
Monroe County,1215,141,-,-,-,-,77,265,656,747,295,1698
Nassau County,1058,153,-,-,-,-,73,270,70,1141,343,1554
Okaloosa County,2287,391,-,-,-,-,740,688,557,2701,848,4106
Okeechobee Coun,845,131,-,-,-,-,164,95,568,559,108,1235
Orange County,8649,4922,-,-,-,-,6445,15337,7101,8862,19390,35353
Osceola County,3800,649,-,-,-,-,3417,3138,5347,2074,3583,11004
Palm Beach Coun,15468,6712,-,-,-,-,7548,11774,11355,16576,13571,41502
Pasco County,5662,602,-,-,-,-,1285,428,1979,5432,566,7977
Pinellas County,10815,3555,-,-,-,-,1752,3620,2264,12425,5053,19742
Polk County,8402,3012,-,-,-,-,1585,3838,4503,7143,5191,16837
Putnam County,947,509,-,-,-,-,216,100,375,1253,144,1772
Santa Rosa Count,2914,553,-,-,-,-,269,881,194,3404,1019,4617
Sarasota County,3055,452,-,-,-,-,651,2974,770,2731,3631,7132
Seminole County,4539,1000,-,-,-,-,1221,1213,1699,3980,2294,7973
St. Johns County,2929,352,-,-,-,-,256,721,340,3064,854,4258
St. Lucie County,2464,1587,-,-,-,-,1053,1845,1553,3043,2353,6949
Sumter County,983,341,-,-,-,-,95,420,92,1210,537,1839
Suwannee County,1414,522,-,-,-,-,360,118,503,1699,212,2414
Taylor County,597,510,-,-,-,-,71,18,124,1015,57,1196
Union County,413,151,-,-,-,-,19,9,18,548,26,592
Volusia County,4278,1246,-,-,-,-,1938,1718,1639,5312,2229,9180
Wakulla County,558,184,-,-,-,-,76,62,47,741,92,880
Walton County,1140,93,-,-,-,-,69,198,290,1027,183,1500
Washington Coun,561,231,-,-,-,-,34,169,27,600,368,995
