County_name,white,black,asian,american_indian,nh_pi,two_plus,other,unknown_race,hispanic,non-hispanic,unknown_ethnicity,total
Alachua County,5150,2224,-,-,-,-,1088,1563,1309,6896,1820,10025
Baker County,923,234,-,-,-,-,55,535,19,1084,644,1747
Bay County,3819,649,-,-,-,-,876,1138,511,4471,1500,6482
Bradford County,824,287,-,-,-,-,58,52,34,1137,50,1221
Brevard County,6047,1245,-,-,-,-,929,2808,1216,6502,3311,11029
Broward County,36174,21342,-,-,-,-,12106,13598,31879,38333,13008,83220
Calhoun County,467,102,-,-,-,-,55,77,29,573,99,701
Charlotte County,2718,228,-,-,-,-,317,278,282,2837,422,3541
Citrus County,2557,184,-,-,-,-,231,192,158,2702,304,3164
Clay County,3576,870,-,-,-,-,495,1009,537,4272,1141,5950
Collier County,7323,828,-,-,-,-,1558,4263,5288,4493,4191,13972
Columbia County,2578,1234,-,-,-,-,182,206,256,3681,263,4200
Dade County,76865,15808,-,-,-,-,24745,63722,89173,26402,65565,181140
Desoto County,1018,174,-,-,-,-,129,330,745,523,383,1651
Dixie County,648,187,-,-,-,-,29,19,55,791,37,883
Duval County,10471,10719,-,-,-,-,4000,8854,2863,20303,10878,34044
Escambia County,4888,2582,-,-,-,-,1465,3069,415,8053,3536,12004
Flagler County,1236,303,-,-,-,-,362,168,280,1582,207,2069
Franklin County,475,232,-,-,-,-,21,21,66,606,77,749
Gadsden County,904,1278,-,-,-,-,573,288,579,2035,429,3043
Gilchrist County,454,40,-,-,-,-,31,79,83,435,86,604
Glades County,425,114,-,-,-,-,34,24,226,342,29,597
Gulf County,612,278,-,-,-,-,16,19,42,834,49,925
Hamilton County,393,430,-,-,-,-,59,11,114,646,133,893
Hardee County,1134,128,-,-,-,-,221,92,933,534,108,1575
Hendry County,1735,252,-,-,-,-,100,110,1455,653,89,2197
Hernando County,2799,308,-,-,-,-,481,17,643,2936,26,3605
Highlands County,1538,356,-,-,-,-,404,265,705,1499,359,2563
Hillsborough Cou,17877,6004,-,-,-,-,6800,16132,12005,16344,18464,46813
Holmes County,659,87,-,-,-,-,54,71,34,719,118,871
Indian River Coun,2096,426,-,-,-,-,369,813,734,2011,959,3704
Jackson County,1430,600,-,-,-,-,147,889,113,1578,1375,3066
Jefferson County,267,325,-,-,-,-,41,15,31,571,46,648
Lafayette County,864,349,-,-,-,-,40,20,154,1037,82,1273
Lake County,3545,1035,-,-,-,-,1681,2160,1414,4487,2520,8421
Lee County,10588,2091,-,-,-,-,1269,8593,4948,8637,8956,22541
Leon County,4652,3031,-,-,-,-,1580,2452,993,6616,4106,11715
Levy County,669,172,-,-,-,-,185,91,226,771,120,1117
Liberty County,353,126,-,-,-,-,29,25,30,383,120,533
Madison County,346,624,-,-,-,-,56,32,55,910,93,1058
Manatee County,6992,1272,-,-,-,-,2201,2416,3720,6217,2944,12881
Marion County,7017,2006,-,-,-,-,952,708,1455,8113,1115,10683
Martin County,2524,276,-,-,-,-,1191,1269,1893,2268,1099,5260
Monroe County,1633,174,-,-,-,-,94,255,811,1042,303,2156
Nassau County,1815,224,-,-,-,-,103,120,99,2022,141,2262
Okaloosa County,3158,497,-,-,-,-,1282,1198,671,4264,1200,6135
Okeechobee Cou,1210,218,-,-,-,-,196,95,645,966,108,1719
Orange County,15695,7145,-,-,-,-,9423,12492,12300,15296,17159,44755
Osceola County,5443,875,-,-,-,-,4466,3068,7360,3065,3427,13852
Palm Beach Coun,20769,8006,-,-,-,-,9098,12467,13681,22534,14125,50340
Pasco County,7642,741,-,-,-,-,1596,577,2510,7275,771,10556
Pinellas County,16188,4315,-,-,-,-,2410,2143,2943,17496,4617,25056
Polk County,12985,4002,-,-,-,-,1946,3595,6469,11406,4653,22528
Putnam County,1426,633,-,-,-,-,235,59,466,1797,90,2353
Santa Rosa Coun,3948,595,-,-,-,-,358,909,258,4508,1044,5810
Sarasota County,5321,703,-,-,-,-,1046,2262,1297,5179,2856,9332
Seminole County,6831,1298,-,-,-,-,1436,488,2738,6809,506,10053
St. Johns County,4516,462,-,-,-,-,441,787,493,4752,961,6206
St. Lucie County,3778,2059,-,-,-,-,1211,1838,2035,4573,2278,8886
Sumter County,1492,508,-,-,-,-,146,698,140,1719,985,2844
Suwannee Count,1807,602,-,-,-,-,427,122,534,2220,204,2958
Taylor County,761,566,-,-,-,-,79,43,131,1235,83,1449
Union County,767,303,-,-,-,-,34,17,37,1071,13,1121
Volusia County,6130,1585,-,-,-,-,2517,2189,2017,7515,2889,12421
Wakulla County,875,233,-,-,-,-,103,87,63,1103,132,1298
Walton County,1502,124,-,-,-,-,89,399,325,1425,364,2114
Washington Coun,750,277,-,-,-,-,49,135,34,804,373,1211
