County_name,white,black,asian,american_indian,nh_pi,two_plus,other,unknown_race,hispanic,non-hispanic,unknown_ethnicity,total
Alachua Co,1324,1163,-,-,-,-,507,959,510,2336,1107,3953
Baker Count,326,91,-,-,-,-,39,174,13,417,200,630
Bay County,2257,428,-,-,-,-,396,1045,306,2525,1295,4126
Bradford Co,255,119,-,-,-,-,19,41,10,365,59,434
Brevard Cou,3064,649,-,-,-,-,505,1612,756,3253,1821,5830
Broward Co,21897,15559,-,-,-,-,6065,16701,20435,23594,16193,60222
Calhoun Co,261,45,-,-,-,-,24,87,17,299,101,417
Charlotte Co,1588,125,-,-,-,-,121,333,168,1580,419,2167
Citrus Count,1125,100,-,-,-,-,108,137,78,1202,190,1470
Clay County,1588,540,-,-,-,-,256,794,296,2009,873,3178
Collier Coun,4946,607,-,-,-,-,1016,3492,4097,2458,3506,10061
Columbia C,1074,466,-,-,-,-,114,1120,118,1337,1319,2774
Dade Count,46416,11477,-,-,-,-,11715,58900,52560,15269,60679,128508
Desoto Cou,828,132,-,-,-,-,77,287,651,354,319,1324
Dixie Count,265,55,-,-,-,-,6,98,9,301,114,424
Duval Count,5569,7391,-,-,-,-,2290,7401,1822,11175,9654,22651
Escambia C,3066,2028,-,-,-,-,591,2191,278,5092,2506,7876
Flagler Cou,574,162,-,-,-,-,180,82,144,747,107,998
Franklin Co,143,92,-,-,-,-,4,136,19,201,155,375
Gadsden Co,427,613,-,-,-,-,235,498,297,764,712,1773
Gilchrist Co,277,24,-,-,-,-,20,24,50,265,30,345
Glades Cou,286,77,-,-,-,-,22,13,167,210,21,398
Gulf County,326,204,-,-,-,-,11,19,24,492,44,560
Hamilton Co,263,296,-,-,-,-,41,7,90,362,155,607
Hardee Cou,651,83,-,-,-,-,109,58,592,249,60,901
Hendry Cou,1379,193,-,-,-,-,62,91,1181,467,77,1725
Hernando C,1452,214,-,-,-,-,241,8,352,1550,13,1915
Highlands C,767,222,-,-,-,-,194,169,368,754,230,1352
Hillsboroug,10594,4097,-,-,-,-,4153,12889,7719,9205,14809,31733
Holmes Cou,322,80,-,-,-,-,35,38,25,373,77,475
Indian River,1027,256,-,-,-,-,276,876,435,903,1097,2435
Jackson Co,779,350,-,-,-,-,80,608,71,749,997,1817
Jefferson C,180,233,-,-,-,-,18,11,22,386,34,442
Lafayette Co,67,27,-,-,-,-,19,15,15,95,18,128
Lake County,1440,584,-,-,-,-,872,2033,675,1846,2408,4929
Lee County,6583,1521,-,-,-,-,735,7123,3616,4920,7426,15962
Leon Count,1400,1491,-,-,-,-,442,1377,336,2391,1983,4710
Levy County,310,111,-,-,-,-,150,77,182,362,104,648
Liberty Cou,251,114,-,-,-,-,12,18,18,269,108,395
Madison Co,171,454,-,-,-,-,30,19,38,582,54,674
Manatee Co,3951,832,-,-,-,-,1143,3104,2246,3019,3765,9030
Marion Cou,3453,1147,-,-,-,-,463,908,752,3883,1336,5971
Martin Coun,1672,222,-,-,-,-,1028,821,1771,1370,602,3743
Monroe Cou,859,78,-,-,-,-,65,428,471,507,452,1430
Nassau Cou,748,117,-,-,-,-,55,215,58,830,247,1135
Okaloosa C,1692,305,-,-,-,-,602,763,442,1998,922,3362
Okeechobee,659,104,-,-,-,-,135,111,474,408,127,1009
Orange Cou,7188,4136,-,-,-,-,5166,14144,5216,6892,18526,30634
Osceola Co,2819,482,-,-,-,-,2671,3345,3863,1541,3913,9317
Palm Beach,13430,5725,-,-,-,-,5931,10677,9959,13772,12032,35763
Pasco Coun,4292,476,-,-,-,-,968,1120,1375,3892,1589,6856
Pinellas Cou,8822,2996,-,-,-,-,1434,4166,1868,10443,5107,17418
Polk County,6446,2384,-,-,-,-,1309,3655,3464,5517,4813,13794
Putnam Cou,699,401,-,-,-,-,187,177,287,955,222,1464
Santa Rosa,2189,493,-,-,-,-,202,882,152,2616,998,3766
Sarasota Co,2391,362,-,-,-,-,503,2787,562,2115,3366,6043
Seminole Co,2775,754,-,-,-,-,864,2556,975,2322,3652,6949
St. Johns C,2310,274,-,-,-,-,213,716,257,2396,860,3513
St. Lucie Co,1797,1179,-,-,-,-,796,1832,1126,2167,2311,5604
Sumter Cou,686,199,-,-,-,-,67,277,64,855,310,1229
Suwannee C,699,168,-,-,-,-,239,233,350,704,285,1339
Taylor Coun,387,327,-,-,-,-,51,168,88,638,207,933
Union Count,199,77,-,-,-,-,12,3,11,266,14,291
Volusia Cou,3469,992,-,-,-,-,1489,1649,1285,4169,2145,7599
Wakulla Cou,417,155,-,-,-,-,45,39,41,546,69,656
Walton Cou,960,78,-,-,-,-,53,138,246,855,128,1229
Washington,401,182,-,-,-,-,23,191,17,429,351,797
